# Assembly name:  iqSchGreg1.2
# Organism name:  Schistocerca gregaria (desert locust)
# Isolate:  iqSchGreg1
# Sex:  male
# Taxid:          7010
# BioSample:      SAMN23383904
# BioProject:     PRJNA782545
# Submitter:      United States Department of Agriculture
# Date:           2022-06-24
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAKZLS01
# Assembly method: HiFiASM v. 0.13-r308
# Expected final version: yes
# Genome coverage: 41x
# Sequencing technology: PacBio Sequel
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_023897955.2
# RefSeq assembly accession: GCF_023897955.1
# RefSeq assembly and GenBank assemblies identical: yes
# Linked assembly: GCA_023898265.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_023898285.2	GCF_023898285.1	Primary Assembly
## GCA_023898335.1	GCF_023898335.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
ptg000169l	unplaced-scaffold	na	na	JAKZLS010000018.1	=	NW_026061724.1	Primary Assembly	17802503	na
ptg000170l	unplaced-scaffold	na	na	JAKZLS010000019.1	=	NW_026061725.1	Primary Assembly	894386	na
ptg000174l	unplaced-scaffold	na	na	JAKZLS010000020.1	=	NW_026061726.1	Primary Assembly	6115594	na
ptg000177l	unplaced-scaffold	na	na	JAKZLS010000021.1	=	NW_026061727.1	Primary Assembly	3491803	na
ptg000178l	unplaced-scaffold	na	na	JAKZLS010000022.1	=	NW_026061728.1	Primary Assembly	21045437	na
ptg000179l	unplaced-scaffold	na	na	JAKZLS010000023.1	=	NW_026061729.1	Primary Assembly	4153204	na
ptg000180l	unplaced-scaffold	na	na	JAKZLS010000024.1	=	NW_026061730.1	Primary Assembly	13365026	na
ptg000186l	unplaced-scaffold	na	na	JAKZLS010000025.1	=	NW_026061733.1	Primary Assembly	387068	na
ptg000195l	unplaced-scaffold	na	na	JAKZLS010000026.1	=	NW_026061734.1	Primary Assembly	91294	na
ptg000197l	unplaced-scaffold	na	na	JAKZLS010000027.1	=	NW_026061735.1	Primary Assembly	193832	na
ptg000198l	unplaced-scaffold	na	na	JAKZLS010000028.1	=	NW_026061736.1	Primary Assembly	14594262	na
ptg000199l	unplaced-scaffold	na	na	JAKZLS010000029.1	=	NW_026061737.1	Primary Assembly	15494492	na
ptg000200l	unplaced-scaffold	na	na	JAKZLS010000030.1	=	NW_026061738.1	Primary Assembly	3358209	na
ptg000204l	unplaced-scaffold	na	na	JAKZLS010000031.1	=	NW_026061739.1	Primary Assembly	3406681	na
ptg000205l	unplaced-scaffold	na	na	JAKZLS010000032.1	=	NW_026061740.1	Primary Assembly	2939014	na
ptg000213l	unplaced-scaffold	na	na	JAKZLS010000033.1	=	NW_026061741.1	Primary Assembly	3104530	na
ptg000214l	unplaced-scaffold	na	na	JAKZLS010000034.1	=	NW_026061742.1	Primary Assembly	4312441	na
ptg000215l	unplaced-scaffold	na	na	JAKZLS010000035.1	=	NW_026061743.1	Primary Assembly	149608	na
ptg000224l	unplaced-scaffold	na	na	JAKZLS010000036.1	=	NW_026061744.1	Primary Assembly	7561981	na
ptg000227l	unplaced-scaffold	na	na	JAKZLS010000037.1	=	NW_026061746.1	Primary Assembly	1683177	na
ptg000228l	unplaced-scaffold	na	na	JAKZLS010000038.1	=	NW_026061747.1	Primary Assembly	1977720	na
ptg000229l	unplaced-scaffold	na	na	JAKZLS010000039.1	=	NW_026061748.1	Primary Assembly	5866164	na
ptg000237l	unplaced-scaffold	na	na	JAKZLS010000040.1	=	NW_026061749.1	Primary Assembly	26948	na
ptg000238l	unplaced-scaffold	na	na	JAKZLS010000041.1	=	NW_026061750.1	Primary Assembly	1578736	na
ptg000239l	unplaced-scaffold	na	na	JAKZLS010000042.1	=	NW_026061751.1	Primary Assembly	2516491	na
ptg000240l	unplaced-scaffold	na	na	JAKZLS010000043.1	=	NW_026061752.1	Primary Assembly	4839267	na
ptg000244l	unplaced-scaffold	na	na	JAKZLS010000044.1	=	NW_026061753.1	Primary Assembly	10546343	na
ptg000245l	unplaced-scaffold	na	na	JAKZLS010000045.1	=	NW_026061754.1	Primary Assembly	100215	na
ptg000246l	unplaced-scaffold	na	na	JAKZLS010000046.1	=	NW_026061755.1	Primary Assembly	3136722	na
ptg000247l	unplaced-scaffold	na	na	JAKZLS010000047.1	=	NW_026061756.1	Primary Assembly	4434329	na
ptg000250l	unplaced-scaffold	na	na	JAKZLS010000048.1	=	NW_026061758.1	Primary Assembly	1483087	na
ptg000251l	unplaced-scaffold	na	na	JAKZLS010000049.1	=	NW_026061759.1	Primary Assembly	11022019	na
ptg000252l	unplaced-scaffold	na	na	JAKZLS010000050.1	=	NW_026061760.1	Primary Assembly	630307	na
ptg000255l	unplaced-scaffold	na	na	JAKZLS010000051.1	=	NW_026061761.1	Primary Assembly	2000942	na
ptg000256l	unplaced-scaffold	na	na	JAKZLS010000052.1	=	NW_026061762.1	Primary Assembly	9066619	na
ptg000257l	unplaced-scaffold	na	na	JAKZLS010000053.1	=	NW_026061763.1	Primary Assembly	615253	na
ptg000259l	unplaced-scaffold	na	na	JAKZLS010000054.1	=	NW_026061764.1	Primary Assembly	5109658	na
ptg000261l	unplaced-scaffold	na	na	JAKZLS010000055.1	=	NW_026061765.1	Primary Assembly	4239252	na
ptg000263l	unplaced-scaffold	na	na	JAKZLS010000056.1	=	NW_026061766.1	Primary Assembly	110807	na
ptg000265l	unplaced-scaffold	na	na	JAKZLS010000057.1	=	NW_026061767.1	Primary Assembly	2974942	na
ptg000266l	unplaced-scaffold	na	na	JAKZLS010000058.1	=	NW_026061768.1	Primary Assembly	2629328	na
ptg000267l	unplaced-scaffold	na	na	JAKZLS010000059.1	=	NW_026061769.1	Primary Assembly	236255	na
ptg000273l	unplaced-scaffold	na	na	JAKZLS010000060.1	=	NW_026061770.1	Primary Assembly	2541844	na
ptg000274l	unplaced-scaffold	na	na	JAKZLS010000061.1	=	NW_026061771.1	Primary Assembly	802605	na
ptg000278l	unplaced-scaffold	na	na	JAKZLS010000062.1	=	NW_026061772.1	Primary Assembly	3088195	na
ptg000280l	unplaced-scaffold	na	na	JAKZLS010000063.1	=	NW_026061773.1	Primary Assembly	2853062	na
ptg000285l	unplaced-scaffold	na	na	JAKZLS010000064.1	=	NW_026061775.1	Primary Assembly	10816077	na
ptg000288l	unplaced-scaffold	na	na	JAKZLS010000065.1	=	NW_026061777.1	Primary Assembly	752500	na
ptg000290l	unplaced-scaffold	na	na	JAKZLS010000066.1	=	NW_026061778.1	Primary Assembly	759933	na
ptg000291l	unplaced-scaffold	na	na	JAKZLS010000067.1	=	NW_026061779.1	Primary Assembly	1360696	na
ptg000292l	unplaced-scaffold	na	na	JAKZLS010000068.1	=	NW_026061780.1	Primary Assembly	1150146	na
ptg000293l	unplaced-scaffold	na	na	JAKZLS010000069.1	=	NW_026061781.1	Primary Assembly	615747	na
ptg000294l	unplaced-scaffold	na	na	JAKZLS010000070.1	=	NW_026061782.1	Primary Assembly	1258993	na
ptg000295l	unplaced-scaffold	na	na	JAKZLS010000071.1	=	NW_026061783.1	Primary Assembly	20805	na
ptg000301l	unplaced-scaffold	na	na	JAKZLS010000072.1	=	NW_026061785.1	Primary Assembly	1562441	na
ptg000304l	unplaced-scaffold	na	na	JAKZLS010000073.1	=	NW_026061786.1	Primary Assembly	8140279	na
ptg000305l	unplaced-scaffold	na	na	JAKZLS010000074.1	=	NW_026061787.1	Primary Assembly	1769692	na
ptg000308l	unplaced-scaffold	na	na	JAKZLS010000075.1	=	NW_026061788.1	Primary Assembly	4441475	na
ptg000309l	unplaced-scaffold	na	na	JAKZLS010000076.1	=	NW_026061789.1	Primary Assembly	33583	na
ptg000310l	unplaced-scaffold	na	na	JAKZLS010000077.1	=	NW_026061790.1	Primary Assembly	712958	na
ptg000313l	unplaced-scaffold	na	na	JAKZLS010000078.1	=	NW_026061791.1	Primary Assembly	4346987	na
ptg000314l	unplaced-scaffold	na	na	JAKZLS010000079.1	=	NW_026061792.1	Primary Assembly	2227791	na
ptg000315l	unplaced-scaffold	na	na	JAKZLS010000080.1	=	NW_026061793.1	Primary Assembly	231458	na
ptg000316l	unplaced-scaffold	na	na	JAKZLS010000081.1	=	NW_026061794.1	Primary Assembly	111678	na
ptg000317l	unplaced-scaffold	na	na	JAKZLS010000082.1	=	NW_026061795.1	Primary Assembly	16158769	na
ptg000318l	unplaced-scaffold	na	na	JAKZLS010000083.1	=	NW_026061796.1	Primary Assembly	569262	na
ptg000335l	unplaced-scaffold	na	na	JAKZLS010000084.1	=	NW_026061800.1	Primary Assembly	1899747	na
ptg000336l	unplaced-scaffold	na	na	JAKZLS010000085.1	=	NW_026061801.1	Primary Assembly	4482759	na
ptg000337l	unplaced-scaffold	na	na	JAKZLS010000086.1	=	NW_026061802.1	Primary Assembly	654673	na
ptg000338l	unplaced-scaffold	na	na	JAKZLS010000087.1	=	NW_026061803.1	Primary Assembly	3636131	na
ptg000339l	unplaced-scaffold	na	na	JAKZLS010000088.1	=	NW_026061804.1	Primary Assembly	300332	na
ptg000341l	unplaced-scaffold	na	na	JAKZLS010000089.1	=	NW_026061805.1	Primary Assembly	328609	na
ptg000342l	unplaced-scaffold	na	na	JAKZLS010000090.1	=	NW_026061806.1	Primary Assembly	227339	na
ptg000343l	unplaced-scaffold	na	na	JAKZLS010000091.1	=	NW_026061807.1	Primary Assembly	2314401	na
ptg000345l	unplaced-scaffold	na	na	JAKZLS010000092.1	=	NW_026061808.1	Primary Assembly	3762732	na
ptg000346l	unplaced-scaffold	na	na	JAKZLS010000093.1	=	NW_026061809.1	Primary Assembly	1112067	na
ptg000350l	unplaced-scaffold	na	na	JAKZLS010000094.1	=	NW_026061810.1	Primary Assembly	5225781	na
ptg000351l	unplaced-scaffold	na	na	JAKZLS010000095.1	=	NW_026061811.1	Primary Assembly	6710306	na
ptg000352l	unplaced-scaffold	na	na	JAKZLS010000096.1	=	NW_026061812.1	Primary Assembly	6275500	na
ptg000355l	unplaced-scaffold	na	na	JAKZLS010000097.1	=	NW_026061814.1	Primary Assembly	1439081	na
ptg000356l	unplaced-scaffold	na	na	JAKZLS010000098.1	=	NW_026061815.1	Primary Assembly	1421533	na
ptg000357l	unplaced-scaffold	na	na	JAKZLS010000099.1	=	NW_026061816.1	Primary Assembly	1463304	na
ptg000359l	unplaced-scaffold	na	na	JAKZLS010000100.1	=	NW_026061817.1	Primary Assembly	800615	na
ptg000361l	unplaced-scaffold	na	na	JAKZLS010000101.1	=	NW_026061818.1	Primary Assembly	693555	na
ptg000362l	unplaced-scaffold	na	na	JAKZLS010000102.1	=	NW_026061819.1	Primary Assembly	3251050	na
ptg000364l	unplaced-scaffold	na	na	JAKZLS010000103.1	=	NW_026061820.1	Primary Assembly	200732	na
ptg000366l	unplaced-scaffold	na	na	JAKZLS010000104.1	=	NW_026061821.1	Primary Assembly	1440536	na
ptg000371l	unplaced-scaffold	na	na	JAKZLS010000105.1	=	NW_026061822.1	Primary Assembly	1412678	na
ptg000372l	unplaced-scaffold	na	na	JAKZLS010000106.1	=	NW_026061823.1	Primary Assembly	590083	na
ptg000378l	unplaced-scaffold	na	na	JAKZLS010000107.1	=	NW_026061824.1	Primary Assembly	21740884	na
ptg000379l	unplaced-scaffold	na	na	JAKZLS010000108.1	=	NW_026061825.1	Primary Assembly	447159	na
ptg000381l	unplaced-scaffold	na	na	JAKZLS010000109.1	=	NW_026061826.1	Primary Assembly	1176300	na
ptg000384l	unplaced-scaffold	na	na	JAKZLS010000110.1	=	NW_026061827.1	Primary Assembly	777723	na
ptg000386l	unplaced-scaffold	na	na	JAKZLS010000111.1	=	NW_026061828.1	Primary Assembly	3674232	na
ptg000387l	unplaced-scaffold	na	na	JAKZLS010000112.1	=	NW_026061829.1	Primary Assembly	6997797	na
ptg000391l	unplaced-scaffold	na	na	JAKZLS010000113.1	=	NW_026061830.1	Primary Assembly	1998004	na
ptg000392l	unplaced-scaffold	na	na	JAKZLS010000114.1	=	NW_026061831.1	Primary Assembly	157971	na
ptg000393l	unplaced-scaffold	na	na	JAKZLS010000115.1	=	NW_026061832.1	Primary Assembly	1861595	na
ptg000394l	unplaced-scaffold	na	na	JAKZLS010000116.1	=	NW_026061833.1	Primary Assembly	2953821	na
ptg000395l	unplaced-scaffold	na	na	JAKZLS010000117.1	=	NW_026061834.1	Primary Assembly	629425	na
ptg000396l	unplaced-scaffold	na	na	JAKZLS010000118.1	=	NW_026061835.1	Primary Assembly	599985	na
ptg000397l	unplaced-scaffold	na	na	JAKZLS010000119.1	=	NW_026061836.1	Primary Assembly	4050877	na
ptg000398l	unplaced-scaffold	na	na	JAKZLS010000120.1	=	NW_026061837.1	Primary Assembly	444499	na
ptg000400l	unplaced-scaffold	na	na	JAKZLS010000121.1	=	NW_026061838.1	Primary Assembly	218639	na
ptg000401l	unplaced-scaffold	na	na	JAKZLS010000122.1	=	NW_026061839.1	Primary Assembly	146104	na
ptg000403l	unplaced-scaffold	na	na	JAKZLS010000123.1	=	NW_026061840.1	Primary Assembly	1142293	na
ptg000404l	unplaced-scaffold	na	na	JAKZLS010000124.1	=	NW_026061841.1	Primary Assembly	780453	na
ptg000405l	unplaced-scaffold	na	na	JAKZLS010000125.1	=	NW_026061842.1	Primary Assembly	6163012	na
ptg000406l	unplaced-scaffold	na	na	JAKZLS010000126.1	=	NW_026061843.1	Primary Assembly	359886	na
ptg000409l	unplaced-scaffold	na	na	JAKZLS010000127.1	=	NW_026061845.1	Primary Assembly	318281	na
ptg000413l	unplaced-scaffold	na	na	JAKZLS010000128.1	=	NW_026061846.1	Primary Assembly	1632796	na
ptg000414l	unplaced-scaffold	na	na	JAKZLS010000129.1	=	NW_026061847.1	Primary Assembly	2743148	na
ptg000416l	unplaced-scaffold	na	na	JAKZLS010000130.1	=	NW_026061848.1	Primary Assembly	762713	na
ptg000417l	unplaced-scaffold	na	na	JAKZLS010000131.1	=	NW_026061849.1	Primary Assembly	2513100	na
ptg000418l	unplaced-scaffold	na	na	JAKZLS010000132.1	=	NW_026061850.1	Primary Assembly	6339248	na
ptg000420l	unplaced-scaffold	na	na	JAKZLS010000133.1	=	NW_026061851.1	Primary Assembly	1090276	na
ptg000421l	unplaced-scaffold	na	na	JAKZLS010000134.1	=	NW_026061852.1	Primary Assembly	585207	na
ptg000422l	unplaced-scaffold	na	na	JAKZLS010000135.1	=	NW_026061853.1	Primary Assembly	7329672	na
ptg000424l	unplaced-scaffold	na	na	JAKZLS010000136.1	=	NW_026061854.1	Primary Assembly	33922	na
ptg000428l	unplaced-scaffold	na	na	JAKZLS010000137.1	=	NW_026061855.1	Primary Assembly	2889440	na
ptg000429l	unplaced-scaffold	na	na	JAKZLS010000138.1	=	NW_026061856.1	Primary Assembly	1300470	na
ptg000431l	unplaced-scaffold	na	na	JAKZLS010000139.1	=	NW_026061857.1	Primary Assembly	324308	na
ptg000432l	unplaced-scaffold	na	na	JAKZLS010000140.1	=	NW_026061858.1	Primary Assembly	2773865	na
ptg000435l	unplaced-scaffold	na	na	JAKZLS010000141.1	=	NW_026061859.1	Primary Assembly	319334	na
ptg000437l	unplaced-scaffold	na	na	JAKZLS010000142.1	=	NW_026061860.1	Primary Assembly	2954938	na
ptg000438l	unplaced-scaffold	na	na	JAKZLS010000143.1	=	NW_026061861.1	Primary Assembly	114628	na
ptg000439l	unplaced-scaffold	na	na	JAKZLS010000144.1	=	NW_026061862.1	Primary Assembly	110671	na
ptg000440l	unplaced-scaffold	na	na	JAKZLS010000145.1	=	NW_026061863.1	Primary Assembly	2307010	na
ptg000441l	unplaced-scaffold	na	na	JAKZLS010000146.1	=	NW_026061864.1	Primary Assembly	2601713	na
ptg000442l	unplaced-scaffold	na	na	JAKZLS010000147.1	=	NW_026061865.1	Primary Assembly	452752	na
ptg000444l	unplaced-scaffold	na	na	JAKZLS010000148.1	=	NW_026061866.1	Primary Assembly	67227	na
ptg000445l	unplaced-scaffold	na	na	JAKZLS010000149.1	=	NW_026061867.1	Primary Assembly	822117	na
ptg000447l	unplaced-scaffold	na	na	JAKZLS010000150.1	=	NW_026061868.1	Primary Assembly	57948	na
ptg000448l	unplaced-scaffold	na	na	JAKZLS010000151.1	=	NW_026061869.1	Primary Assembly	1707030	na
ptg000449l	unplaced-scaffold	na	na	JAKZLS010000152.1	=	NW_026061870.1	Primary Assembly	954348	na
ptg000451l	unplaced-scaffold	na	na	JAKZLS010000153.1	=	NW_026061871.1	Primary Assembly	912041	na
ptg000453l	unplaced-scaffold	na	na	JAKZLS010000154.1	=	NW_026061872.1	Primary Assembly	144454	na
ptg000454l	unplaced-scaffold	na	na	JAKZLS010000155.1	=	NW_026061873.1	Primary Assembly	1407657	na
ptg000455l	unplaced-scaffold	na	na	JAKZLS010000156.1	=	NW_026061874.1	Primary Assembly	2972617	na
ptg000457l	unplaced-scaffold	na	na	JAKZLS010000157.1	=	NW_026061875.1	Primary Assembly	452148	na
ptg000458l	unplaced-scaffold	na	na	JAKZLS010000158.1	=	NW_026061876.1	Primary Assembly	396904	na
ptg000459l	unplaced-scaffold	na	na	JAKZLS010000159.1	=	NW_026061877.1	Primary Assembly	1064934	na
ptg000460l	unplaced-scaffold	na	na	JAKZLS010000160.1	=	NW_026061878.1	Primary Assembly	281458	na
ptg000461l	unplaced-scaffold	na	na	JAKZLS010000161.1	=	NW_026061879.1	Primary Assembly	364744	na
ptg000462l	unplaced-scaffold	na	na	JAKZLS010000162.1	=	NW_026061880.1	Primary Assembly	212553	na
ptg000467l	unplaced-scaffold	na	na	JAKZLS010000163.1	=	NW_026061881.1	Primary Assembly	849055	na
ptg000468l	unplaced-scaffold	na	na	JAKZLS010000164.1	=	NW_026061882.1	Primary Assembly	1801617	na
ptg000469l	unplaced-scaffold	na	na	JAKZLS010000165.1	=	NW_026061883.1	Primary Assembly	6573511	na
ptg000470l	unplaced-scaffold	na	na	JAKZLS010000166.1	=	NW_026061884.1	Primary Assembly	6337860	na
ptg000472l	unplaced-scaffold	na	na	JAKZLS010000167.1	=	NW_026061885.1	Primary Assembly	77137	na
ptg000473l	unplaced-scaffold	na	na	JAKZLS010000168.1	=	NW_026061886.1	Primary Assembly	283099	na
ptg000474l	unplaced-scaffold	na	na	JAKZLS010000169.1	=	NW_026061887.1	Primary Assembly	2660592	na
ptg000475l	unplaced-scaffold	na	na	JAKZLS010000170.1	=	NW_026061888.1	Primary Assembly	48289	na
ptg000477l	unplaced-scaffold	na	na	JAKZLS010000171.1	=	NW_026061889.1	Primary Assembly	1747463	na
ptg000480l	unplaced-scaffold	na	na	JAKZLS010000172.1	=	NW_026061890.1	Primary Assembly	3024510	na
ptg000481l	unplaced-scaffold	na	na	JAKZLS010000173.1	=	NW_026061891.1	Primary Assembly	1791060	na
ptg000483l	unplaced-scaffold	na	na	JAKZLS010000174.1	=	NW_026061892.1	Primary Assembly	1896221	na
ptg000484l	unplaced-scaffold	na	na	JAKZLS010000175.1	=	NW_026061893.1	Primary Assembly	2859806	na
ptg000485l	unplaced-scaffold	na	na	JAKZLS010000176.1	=	NW_026061894.1	Primary Assembly	3131416	na
ptg000486l	unplaced-scaffold	na	na	JAKZLS010000177.1	=	NW_026061895.1	Primary Assembly	2398554	na
ptg000489l	unplaced-scaffold	na	na	JAKZLS010000179.1	=	NW_026061896.1	Primary Assembly	182785	na
ptg000490l	unplaced-scaffold	na	na	JAKZLS010000180.1	=	NW_026061897.1	Primary Assembly	1077881	na
ptg000491l	unplaced-scaffold	na	na	JAKZLS010000181.1	=	NW_026061898.1	Primary Assembly	2212069	na
ptg000492l	unplaced-scaffold	na	na	JAKZLS010000182.1	=	NW_026061899.1	Primary Assembly	3426072	na
ptg000495l	unplaced-scaffold	na	na	JAKZLS010000183.1	=	NW_026061900.1	Primary Assembly	49229	na
ptg000496l	unplaced-scaffold	na	na	JAKZLS010000184.1	=	NW_026061901.1	Primary Assembly	2005450	na
ptg000497l	unplaced-scaffold	na	na	JAKZLS010000185.1	=	NW_026061902.1	Primary Assembly	1208952	na
ptg000498l	unplaced-scaffold	na	na	JAKZLS010000186.1	=	NW_026061903.1	Primary Assembly	91773	na
ptg000499l	unplaced-scaffold	na	na	JAKZLS010000187.1	=	NW_026061904.1	Primary Assembly	255353	na
ptg000500l	unplaced-scaffold	na	na	JAKZLS010000188.1	=	NW_026061905.1	Primary Assembly	37442	na
ptg000503l	unplaced-scaffold	na	na	JAKZLS010000189.1	=	NW_026061906.1	Primary Assembly	2915563	na
ptg000504l	unplaced-scaffold	na	na	JAKZLS010000190.1	=	NW_026061907.1	Primary Assembly	27425	na
ptg000505l	unplaced-scaffold	na	na	JAKZLS010000191.1	=	NW_026061908.1	Primary Assembly	790891	na
ptg000506l	unplaced-scaffold	na	na	JAKZLS010000192.1	=	NW_026061909.1	Primary Assembly	537683	na
ptg000507l	unplaced-scaffold	na	na	JAKZLS010000193.1	=	NW_026061910.1	Primary Assembly	221211	na
ptg000509l	unplaced-scaffold	na	na	JAKZLS010000194.1	=	NW_026061911.1	Primary Assembly	984358	na
ptg000510l	unplaced-scaffold	na	na	JAKZLS010000195.1	=	NW_026061912.1	Primary Assembly	599028	na
ptg000511l	unplaced-scaffold	na	na	JAKZLS010000196.1	=	NW_026061913.1	Primary Assembly	644564	na
ptg000513l	unplaced-scaffold	na	na	JAKZLS010000197.1	=	NW_026061914.1	Primary Assembly	1141302	na
ptg000514l	unplaced-scaffold	na	na	JAKZLS010000198.1	=	NW_026061915.1	Primary Assembly	1441740	na
ptg000515l	unplaced-scaffold	na	na	JAKZLS010000199.1	=	NW_026061916.1	Primary Assembly	4807077	na
ptg000516l	unplaced-scaffold	na	na	JAKZLS010000200.1	=	NW_026061917.1	Primary Assembly	21068	na
ptg000518l	unplaced-scaffold	na	na	JAKZLS010000201.1	=	NW_026061918.1	Primary Assembly	154890	na
ptg000519l	unplaced-scaffold	na	na	JAKZLS010000202.1	=	NW_026061919.1	Primary Assembly	418309	na
ptg000520l	unplaced-scaffold	na	na	JAKZLS010000203.1	=	NW_026061920.1	Primary Assembly	791691	na
ptg000522l	unplaced-scaffold	na	na	JAKZLS010000204.1	=	NW_026061921.1	Primary Assembly	1513080	na
ptg000523l	unplaced-scaffold	na	na	JAKZLS010000205.1	=	NW_026061922.1	Primary Assembly	85257	na
ptg000524l	unplaced-scaffold	na	na	JAKZLS010000206.1	=	NW_026061923.1	Primary Assembly	49713	na
ptg000525l	unplaced-scaffold	na	na	JAKZLS010000207.1	=	NW_026061924.1	Primary Assembly	59167	na
ptg000526l	unplaced-scaffold	na	na	JAKZLS010000208.1	=	NW_026061925.1	Primary Assembly	12141611	na
ptg000527l	unplaced-scaffold	na	na	JAKZLS010000209.1	=	NW_026061926.1	Primary Assembly	29180	na
ptg000528l	unplaced-scaffold	na	na	JAKZLS010000210.1	=	NW_026061927.1	Primary Assembly	285469	na
ptg000529l	unplaced-scaffold	na	na	JAKZLS010000211.1	=	NW_026061928.1	Primary Assembly	261118	na
ptg000530l	unplaced-scaffold	na	na	JAKZLS010000212.1	=	NW_026061929.1	Primary Assembly	36671	na
ptg000531l	unplaced-scaffold	na	na	JAKZLS010000213.1	=	NW_026061930.1	Primary Assembly	256291	na
ptg000533l	unplaced-scaffold	na	na	JAKZLS010000214.1	=	NW_026061931.1	Primary Assembly	215853	na
ptg000534l	unplaced-scaffold	na	na	JAKZLS010000215.1	=	NW_026061932.1	Primary Assembly	223737	na
ptg000536l	unplaced-scaffold	na	na	JAKZLS010000216.1	=	NW_026061933.1	Primary Assembly	476849	na
ptg000537l	unplaced-scaffold	na	na	JAKZLS010000217.1	=	NW_026061934.1	Primary Assembly	2909215	na
ptg000538l	unplaced-scaffold	na	na	JAKZLS010000218.1	=	NW_026061935.1	Primary Assembly	41905	na
ptg000539l	unplaced-scaffold	na	na	JAKZLS010000219.1	=	NW_026061936.1	Primary Assembly	30854	na
ptg000540l	unplaced-scaffold	na	na	JAKZLS010000220.1	=	NW_026061937.1	Primary Assembly	1578654	na
ptg000541l	unplaced-scaffold	na	na	JAKZLS010000221.1	=	NW_026061938.1	Primary Assembly	125862	na
