"DEG_context","gene_id","seqid","start","end","midpoint","strand","seq_start","seq_end","chromosome","region_name","genome","chromosome_class","position_mb"
"Infection within diets","LOC126267473","NC_064923.1",562886782,563054795,562970788.5,"-",1,791150472,"4","4","chromosome","Named chromosome",562.9707885
"Infection within diets","LOC126267478","NC_064923.1",586045257,586183981,586114619,"-",1,791150472,"4","4","chromosome","Named chromosome",586.114619
"Infection within diets","LOC126267535","NC_064920.1",744006235,744054410,744030322.5,"+",1,1209568729,"1","1","chromosome","Named chromosome",744.0303225
"Infection within diets","LOC126267545","NC_064923.1",773847442,773887933,773867687.5,"-",1,791150472,"4","4","chromosome","Named chromosome",773.8676875
"Infection within diets","LOC126267554","NC_064920.1",743925605,744094732,744010168.5,"-",1,1209568729,"1","1","chromosome","Named chromosome",744.0101685
"Infection within diets","LOC126267568","NC_064923.1",224297725,224326305,224312015,"+",1,791150472,"4","4","chromosome","Named chromosome",224.312015
"Infection within diets","LOC126267575","NC_064923.1",5383012,5442256,5412634,"+",1,791150472,"4","4","chromosome","Named chromosome",5.412634
"Infection within diets","LOC126267629","NC_064923.1",129119755,129127001,129123378,"+",1,791150472,"4","4","chromosome","Named chromosome",129.123378
"Infection within diets","LOC126267970","NC_064923.1",33594801,33657850,33626325.5,"-",1,791150472,"4","4","chromosome","Named chromosome",33.6263255
"Infection within diets","LOC126267980","NC_064923.1",203081934,203219947,203150940.5,"-",1,791150472,"4","4","chromosome","Named chromosome",203.1509405
"Infection within diets","LOC126267982","NC_064923.1",203963531,204097853,204030692,"-",1,791150472,"4","4","chromosome","Named chromosome",204.030692
"Infection within diets","LOC126267984","NC_064923.1",204159362,204258151,204208756.5,"-",1,791150472,"4","4","chromosome","Named chromosome",204.2087565
"Infection within diets","LOC126268014","NC_064923.1",330631486,330666882,330649184,"+",1,791150472,"4","4","chromosome","Named chromosome",330.649184
"Infection within diets","LOC126268015","NC_064923.1",330700660,330710321,330705490.5,"+",1,791150472,"4","4","chromosome","Named chromosome",330.7054905
"Infection within diets","LOC126268068","NC_064923.1",197598003,197680879,197639441,"+",1,791150472,"4","4","chromosome","Named chromosome",197.639441
"Infection within diets","LOC126268069","NC_064923.1",287189042,287371015,287280028.5,"-",1,791150472,"4","4","chromosome","Named chromosome",287.2800285
"Infection within diets","LOC126268128","NC_064923.1",701110242,701130683,701120462.5,"-",1,791150472,"4","4","chromosome","Named chromosome",701.1204625
"Infection within diets","LOC126268132","NC_064923.1",700892347,700941349,700916848,"-",1,791150472,"4","4","chromosome","Named chromosome",700.916848
"Infection within diets","LOC126268133","NC_064923.1",78285426,78540521,78412973.5,"-",1,791150472,"4","4","chromosome","Named chromosome",78.4129735
"Infection within diets","LOC126268164","NC_064923.1",407574234,408027168,407800701,"+",1,791150472,"4","4","chromosome","Named chromosome",407.800701
"Infection within diets","LOC126268194","NC_064923.1",357670580,359035497,358353038.5,"+",1,791150472,"4","4","chromosome","Named chromosome",358.3530385
"Infection within diets","LOC126268199","NC_064923.1",101826464,101848937,101837700.5,"-",1,791150472,"4","4","chromosome","Named chromosome",101.8377005
"Infection within diets","LOC126268218","NC_064923.1",202444930,202446927,202445928.5,"-",1,791150472,"4","4","chromosome","Named chromosome",202.4459285
"Infection within diets","LOC126268397","NC_064920.1",771685982,771833379,771759680.5,"-",1,1209568729,"1","1","chromosome","Named chromosome",771.7596805
"Infection within diets","LOC126268728","NC_064920.1",781073715,781176889,781125302,"+",1,1209568729,"1","1","chromosome","Named chromosome",781.125302
"Infection within diets","LOC126269384","NC_064920.1",786692770,786779677,786736223.5,"+",1,1209568729,"1","1","chromosome","Named chromosome",786.7362235
"Infection within diets","LOC126270012","NC_064920.1",799279465,799328370,799303917.5,"+",1,1209568729,"1","1","chromosome","Named chromosome",799.3039175
"Infection within diets","LOC126270294","NC_064920.1",804216296,804489489,804352892.5,"-",1,1209568729,"1","1","chromosome","Named chromosome",804.3528925
"Infection within diets","LOC126271480","NC_064920.1",823108637,823246171,823177404,"-",1,1209568729,"1","1","chromosome","Named chromosome",823.177404
"Infection within diets","LOC126271496","NC_064920.1",823348560,823729258,823538909,"-",1,1209568729,"1","1","chromosome","Named chromosome",823.538909
"Infection within diets","LOC126271634","NC_064920.1",825186612,825312611,825249611.5,"-",1,1209568729,"1","1","chromosome","Named chromosome",825.2496115
"Infection within diets","LOC126271720","NC_064920.1",826525968,826598749,826562358.5,"+",1,1209568729,"1","1","chromosome","Named chromosome",826.5623585
"Infection within diets","LOC126271849","NC_064924.1",70323841,70328706,70326273.5,"+",1,676154743,"5","5","chromosome","Named chromosome",70.3262735
"Infection within diets","LOC126271895","NC_064924.1",124000521,124009917,124005219,"-",1,676154743,"5","5","chromosome","Named chromosome",124.005219
"Infection within diets","LOC126271907","NC_064924.1",380059121,380092644,380075882.5,"-",1,676154743,"5","5","chromosome","Named chromosome",380.0758825
"Infection within diets","LOC126271923","NC_064924.1",465085894,465298504,465192199,"+",1,676154743,"5","5","chromosome","Named chromosome",465.192199
"Infection within diets","LOC126271928","NC_064924.1",272880863,272949128,272914995.5,"+",1,676154743,"5","5","chromosome","Named chromosome",272.9149955
"Infection within diets","LOC126271949","NC_064924.1",557295943,557614495,557455219,"-",1,676154743,"5","5","chromosome","Named chromosome",557.455219
"Infection within diets","LOC126271975","NC_064924.1",59775218,60005581,59890399.5,"+",1,676154743,"5","5","chromosome","Named chromosome",59.8903995
"Infection within diets","LOC126272038","NC_064924.1",57659736,57766321,57713028.5,"-",1,676154743,"5","5","chromosome","Named chromosome",57.7130285
"Infection within diets","LOC126272046","NC_064924.1",248682952,250735732,249709342,"+",1,676154743,"5","5","chromosome","Named chromosome",249.709342
"Infection within diets","LOC126272055","NC_064924.1",511840307,512049579,511944943,"-",1,676154743,"5","5","chromosome","Named chromosome",511.944943
"Infection within diets","LOC126272082","NC_064920.1",832174168,832404522,832289345,"-",1,1209568729,"1","1","chromosome","Named chromosome",832.289345
"Infection within diets","LOC126272087","NC_064924.1",180384299,181490018,180937158.5,"-",1,676154743,"5","5","chromosome","Named chromosome",180.9371585
"Infection within diets","LOC126272090","NC_064924.1",671449437,672677513,672063475,"-",1,676154743,"5","5","chromosome","Named chromosome",672.063475
"Infection within diets","LOC126272126","NC_064924.1",486360774,486378870,486369822,"-",1,676154743,"5","5","chromosome","Named chromosome",486.369822
"Infection within diets","LOC126272129","NC_064924.1",486567455,486572058,486569756.5,"-",1,676154743,"5","5","chromosome","Named chromosome",486.5697565
"Infection within diets","LOC126272144","NC_064924.1",120651335,120877112,120764223.5,"+",1,676154743,"5","5","chromosome","Named chromosome",120.7642235
"Infection within diets","LOC126272290","NC_064924.1",323136883,323506245,323321564,"+",1,676154743,"5","5","chromosome","Named chromosome",323.321564
"Infection within diets","LOC126272321","NC_064924.1",522450835,523424849,522937842,"-",1,676154743,"5","5","chromosome","Named chromosome",522.937842
"Infection within diets","LOC126272353","NC_064924.1",310823036,310927929,310875482.5,"-",1,676154743,"5","5","chromosome","Named chromosome",310.8754825
"Infection within diets","LOC126272363","NC_064920.1",839599270,839757057,839678163.5,"-",1,1209568729,"1","1","chromosome","Named chromosome",839.6781635
"Infection within diets","LOC126272419","NC_064920.1",841276896,841744877,841510886.5,"-",1,1209568729,"1","1","chromosome","Named chromosome",841.5108865
"Infection within diets","LOC126272450","NC_064924.1",284608530,284836572,284722551,"+",1,676154743,"5","5","chromosome","Named chromosome",284.722551
"Infection within diets","LOC126272507","NC_064924.1",457756176,458317831,458037003.5,"-",1,676154743,"5","5","chromosome","Named chromosome",458.0370035
"Infection within diets","LOC126272513","NC_064924.1",183460639,183762139,183611389,"-",1,676154743,"5","5","chromosome","Named chromosome",183.611389
"Infection within diets","LOC126272535","NC_064924.1",375304776,375348824,375326800,"+",1,676154743,"5","5","chromosome","Named chromosome",375.3268
"Infection within diets","LOC126272556","NC_064924.1",203035812,204129853,203582832.5,"+",1,676154743,"5","5","chromosome","Named chromosome",203.5828325
"Infection within diets","LOC126272589","NC_064924.1",609013120,609900926,609457023,"+",1,676154743,"5","5","chromosome","Named chromosome",609.457023
"Infection within diets","LOC126272599","NC_064924.1",574031975,574118916,574075445.5,"+",1,676154743,"5","5","chromosome","Named chromosome",574.0754455
"Infection within diets","LOC126272608","NC_064924.1",397128386,397136605,397132495.5,"-",1,676154743,"5","5","chromosome","Named chromosome",397.1324955
"Infection within diets","LOC126272609","NC_064924.1",376720640,376726061,376723350.5,"-",1,676154743,"5","5","chromosome","Named chromosome",376.7233505
"Infection within diets","LOC126272678","NC_064924.1",577186601,577648603,577417602,"-",1,676154743,"5","5","chromosome","Named chromosome",577.417602
"Infection within diets","LOC126272691","NC_064924.1",216851217,216863392,216857304.5,"+",1,676154743,"5","5","chromosome","Named chromosome",216.8573045
"Infection within diets","LOC126272753","NC_064924.1",313033122,313484479,313258800.5,"-",1,676154743,"5","5","chromosome","Named chromosome",313.2588005
"Infection within diets","LOC126272767","NC_064920.1",858387507,858544745,858466126,"+",1,1209568729,"1","1","chromosome","Named chromosome",858.466126
"Infection within diets","LOC126272831","NC_064924.1",81190082,81293578,81241830,"-",1,676154743,"5","5","chromosome","Named chromosome",81.24183
"Infection within diets","LOC126272850","NC_064924.1",100227112,100448896,100338004,"+",1,676154743,"5","5","chromosome","Named chromosome",100.338004
"Infection within diets","LOC126272858","NC_064924.1",528738886,528743597,528741241.5,"+",1,676154743,"5","5","chromosome","Named chromosome",528.7412415
"Infection within diets","LOC126272860","NC_064924.1",71045992,71062095,71054043.5,"-",1,676154743,"5","5","chromosome","Named chromosome",71.0540435
"Infection within diets","LOC126272888","NC_064924.1",169586750,169710392,169648571,"+",1,676154743,"5","5","chromosome","Named chromosome",169.648571
"Infection within diets","LOC126272926","NC_064924.1",76573688,76654407,76614047.5,"+",1,676154743,"5","5","chromosome","Named chromosome",76.6140475
"Infection within diets","LOC126272931","NC_064924.1",137833389,137951337,137892363,"-",1,676154743,"5","5","chromosome","Named chromosome",137.892363
"Infection within diets","LOC126272961","NC_064920.1",864294540,864654321,864474430.5,"-",1,1209568729,"1","1","chromosome","Named chromosome",864.4744305
"Infection within diets","LOC126273028","NC_064924.1",256831933,257237382,257034657.5,"+",1,676154743,"5","5","chromosome","Named chromosome",257.0346575
"Infection within diets","LOC126273030","NC_064924.1",256960789,256963523,256962156,"+",1,676154743,"5","5","chromosome","Named chromosome",256.962156
"Infection within diets","LOC126273032","NC_064924.1",257164802,257167803,257166302.5,"+",1,676154743,"5","5","chromosome","Named chromosome",257.1663025
"Infection within diets","LOC126273060","NC_064924.1",59302067,59324933,59313500,"+",1,676154743,"5","5","chromosome","Named chromosome",59.3135
"Infection within diets","LOC126273130","NC_064920.1",868233229,868467435,868350332,"+",1,1209568729,"1","1","chromosome","Named chromosome",868.350332
"Infection within diets","LOC126273192","NC_064924.1",660177844,660594399,660386121.5,"+",1,676154743,"5","5","chromosome","Named chromosome",660.3861215
"Infection within diets","LOC126273222","NC_064924.1",58973296,58996256,58984776,"-",1,676154743,"5","5","chromosome","Named chromosome",58.984776
"Infection within diets","LOC126273250","NC_064924.1",112886729,112931198,112908963.5,"+",1,676154743,"5","5","chromosome","Named chromosome",112.9089635
"Infection within diets","LOC126273297","NC_064924.1",237001422,237113874,237057648,"+",1,676154743,"5","5","chromosome","Named chromosome",237.057648
"Infection within diets","LOC126273306","NC_064920.1",872355921,873383956,872869938.5,"+",1,1209568729,"1","1","chromosome","Named chromosome",872.8699385
"Infection within diets","LOC126273393","NC_064924.1",483796801,483902579,483849690,"+",1,676154743,"5","5","chromosome","Named chromosome",483.84969
"Infection within diets","LOC126273757","NC_064920.1",892284787,892399420,892342103.5,"-",1,1209568729,"1","1","chromosome","Named chromosome",892.3421035
"Infection within diets","LOC126274965","NC_064920.1",909869494,909979547,909924520.5,"-",1,1209568729,"1","1","chromosome","Named chromosome",909.9245205
"Infection within diets","LOC126275296","NC_064920.1",934328311,934767015,934547663,"+",1,1209568729,"1","1","chromosome","Named chromosome",934.547663
"Infection within diets","LOC126275497","NC_064920.1",939579187,939774830,939677008.5,"+",1,1209568729,"1","1","chromosome","Named chromosome",939.6770085
"Infection within diets","LOC126275742","NC_064920.1",824283117,824461607,824372362,"-",1,1209568729,"1","1","chromosome","Named chromosome",824.372362
"Infection within diets","LOC126276533","NC_064920.1",967437427,967504570,967470998.5,"-",1,1209568729,"1","1","chromosome","Named chromosome",967.4709985
"Infection within diets","LOC126276633","NC_064920.1",968871812,968880593,968876202.5,"-",1,1209568729,"1","1","chromosome","Named chromosome",968.8762025
"Infection within diets","LOC126276951","NC_064920.1",973213617,973236632,973225124.5,"+",1,1209568729,"1","1","chromosome","Named chromosome",973.2251245
"Infection within diets","LOC126276967","NC_064920.1",973362576,973526215,973444395.5,"+",1,1209568729,"1","1","chromosome","Named chromosome",973.4443955
"Infection within diets","LOC126277383","NC_064920.1",977891021,977897984,977894502.5,"+",1,1209568729,"1","1","chromosome","Named chromosome",977.8945025
"Infection within diets","LOC126277750","NC_064920.1",982018654,982739653,982379153.5,"+",1,1209568729,"1","1","chromosome","Named chromosome",982.3791535
"Infection within diets","LOC126277867","NC_064920.1",986175913,986682789,986429351,"+",1,1209568729,"1","1","chromosome","Named chromosome",986.429351
"Infection within diets","LOC126277896","NC_064925.1",216433066,216441591,216437328.5,"+",1,594873984,"6","6","chromosome","Named chromosome",216.4373285
"Infection within diets","LOC126277903","NC_064925.1",219418846,219440702,219429774,"-",1,594873984,"6","6","chromosome","Named chromosome",219.429774
"Infection within diets","LOC126277916","NC_064920.1",987678981,987788923,987733952,"-",1,1209568729,"1","1","chromosome","Named chromosome",987.733952
"Infection within diets","LOC126277955","NC_064925.1",86845822,87969642,87407732,"+",1,594873984,"6","6","chromosome","Named chromosome",87.407732
"Infection within diets","LOC126277966","NC_064925.1",291674462,292760732,292217597,"+",1,594873984,"6","6","chromosome","Named chromosome",292.217597
"Infection within diets","LOC126278002","NC_064925.1",521079816,521352534,521216175,"+",1,594873984,"6","6","chromosome","Named chromosome",521.216175
"Infection within diets","LOC126278009","NC_064925.1",209769447,210908052,210338749.5,"+",1,594873984,"6","6","chromosome","Named chromosome",210.3387495
"Infection within diets","LOC126278010","NC_064925.1",210474534,210482647,210478590.5,"+",1,594873984,"6","6","chromosome","Named chromosome",210.4785905
"Infection within diets","LOC126278049","NC_064925.1",76207419,76484733,76346076,"+",1,594873984,"6","6","chromosome","Named chromosome",76.346076
"Infection within diets","LOC126278052","NC_064925.1",365343808,365480025,365411916.5,"-",1,594873984,"6","6","chromosome","Named chromosome",365.4119165
"Infection within diets","LOC126278061","NC_064925.1",138724691,138832760,138778725.5,"+",1,594873984,"6","6","chromosome","Named chromosome",138.7787255
"Infection within diets","LOC126278069","NC_064920.1",852816643,853198285,853007464,"-",1,1209568729,"1","1","chromosome","Named chromosome",853.007464
"Infection within diets","LOC126278109","NC_064925.1",82898387,83020097,82959242,"-",1,594873984,"6","6","chromosome","Named chromosome",82.959242
"Infection within diets","LOC126278127","NC_064925.1",244998362,244998986,244998674,"-",1,594873984,"6","6","chromosome","Named chromosome",244.998674
"Infection within diets","LOC126278128","NC_064925.1",245073958,245180844,245127401,"+",1,594873984,"6","6","chromosome","Named chromosome",245.127401
"Infection within diets","LOC126278137","NC_064925.1",40639433,41140157,40889795,"-",1,594873984,"6","6","chromosome","Named chromosome",40.889795
"Infection within diets","LOC126278149","NC_064925.1",390563316,390791393,390677354.5,"-",1,594873984,"6","6","chromosome","Named chromosome",390.6773545
"Infection within diets","LOC126278176","NC_064925.1",193030287,193381113,193205700,"-",1,594873984,"6","6","chromosome","Named chromosome",193.2057
"Infection within diets","LOC126278191","NC_064925.1",157360051,157690422,157525236.5,"-",1,594873984,"6","6","chromosome","Named chromosome",157.5252365
"Infection within diets","LOC126278225","NC_064925.1",320632891,320662350,320647620.5,"+",1,594873984,"6","6","chromosome","Named chromosome",320.6476205
"Infection within diets","LOC126278232","NC_064925.1",451728478,451816002,451772240,"-",1,594873984,"6","6","chromosome","Named chromosome",451.77224
"Infection within diets","LOC126278259","NC_064925.1",342173552,342178395,342175973.5,"+",1,594873984,"6","6","chromosome","Named chromosome",342.1759735
"Infection within diets","LOC126278289","NC_064925.1",80856954,81081802,80969378,"+",1,594873984,"6","6","chromosome","Named chromosome",80.969378
"Infection within diets","LOC126278308","NC_064925.1",476936091,477040710,476988400.5,"+",1,594873984,"6","6","chromosome","Named chromosome",476.9884005
"Infection within diets","LOC126278341","NC_064925.1",336194722,336332823,336263772.5,"-",1,594873984,"6","6","chromosome","Named chromosome",336.2637725
"Infection within diets","LOC126278364","NC_064925.1",529705681,529743955,529724818,"+",1,594873984,"6","6","chromosome","Named chromosome",529.724818
"Infection within diets","LOC126278365","NC_064925.1",529869495,529918600,529894047.5,"+",1,594873984,"6","6","chromosome","Named chromosome",529.8940475
"Infection within diets","LOC126278382","NC_064925.1",311522934,311661414,311592174,"+",1,594873984,"6","6","chromosome","Named chromosome",311.592174
"Infection within diets","LOC126278436","NC_064925.1",59750494,59773487,59761990.5,"+",1,594873984,"6","6","chromosome","Named chromosome",59.7619905
"Infection within diets","LOC126278447","NC_064920.1",996364330,996396024,996380177,"-",1,1209568729,"1","1","chromosome","Named chromosome",996.380177
"Infection within diets","LOC126278456","NC_064925.1",371393488,371465547,371429517.5,"+",1,594873984,"6","6","chromosome","Named chromosome",371.4295175
"Infection within diets","LOC126278485","NC_064925.1",483796152,483801210,483798681,"+",1,594873984,"6","6","chromosome","Named chromosome",483.798681
"Infection within diets","LOC126278501","NC_064925.1",328576937,328582330,328579633.5,"-",1,594873984,"6","6","chromosome","Named chromosome",328.5796335
"Infection within diets","LOC126278530","NC_064925.1",523953334,523954236,523953785,"-",1,594873984,"6","6","chromosome","Named chromosome",523.953785
"Infection within diets","LOC126278549","NC_064925.1",201774358,201777636,201775997,"-",1,594873984,"6","6","chromosome","Named chromosome",201.775997
"Infection within diets","LOC126278559","NC_064925.1",386287190,386395754,386341472,"-",1,594873984,"6","6","chromosome","Named chromosome",386.341472
"Infection within diets","LOC126278567","NC_064925.1",247706202,247845998,247776100,"-",1,594873984,"6","6","chromosome","Named chromosome",247.7761
"Infection within diets","LOC126278622","NC_064925.1",530129793,530224917,530177355,"+",1,594873984,"6","6","chromosome","Named chromosome",530.177355
"Infection within diets","LOC126278644","NC_064925.1",19885261,20210975,20048118,"+",1,594873984,"6","6","chromosome","Named chromosome",20.048118
"Infection within diets","LOC126278673","NC_064925.1",478963997,479272626,479118311.5,"-",1,594873984,"6","6","chromosome","Named chromosome",479.1183115
"Infection within diets","LOC126278697","NC_064925.1",483147432,483245711,483196571.5,"-",1,594873984,"6","6","chromosome","Named chromosome",483.1965715
"Infection within diets","LOC126278707","NC_064925.1",37792882,37990630,37891756,"-",1,594873984,"6","6","chromosome","Named chromosome",37.891756
"Infection within diets","LOC126278735","NC_064925.1",83444590,84402979,83923784.5,"-",1,594873984,"6","6","chromosome","Named chromosome",83.9237845
"Infection within diets","LOC126278849","NC_064925.1",275291671,275359490,275325580.5,"-",1,594873984,"6","6","chromosome","Named chromosome",275.3255805
"Infection within diets","LOC126278946","NC_064925.1",249674315,250117886,249896100.5,"-",1,594873984,"6","6","chromosome","Named chromosome",249.8961005
"Infection within diets","LOC126278962","NC_064925.1",118313582,118611572,118462577,"+",1,594873984,"6","6","chromosome","Named chromosome",118.462577
"Infection within diets","LOC126278972","NC_064925.1",229415263,229631928,229523595.5,"+",1,594873984,"6","6","chromosome","Named chromosome",229.5235955
"Infection within diets","LOC126279018","NC_064925.1",564079973,564254730,564167351.5,"-",1,594873984,"6","6","chromosome","Named chromosome",564.1673515
"Infection within diets","LOC126279039","NC_064925.1",2482865,2709943,2596404,"+",1,594873984,"6","6","chromosome","Named chromosome",2.596404
"Infection within diets","LOC126279052","NC_064925.1",172616690,172636634,172626662,"+",1,594873984,"6","6","chromosome","Named chromosome",172.626662
"Infection within diets","LOC126279091","NC_064925.1",448256824,448606414,448431619,"+",1,594873984,"6","6","chromosome","Named chromosome",448.431619
"Infection within diets","LOC126279122","NC_064920.1",1031478943,1031702520,1031590731.5,"+",1,1209568729,"1","1","chromosome","Named chromosome",1031.5907315
"Infection within diets","LOC126279221","NC_064920.1",1032489538,1032583987,1032536762.5,"-",1,1209568729,"1","1","chromosome","Named chromosome",1032.5367625
"Infection within diets","LOC126279309","NC_064920.1",1033437940,1033930259,1033684099.5,"-",1,1209568729,"1","1","chromosome","Named chromosome",1033.6840995
"Infection within diets","LOC126279611","NC_064920.1",1037284092,1037470262,1037377177,"-",1,1209568729,"1","1","chromosome","Named chromosome",1037.377177
"Infection within diets","LOC126280394","NC_064920.1",1042317534,1042326804,1042322169,"-",1,1209568729,"1","1","chromosome","Named chromosome",1042.322169
"Infection within diets","LOC126281065","NC_064920.1",1057907864,1058241169,1058074516.5,"-",1,1209568729,"1","1","chromosome","Named chromosome",1058.0745165
"Infection within diets","LOC126281097","NC_064920.1",1057512256,1057846057,1057679156.5,"-",1,1209568729,"1","1","chromosome","Named chromosome",1057.6791565
"Infection within diets","LOC126281165","NC_064926.1",261838752,261939264,261889008,"-",1,574732873,"7","7","chromosome","Named chromosome",261.889008
"Infection within diets","LOC126281245","NC_064926.1",215806297,215883311,215844804,"+",1,574732873,"7","7","chromosome","Named chromosome",215.844804
"Infection within diets","LOC126281291","NC_064926.1",79457638,79466729,79462183.5,"-",1,574732873,"7","7","chromosome","Named chromosome",79.4621835
"Infection within diets","LOC126281296","NC_064920.1",1060649573,1061407997,1061028785,"+",1,1209568729,"1","1","chromosome","Named chromosome",1061.028785
"Infection within diets","LOC126281299","NC_064926.1",514716650,514726283,514721466.5,"-",1,574732873,"7","7","chromosome","Named chromosome",514.7214665
"Infection within diets","LOC126281310","NC_064926.1",192216303,192314645,192265474,"+",1,574732873,"7","7","chromosome","Named chromosome",192.265474
"Infection within diets","LOC126281351","NC_064926.1",543334942,543828563,543581752.5,"+",1,574732873,"7","7","chromosome","Named chromosome",543.5817525
"Infection within diets","LOC126281398","NC_064926.1",494939275,495575667,495257471,"+",1,574732873,"7","7","chromosome","Named chromosome",495.257471
"Infection within diets","LOC126281406","NC_064926.1",346712465,346796023,346754244,"-",1,574732873,"7","7","chromosome","Named chromosome",346.754244
"Infection within diets","LOC126281446","NC_064926.1",221318774,221405553,221362163.5,"+",1,574732873,"7","7","chromosome","Named chromosome",221.3621635
