source_sheet,umbrella,subcategory,gene_id,description_workbook,description_gff,gene_biotype,seqid,sequence_name,sequence_role,sequence_class,original_significant_contrasts,current_significant_contrasts,newly_significant_contrasts,no_longer_significant_contrasts,figure_scope
Immune,Humoral Immunity,Antimicrobial Peptides (AMPs),LOC126334780,defensin-1-like,defensin-1-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Immune,Humoral Immunity,Antimicrobial Peptides (AMPs),LOC126336322,defensin-like,defensin-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,0,0,0,Main chromosome
Immune,Humoral Immunity,Antimicrobial Peptides (AMPs),LOC126336325,defensin-like,defensin-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Humoral Immunity,Lytic Enzymes,LOC126271975,lysozyme-like,lysozyme-like,protein_coding,NC_064924.1,Chromosome5,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Humoral Immunity,Lytic Enzymes,LOC126272361,lysozyme-like,lysozyme-like,protein_coding,NC_064924.1,Chromosome5,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Immune,Humoral Immunity,Lytic Enzymes,LOC126272362,lysozyme c-1-like,lysozyme c-1-like,protein_coding,NC_064924.1,Chromosome5,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Immune,Humoral Immunity,Lytic Enzymes,LOC126277383,putative lysozyme-like protein,putative lysozyme-like protein,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Humoral Immunity,Lytic Enzymes,LOC126322960,lysozyme-like,lysozyme-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Immune,Humoral Immunity,Prophenoloxidase (proPO) System,LOC126293579,melanization protease 1-like,melanization protease 1-like,protein_coding,NC_064929.1,Chromosome10,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Humoral Immunity,Prophenoloxidase (proPO) System,LOC126334632,phenoloxidase 2-like,phenoloxidase 2-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing,LOC126266672,cytokine receptor-like,cytokine receptor-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing,LOC126267038,signal transducer and activator of transcription 5A,signal transducer and activator of transcription 5A,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing,LOC126267869,cytokine receptor-like,cytokine receptor-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing,LOC126282030,nuclear factor NF-kappa-B p110 subunit,nuclear factor NF-kappa-B p110 subunit,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing,LOC126284033,toll-like receptor 2,toll-like receptor 2,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing,LOC126284043,toll-like receptor 2,toll-like receptor 2,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing,LOC126318464,"TNF receptor-associated protein 1 homolog, mitochondrial-like","TNF receptor-associated protein 1 homolog, mitochondrial-like",protein_coding,NW_026062051.1,ptg000668l,unplaced-scaffold,Unplaced scaffold,0,0,0,0,Unplaced scaffold
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing,LOC126322280,differentially expressed in FDCP 6 homolog,differentially expressed in FDCP 6 homolog,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,0,0,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing,LOC126325205,toll-like receptor 4,toll-like receptor 4,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing,LOC126325232,toll-like receptor 2,toll-like receptor 2,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing,LOC126331691,toll-like receptor 2 type-2,toll-like receptor 2 type-2,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing,LOC126335828,toll-like receptor 2,toll-like receptor 2,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing,LOC126356285,toll-like receptor 2,toll-like receptor 2,protein_coding,NC_064922.1,Chromosome3,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing,LOC126359055,toll-like receptor 2,toll-like receptor 2,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Immune Activation & Sensing,LOC126359091,toll-like receptor 2 type-2,toll-like receptor 2 type-2,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Pattern Recognition Receptors (PRRs),LOC126266760,peptidoglycan recognition protein-like,peptidoglycan recognition protein-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Pattern Recognition Receptors (PRRs),LOC126267215,peptidoglycan recognition protein 1-like,peptidoglycan recognition protein 1-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Pattern Recognition Receptors (PRRs),LOC126267216,peptidoglycan recognition protein 1-like,peptidoglycan recognition protein 1-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Pattern Recognition Receptors (PRRs),LOC126268068,peptidoglycan recognition protein 1-like,peptidoglycan recognition protein 1-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Pattern Recognition Receptors (PRRs),LOC126284543,scavenger receptor class B member 1-like,scavenger receptor class B member 1-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Pattern Recognition Receptors (PRRs),LOC126315431,endoplasmic reticulum lectin 1-like,endoplasmic reticulum lectin 1-like,protein_coding,NW_026061960.1,ptg000569l,unplaced-scaffold,Unplaced scaffold,0,0,0,0,Unplaced scaffold
Immune,Innate Immune Recognition & Signaling,Post-Translational Regulation & Feedback Control,LOC126278049,cytokine-inducible SH2-containing protein-like,cytokine-inducible SH2-containing protein-like,protein_coding,NC_064925.1,Chromosome6,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Post-Translational Regulation & Feedback Control,LOC126284375,ankyrin repeat and SOCS box protein 14-like,ankyrin repeat and SOCS box protein 14-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,Nuclear chromosome,0,2,2,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Post-Translational Regulation & Feedback Control,LOC126295201,ankyrin repeat and SOCS box protein 16-like,ankyrin repeat and SOCS box protein 16-like,protein_coding,NC_064930.1,Chromosome11,assembled-molecule,Nuclear chromosome,0,0,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Post-Translational Regulation & Feedback Control,LOC126295382,ankyrin repeat and SOCS box protein 2-like,ankyrin repeat and SOCS box protein 2-like,protein_coding,NC_064930.1,Chromosome11,assembled-molecule,Nuclear chromosome,0,0,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126266641,serine protease snake-like,serine protease snake-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,0,0,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126267442,CLIP domain-containing serine protease 14D-like,CLIP domain-containing serine protease 14D-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126267545,serine protease Hayan-like,serine protease Hayan-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,0,4,4,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126281581,modular serine protease-like,modular serine protease-like,protein_coding,NC_064926.1,Chromosome7,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126282207,modular serine protease-like,modular serine protease-like,protein_coding,NC_064926.1,Chromosome7,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126291782,putative inactive serine protease 43,putative inactive serine protease 43,protein_coding,NC_064928.1,Chromosome9,assembled-molecule,Nuclear chromosome,0,0,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126335013,serine protease snake-like,serine protease snake-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126352738,CLIP domain-containing serine protease HP8-like,CLIP domain-containing serine protease HP8-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126352796,CLIP domain-containing serine protease HP8-like,CLIP domain-containing serine protease HP8-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Cascades,LOC126353952,serine protease snake-like,serine protease snake-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126284004,serine protease inhibitor I/II-like,serine protease inhibitor I/II-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126284336,serine protease inhibitor I/II-like,serine protease inhibitor I/II-like,protein_coding,NC_064927.1,Chromosome8,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335167,serine protease inhibitor 88Ea-like,serine protease inhibitor 88Ea-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,0,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335463,serpin B8-like,serpin B8-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335465,serpin B6-like,serpin B6-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335468,serpin B6-like,serpin B6-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335471,serpin B6-like,serpin B6-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,0,0,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335472,serpin B4-like,serpin B4-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126335547,serpin B6-like,serpin B6-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Immune,Innate Immune Recognition & Signaling,Serine Protease Inhibitors (Serpins),LOC126336076,serpin B8-like,serpin B8-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,LOC126293368,phosphoserine aminotransferase (aa metabolism),phosphoserine aminotransferase,protein_coding,NC_064929.1,Chromosome10,assembled-molecule,Nuclear chromosome,0,5,5,0,Main chromosome
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,LOC126298104,aminoacylase-1A-like (cleaves acetylated amino acids),aminoacylase-1A-like,protein_coding,NC_064931.1,ChromosomeX,assembled-molecule,Nuclear chromosome,0,0,0,0,Main chromosome
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,LOC126317104,type-3 glutamine synthetase-like,type-3 glutamine synthetase-like,protein_coding,NW_026062009.1,ptg000621l,unplaced-scaffold,Unplaced scaffold,0,1,1,0,Unplaced scaffold
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,LOC126319940,"aspartate aminotransferase, mitochondrial-like","aspartate aminotransferase, mitochondrial-like",protein_coding,NW_026062071.1,ptg000691l,unplaced-scaffold,Unplaced scaffold,0,0,0,0,Unplaced scaffold
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,LOC126322589,glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2-like,glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2-like,protein_coding,NW_026062185.1,ptg000818l,unplaced-scaffold,Unplaced scaffold,0,1,1,0,Unplaced scaffold
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,LOC126328060,probable ornithine aminotransferase,probable ornithine aminotransferase,protein_coding,NW_026062425.1,ptg001083l,unplaced-scaffold,Unplaced scaffold,0,0,0,0,Unplaced scaffold
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,LOC126330815,probable alanine aminotransferase mitochondrial (aa metabolism),"probable alanine aminotransferase, mitochondrial",protein_coding,NW_026062667.1,ptg001361l,unplaced-scaffold,Unplaced scaffold,0,0,0,0,Unplaced scaffold
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Biosynthesis & Interconversion,LOC126352958,"ornithine aminotransferase, mitochondrial (amino acid metabolism)","ornithine aminotransferase, mitochondrial",protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,0,4,4,0,Main chromosome
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Transporters,LOC126316687,proton-coupled amino acid transporter 4-like,proton-coupled amino acid transporter 4-like,protein_coding,NW_026061985.1,ptg000596l,unplaced-scaffold,Unplaced scaffold,0,0,0,0,Unplaced scaffold
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Transporters,LOC126355939,proton-coupled amino acid transporter-like protein pathetic,proton-coupled amino acid transporter-like protein pathetic,protein_coding,NC_064922.1,Chromosome3,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Amino Acid Transporters,LOC126356065,large neutral amino acids transporter small subunit 1,large neutral amino acids transporter small subunit 1,protein_coding,NC_064922.1,Chromosome3,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126266840,alpha-aminoadipic semialdehyde dehydrogenase-like (lysine metabolism),alpha-aminoadipic semialdehyde dehydrogenase-like,protein_coding,NC_064923.1,Chromosome4,assembled-molecule,Nuclear chromosome,0,0,0,0,Main chromosome
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126271954,aromatic-L-amino-acid decarboxylase-like,aromatic-L-amino-acid decarboxylase-like,protein_coding,NC_064924.1,Chromosome5,assembled-molecule,Nuclear chromosome,0,0,0,0,Main chromosome
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126299365,bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase,bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase,protein_coding,NC_064931.1,ChromosomeX,assembled-molecule,Nuclear chromosome,0,2,2,0,Main chromosome
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126304976,puromycin-sensitive aminopeptidase-like (peptide metabolism),puromycin-sensitive aminopeptidase-like,protein_coding,NW_026061743.1,ptg000215l,unplaced-scaffold,Unplaced scaffold,0,0,0,0,Unplaced scaffold
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126316674,dipeptidyl aminopeptidase BI-like,dipeptidyl aminopeptidase BI-like,protein_coding,NW_026061985.1,ptg000596l,unplaced-scaffold,Unplaced scaffold,0,0,0,0,Unplaced scaffold
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Peptide & Amine Metabolism,LOC126335041,xaa-Pro aminopeptidase ApepP-like,xaa-Pro aminopeptidase ApepP-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Protein-Anabolism,Nitrogen & Amino Acid Metabolism,Polyamine Biosynthesis & Growth Priming,LOC126278485,ornithine decarboxylase-like,ornithine decarboxylase-like,protein_coding,NC_064925.1,Chromosome6,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Amino Acid Transporters (TOR-linked),LOC126298679,b(0%2C+)-type amino acid transporter 1,"b(0,+)-type amino acid transporter 1",protein_coding,NC_064931.1,ChromosomeX,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Amino Acid Transporters (TOR-linked),LOC126334706,sodium-dependent nutrient amino acid transporter 1-like,sodium-dependent nutrient amino acid transporter 1-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,2,2,0,Main chromosome
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Amino Acid Transporters (TOR-linked),LOC126353931,high affinity cationic amino acid transporter 1-like,high affinity cationic amino acid transporter 1-like,protein_coding,NC_064922.1,Chromosome3,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Insulin & Growth Signaling Pathway Regulators,LOC126281978,mast/stem cell growth factor receptor kita-like,mast/stem cell growth factor receptor kita-like,protein_coding,NC_064926.1,Chromosome7,assembled-molecule,Nuclear chromosome,0,2,2,0,Main chromosome
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Insulin & Growth Signaling Pathway Regulators,LOC126282034,vascular endothelial growth factor receptor kdr-like,vascular endothelial growth factor receptor kdr-like,protein_coding,NC_064926.1,Chromosome7,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Insulin & Growth Signaling Pathway Regulators,LOC126282035,vascular endothelial growth factor receptor kdr-like,vascular endothelial growth factor receptor kdr-like,protein_coding,NC_064926.1,Chromosome7,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Insulin & Growth Signaling Pathway Regulators,LOC126291785,insulin receptor related protein,insulin receptor-related protein-like,protein_coding,NC_064928.1,Chromosome9,assembled-molecule,Nuclear chromosome,0,2,2,0,Main chromosome
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Insulin & Growth Signaling Pathway Regulators,LOC126320564,epidermal growth factor receptor substrate 15 homolog,epidermal growth factor receptor substrate 15 homolog,protein_coding,NW_026062105.1,ptg000728l,unplaced-scaffold,Unplaced scaffold,0,0,0,0,Unplaced scaffold
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Insulin & Growth Signaling Pathway Regulators,LOC126320753,insulin degrading enzyme,insulin-degrading enzyme-like,protein_coding,NW_026062120.1,ptg000744l,unplaced-scaffold,Unplaced scaffold,0,0,0,0,Unplaced scaffold
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Insulin & Growth Signaling Pathway Regulators,LOC126322939,glucose dependent insulinotropic receptor,glucose-dependent insulinotropic receptor-like,protein_coding,NC_064920.1,Chromosome1,assembled-molecule,Nuclear chromosome,0,0,0,0,Main chromosome
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Insulin & Growth Signaling Pathway Regulators,LOC126334930,insulin receptor substrate 1,insulin receptor substrate 1,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,1,1,0,Main chromosome
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,Insulin & Growth Signaling Pathway Regulators,LOC126336578,vascular endothelial growth factor receptor 1-like,vascular endothelial growth factor receptor 1-like,protein_coding,NC_064921.1,Chromosome2,assembled-molecule,Nuclear chromosome,0,3,3,0,Main chromosome
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,TOR Pathway Regulators,LOC126317075,GATOR complex protein MIOS-like,GATOR complex protein MIOS-like,protein_coding,NW_026062009.1,ptg000621l,unplaced-scaffold,Unplaced scaffold,0,0,0,0,Unplaced scaffold
Protein-Anabolism,Nutrient Sensing & TOR/Insulin Signaling,TOR Pathway Regulators,LOC126317525,rapamycin-insensitive companion of mTOR-like,rapamycin-insensitive companion of mTOR-like,protein_coding,NW_026062019.1,ptg000633l,unplaced-scaffold,Unplaced scaffold,0,0,0,0,Unplaced scaffold
