scaffold	source_run	source_model	assembly_sequence_role	assembly_unit	length_bp	gc_percent	n_percent	annotated_genes	candidate_deg_genes	annotated_genes_per_mb	candidate_deg_genes_per_mb	n_deg_contrasts	deg_contrasts	kraken_status	kraken_taxid	kraken_taxon_name	kraken_broad_group	kraken_lineage	cross_species_best_species	cross_species_max_coverage_percent	cross_species_weighted_identity_percent	cross_species_best_target_sequence	cross_species_strong_support_count	cross_species_strong_support_species	cross_species_partial_support_count	cross_species_partial_support_species	ncbi_fcs_run_date	ncbi_fcs_db_build_date	ncbi_fcs_asserted_division	ncbi_fcs_flagged	fcs_action	fcs_contam_type	fcs_coverage	fcs_contam_details	preliminary_evidence_status	recommended_next_test	automatic_filter_decision	assembly_bioproject	assembly_biosample	assembly_length_bp	n_unique_deg_genes
NW_026061762.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	9066619	41.96333826313866	0.0	2	2	0.22058939501042232	0.22058939501042232	3	infection_average_all_diets;infection_diet50;infection_diet83	Unclassified	0	unclassified	Unclassified		piceifrons	68.6206953220379	90.05250378592068	NW_025728272.1	2	americana;piceifrons	3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Strong cross-Schistocerca support for host origin	Confirm with original genomic DNA coverage/Hi-C; retain as host unless stronger contradictory evidence appears.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	9066619	2
NW_026061786.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	8140279	42.59990351682049	0.0	12	1	1.4741509474061025	0.12284591228384187	1	infection_diet83	Unclassified	0	unclassified	Unclassified		serialis_cubense	77.89591732666656	91.22019774366039	NC_064644.1	3	americana;piceifrons;serialis_cubense	3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Strong cross-Schistocerca support for host origin	Confirm with original genomic DNA coverage/Hi-C; retain as host unless stronger contradictory evidence appears.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	8140279	1
NW_026061799.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	11369862	41.17735993629474	0.0	96	2	8.443374246758669	0.1759036301408056	1	infection_average_all_diets	Unclassified	0	unclassified	Unclassified		americana	43.118087097275236	91.85172317313997	NC_061052.1	0		3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Partial cross-Schistocerca support; likely host-associated	Retain pending genomic DNA coverage/Hi-C confirmation and inspect repeat content.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	11369862	2
NW_026061824.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	21740884	41.856136116636286	0.0	29	3	1.3338924029032122	0.13798886926584952	4	infection_average_all_diets;infection_diet33;infection_diet50;infection_diet83	Unclassified	0	unclassified	Unclassified		americana	70.09705309130945	89.37142949736521	NW_025725470.1	2	americana;piceifrons	3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Strong cross-Schistocerca support for host origin	Confirm with original genomic DNA coverage/Hi-C; retain as host unless stronger contradictory evidence appears.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	21740884	3
NW_026061838.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	218639	48.058214682650394	0.0	67	23	306.4412113117971	105.19623671897511	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	218639	23
NW_026061847.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	2743148	44.04067881135104	0.0	8	1	2.9163574112661803	0.36454467640827254	2	infection_average_all_diets;infection_diet50	Unclassified	0	unclassified	Unclassified		piceifrons	36.22330986151677	90.58783822236745	NW_025729208.1	0		3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Partial cross-Schistocerca support; likely host-associated	Retain pending genomic DNA coverage/Hi-C confirmation and inspect repeat content.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	2743148	1
NW_026061883.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	6573511	41.98027507674362	0.0	1	1	0.1521257057301646	0.1521257057301646	2	infection_average_all_diets;infection_diet50	Unclassified	0	unclassified	Unclassified		americana	68.32137346389167	88.28699352835528	NW_025726642.1	2	americana;piceifrons	3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Strong cross-Schistocerca support for host origin	Confirm with original genomic DNA coverage/Hi-C; retain as host unless stronger contradictory evidence appears.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	6573511	1
NW_026061884.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	6337860	43.29595478600032	0.0	80	2	12.622557140738357	0.31556392851845894	4	infection_average_all_diets;infection_diet33;infection_diet50;infection_diet83	Unclassified	0	unclassified	Unclassified		serialis_cubense	43.03853351131139	92.49561035785567	NW_026047654.1	0		3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Partial cross-Schistocerca support; likely host-associated	Retain pending genomic DNA coverage/Hi-C confirmation and inspect repeat content.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	6337860	2
NW_026061886.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	283099	50.20858427617194	0.0	97	30	342.6363215694863	105.9699963616968	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	283099	30
NW_026061891.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	1791060	44.30851004433129	0.0	1	1	0.5583285875403392	0.5583285875403392	1	infection_diet83	Unclassified	0	unclassified	Unclassified		americana	22.552064140788136	89.67161459990753	NC_060119.1	0		3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Partial cross-Schistocerca support; likely host-associated	Retain pending genomic DNA coverage/Hi-C confirmation and inspect repeat content.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	1791060	1
NW_026061953.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	216778	43.266844421481885	0.0	51	21	235.2637260238585	96.87329895100056	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NW_025726082.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	216778	21
NW_026061958.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	23566	44.54298565730289	0.0	6	2	254.60409063905627	84.86803021301876	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	23566	2
NW_026061960.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	597154	44.18106552078693	0.0	208	73	348.3188591217676	122.24652267254343	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	597154	73
NW_026061970.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	278481	40.36074274367012	0.0	5	1	17.954546270661197	3.590909254132239	1	infection_average_all_diets	Unclassified	0	unclassified	Unclassified		americana	99.54718634305392	94.44333236682209	NW_025726489.1	3	americana;piceifrons;serialis_cubense	3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Strong cross-Schistocerca support for host origin	Confirm with original genomic DNA coverage/Hi-C; retain as host unless stronger contradictory evidence appears.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	278481	1
NW_026061974.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	122239	50.18938309377531	0.0	34	10	278.1436366462422	81.80695195477712	2	infected_diet33_vs50;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NC_060121.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	122239	10
NW_026061985.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	114926	49.333484155021495	0.0	30	12	261.0375371978491	104.41501487913962	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	114926	12
NW_026061988.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	376478	45.07434697379395	0.0	115	32	305.46273620238105	84.99832659544516	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	376478	32
NW_026062003.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	342834	46.311042662046354	0.0	96	27	280.0189012758361	78.75531598382891	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NC_060121.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	342834	27
NW_026062009.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	188512	41.22177898489221	0.0	44	20	233.4068918689526	106.09404175861484	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NC_060121.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	188512	20
NW_026062018.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	242317	44.01795994503068	0.0	70	22	288.87779231337464	90.79016329848916	2	infected_diet33_vs50;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NC_060121.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	242317	22
NW_026062019.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	40940	41.65852467024914	0.0	1	1	24.42598925256473	24.42598925256473	1	infection_diet33	Unclassified	0	unclassified	Unclassified		piceifrons	99.44308744504153	97.12423005251567	NC_060149.1	3	americana;piceifrons;serialis_cubense	3	americana;piceifrons;serialis_cubense	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Strong cross-Schistocerca support for host origin	Confirm with original genomic DNA coverage/Hi-C; retain as host unless stronger contradictory evidence appears.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	40940	1
NW_026062043.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	187750	42.33768308921438	0.0	50	16	266.31158455392807	85.219707057257	2	infected_diet33_vs50;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NW_025725583.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	187750	16
NW_026062048.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	353118	42.51326751963933	0.0	88	22	249.20847988491101	62.302119971227754	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NC_060121.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	353118	22
NW_026062051.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	147068	49.64098240269807	0.0	39	14	265.1834525525607	95.19405989066281	2	infected_diet33_vs50;infection_average_all_diets	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	147068	14
NW_026062056.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	187012	45.7724637991145	0.0	59	18	315.4877761854854	96.25050798879215	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NW_025726159.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	187012	18
NW_026062059.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	117526	48.83430049520957	0.0	33	9	280.78893181083333	76.57879958477272	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	117526	9
NW_026062071.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	621335	44.73593150232966	0.0	164	66	263.94778983961953	106.22289103301762	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NC_060124.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	621335	66
NW_026062094.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	84846	48.03644249581595	0.0	22	8	259.2933078754449	94.28847559107088	2	infected_diet33_vs50;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NC_060130.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	84846	8
NW_026062097.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	426281	42.69953387554219	0.0	111	38	260.3916196124153	89.14307698443045	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0		0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	426281	38
NW_026062105.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	222873	45.39984654938014	0.0	58	16	260.2378933293849	71.7897636770717	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	Unclassified	0	unclassified	Unclassified		americana	0.0	0.0	NC_060121.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	222873	16
NW_026062108.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	31061	22.816393548179388	0.0	2	1	64.38942725604456	32.19471362802228	1	infected_diet33_vs50	Unclassified	0	unclassified	Unclassified		americana	7.079617526802099	87.69	NC_060121.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	31061	1
NW_026062120.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	unplaced-scaffold	Primary Assembly	51614	52.99918626729182	0.0	23	7	445.6155306699733	135.62211802999187	2	infected_diet33_vs50;infection_diet33	Unclassified	0	unclassified	Unclassified		piceifrons	0.2983686596659821	97.04	NW_025728291.1	0		0		Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no					Unresolved by Kraken/FCS	Use cross-Schistocerca alignment, BLASTn/DIAMOND, and original genomic DNA coverage.	retain_pending_independent_validation	PRJNA782545	SAMN23383904	51614	7
