scaffold	comparison_species	query_length_bp	aligned_query_bp	query_coverage_percent	weighted_identity_percent	best_target_sequence	best_alignment_identity_percent	alignment_records	high_conf_aligned_query_bp	high_conf_query_coverage_percent	high_conf_weighted_identity_percent	high_conf_alignment_records
NW_026061988.1	americana		0	0	0		0	0	0	0	0	0
NW_026062003.1	americana	342834	10996	3.2073831650303064	92.91973190789473	NC_060121.1	90.13	9	0	0.0	0	0
NW_026062009.1	americana	188512	2574	1.3654303174333728	95.77904459901801	NC_060121.1	94.62	8	0	0.0	0	0
NW_026062018.1	americana	242317	5768	2.380353008662207	93.24941765241128	NC_060121.1	90.74	5	0	0.0	0	0
NW_026062019.1	americana	40940	40698	99.40889106008794	96.09068025275819	NC_060130.1	96.89999999999999	20	39775	97.15437225207621	96.64264443476065	5
NW_026062043.1	americana	187750	534	0.2844207723035952	94.98824615384615	NW_025725583.1	96.41999999999999	4	0	0.0	0	0
NW_026062048.1	americana	353118	11432	3.2374447068685255	93.14697685233027	NC_060121.1	90.72	8	0	0.0	0	0
NW_026062051.1	americana		0	0	0		0	0	0	0	0	0
NW_026062056.1	americana	187012	142	0.07593095630226937	97.89	NW_025726159.1	97.89	1	0	0.0	0	0
NW_026062059.1	americana		0	0	0		0	0	0	0	0	0
NW_026062071.1	americana	621335	11713	1.8851344282874778	93.07090731230129	NC_060124.1	95.28999999999999	13	0	0.0	0	0
NW_026062094.1	americana	84846	80	0.09428847559107088	97.89	NC_060130.1	97.89	1	0	0.0	0	0
NW_026062097.1	americana		0	0	0		0	0	0	0	0	0
NW_026062105.1	americana	222873	5719	2.5660353654323313	93.19670523814445	NC_060121.1	90.9	4	0	0.0	0	0
NW_026062108.1	americana	31061	2199	7.079617526802099	92.32673446112905	NC_060121.1	87.69	4	2199	7.079617526802099	87.69	1
NW_026062120.1	americana	51614	203	0.3933041422869764	94.37659090909092	NC_060124.1	92.73	2	0	0.0	0	0
NW_026062140.1	americana		0	0	0		0	0	0	0	0	0
NW_026062171.1	americana		0	0	0		0	0	0	0	0	0
NW_026062176.1	americana		0	0	0		0	0	0	0	0	0
NW_026062185.1	americana	366495	5712	1.5585478655916178	93.06017980779167	NC_060121.1	90.64	4	0	0.0	0	0
NW_026062196.1	americana	207904	5724	2.753193781745421	93.35447539461467	NC_060121.1	90.74	4	0	0.0	0	0
NW_026062217.1	americana		0	0	0		0	0	0	0	0	0
NW_026062229.1	americana	248508	5714	2.299322355819531	93.08082566911233	NC_060121.1	90.7	4	0	0.0	0	0
NW_026062236.1	americana	256518	36132	14.085561247163941	86.49722200898603	NC_060119.1	96.11	12	423	0.16490070872219492	96.11	1
NW_026062244.1	americana		0	0	0		0	0	0	0	0	0
NW_026062249.1	americana		0	0	0		0	0	0	0	0	0
NW_026062253.1	americana		0	0	0		0	0	0	0	0	0
NW_026062282.1	americana		0	0	0		0	0	0	0	0	0
NW_026062299.1	americana		0	0	0		0	0	0	0	0	0
NW_026062302.1	americana		0	0	0		0	0	0	0	0	0
NW_026062315.1	americana	206002	1728	0.8388268075067232	95.22358818418766	NC_060124.1	95.28999999999999	6	110	0.05339753982971039	95.28999999999999	1
NW_026062325.1	americana		0	0	0		0	0	0	0	0	0
NW_026062331.1	americana		0	0	0		0	0	0	0	0	0
NW_026062332.1	americana		0	0	0		0	0	0	0	0	0
NW_026062344.1	americana	391542	5722	1.4614013311471055	92.91084443068029	NC_060121.1	90.58	4	0	0.0	0	0
NW_026062374.1	americana		0	0	0		0	0	0	0	0	0
NW_026062425.1	americana		0	0	0		0	0	0	0	0	0
NW_026062445.1	americana	57899	191	0.3298847993920448	97.90826666666666	NW_025726230.1	98.08	2	0	0.0	0	0
NW_026062453.1	americana	120714	6346	5.2570538628493795	93.11627343823612	NC_060121.1	90.78	11	0	0.0	0	0
NW_026062491.1	americana		0	0	0		0	0	0	0	0	0
NW_026062521.1	americana		0	0	0		0	0	0	0	0	0
NW_026062549.1	americana		0	0	0		0	0	0	0	0	0
NW_026062553.1	americana	133558	5711	4.27604486440348	93.22470904392765	NC_060121.1	90.92	4	0	0.0	0	0
NW_026062566.1	americana		0	0	0		0	0	0	0	0	0
NW_026062667.1	americana		0	0	0		0	0	0	0	0	0
NW_026062676.1	americana	41897	2199	5.248585817600305	92.43122980421973	NC_060121.1	87.94	4	2199	5.248585817600305	87.94	1
NW_026062747.1	americana		0	0	0		0	0	0	0	0	0
NW_026062750.1	americana		0	0	0		0	0	0	0	0	0
NW_026062795.1	americana		0	0	0		0	0	0	0	0	0
NW_026062803.1	americana		0	0	0		0	0	0	0	0	0
NW_026062990.1	americana		0	0	0		0	0	0	0	0	0
NW_026061707.1	piceifrons	20428078	19891636	97.37399671178072	87.44646069479887	NW_025728246.1	99.95	15661	4670156	22.86145568858705	92.43448643920469	375
NW_026061710.1	piceifrons	26857663	26208529	97.5830585110849	88.18457814171869	NW_025728246.1	99.95	19401	9441974	35.15560531085672	91.12804130569718	869
NW_026061723.1	piceifrons	1659960	1638996	98.73707800187957	90.28258128697134	NW_025728272.1	99.14	679	1066076	64.22299332514037	90.6379625373014	278
NW_026061724.1	piceifrons	17802503	17416891	97.83394503570649	89.98914274814445	NW_025728246.1	99.95	10585	5674320	31.873720229116095	93.23452309616641	410
NW_026061726.1	piceifrons	6115594	5858471	95.79561690982102	93.71235277348754	NC_061053.1	98.86	2499	2111220	34.52191234408301	95.22782978942948	125
NW_026061730.1	piceifrons	13365026	13320707	99.66839570682467	91.00454076749851	NW_025728246.1	99.95	11981	6321948	47.30217509490816	91.2886134185174	822
NW_026061732.1	piceifrons	395514	25563	6.463235182572551	88.34034016701627	NW_025729208.1	90.47	2	0	0.0	0	0
NW_026061743.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026061752.1	piceifrons	4839267	4759478	98.35121724013162	90.19575610541526	NW_025728246.1	99.94	2513	2651162	54.78437126945052	92.17519476325685	195
NW_026061756.1	piceifrons	4434329	4418883	99.65167221466878	89.08091045092905	NW_025728272.1	99.25	2067	3095902	69.81669605480333	89.45680552007124	506
NW_026061762.1	piceifrons	9066619	9001773	99.28478300455771	89.32693588496008	NW_025728272.1	98.89	3525	6221577	68.6206953220379	90.05250378592068	1102
NW_026061786.1	piceifrons	8140279	7692586	94.500274499191	90.76329536000996	NW_025728274.1	99.92999999999999	4041	5115522	62.84209668980633	92.54606556837155	287
NW_026061799.1	piceifrons	11369862	11052179	97.20592035329892	88.14555123236265	NW_025728274.1	99.88	8532	3333525	29.318957433256447	93.31765844236402	309
NW_026061824.1	piceifrons	21740884	21501756	98.90009992233986	89.71788490585291	NW_025729109.1	99.87	9088	14819304	68.1633000755627	90.19213220640104	3789
NW_026061838.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026061847.1	piceifrons	2743148	2292004	83.55378565064663	88.84242810061069	NW_025729208.1	99.92999999999999	1647	993659	36.22330986151677	90.58783822236745	103
NW_026061883.1	piceifrons	6573511	6527534	99.30057164276442	89.2384629920655	NW_025728272.1	98.83	2588	4413113	67.13479295919639	89.8042714674509	783
NW_026061884.1	piceifrons	6337860	6257842	98.7374602783905	90.59148128503806	NW_025728246.1	99.95	2884	2132099	33.640676821513885	92.45920906727622	187
NW_026061886.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026061891.1	piceifrons	1791060	1665011	92.96232398691278	87.56934491539229	NC_060138.1	94.5	1364	214768	11.991111408886358	92.65402376556652	20
NW_026061953.1	piceifrons	216778	259	0.11947706870623402	95.4063888888889	NC_060141.1	98.69	4	0	0.0	0	0
NW_026061958.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026061960.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026061970.1	piceifrons	278481	263611	94.66031793910535	91.30197153215961	NC_060143.1	99.21	42	261100	93.75864062539276	91.54768042685944	11
NW_026061974.1	piceifrons	122239	45	0.0368131283796497	95.82000000000001	NC_060138.1	95.82000000000001	1	0	0.0	0	0
NW_026061985.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026061988.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062003.1	piceifrons	342834	10996	3.2073831650303064	92.49802180516382	NW_025729208.1	96.75	6	0	0.0	0	0
NW_026062009.1	piceifrons	188512	2444	1.2964691902902732	95.25992289899769	NC_060149.1	98.24000000000001	5	0	0.0	0	0
NW_026062018.1	piceifrons	242317	5770	2.3811783737831025	91.78781917120135	NW_025729208.1	97.48	4	0	0.0	0	0
NW_026062019.1	piceifrons	40940	40712	99.44308744504153	92.74281013505646	NC_060149.1	97.14	15	40712	99.44308744504153	97.12423005251567	2
NW_026062043.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062048.1	piceifrons	353118	11432	3.2374447068685255	91.83466610431604	NW_025729208.1	97.48	6	0	0.0	0	0
NW_026062051.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062056.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062059.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062071.1	piceifrons	621335	11459	1.8442547096171953	92.38060876658224	NW_025729208.1	96.78999999999999	6	0	0.0	0	0
NW_026062094.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062097.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062105.1	piceifrons	222873	5719	2.5660353654323313	91.8823187183811	NW_025729208.1	97.48	3	0	0.0	0	0
NW_026062108.1	piceifrons	31061	868	2.794501142912334	95.07249541284402	NW_025729228.1	97.35000000000001	2	0	0.0	0	0
NW_026062120.1	piceifrons	51614	216	0.4184911070639749	94.14393162393164	NW_025728291.1	97.04	2	154	0.2983686596659821	97.04	1
NW_026062140.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062171.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062176.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062185.1	piceifrons	366495	5712	1.5585478655916178	91.91463647869499	NW_025729208.1	98.24000000000001	3	0	0.0	0	0
NW_026062196.1	piceifrons	207904	5724	2.753193781745421	93.38119185815377	NW_025728529.1	95.38	3	0	0.0	0	0
NW_026062217.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062229.1	piceifrons	248508	5714	2.299322355819531	92.11136576239475	NW_025729225.1	97.50999999999999	2	0	0.0	0	0
NW_026062236.1	piceifrons	256518	9420	3.6722569176432063	93.23903770225284	NC_060141.1	95.57	8	0	0.0	0	0
NW_026062244.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062249.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062253.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062282.1	piceifrons	292790	487	0.16633081730933433	91.2	NC_060148.1	91.2	1	0	0.0	0	0
NW_026062299.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062302.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062315.1	piceifrons	206002	1521	0.7383423461908137	94.71673469387756	NW_025729208.1	97.2	2	0	0.0	0	0
NW_026062325.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062331.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062332.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062344.1	piceifrons	391542	5722	1.4614013311471055	91.75622524926274	NW_025729208.1	97.1	3	0	0.0	0	0
NW_026062374.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062425.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062445.1	piceifrons	57899	184	0.3177947805661583	98.08000000000001	NC_060143.1	98.08	1	0	0.0	0	0
NW_026062453.1	piceifrons	120714	5716	4.735159136471329	91.94415014761704	NW_025729208.1	98.24000000000001	3	0	0.0	0	0
NW_026062491.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062521.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062549.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062553.1	piceifrons	133558	5711	4.27604486440348	92.10590039392234	NW_025729208.1	98.24000000000001	3	0	0.0	0	0
NW_026062566.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062667.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062676.1	piceifrons	41897	868	2.0717473804807027	95.26361467889907	NW_025729228.1	97.35000000000001	2	0	0.0	0	0
NW_026062747.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062750.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062795.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062803.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026062990.1	piceifrons		0	0	0		0	0	0	0	0	0
NW_026061707.1	serialis_cubense	20428078	20327203	99.50619436640099	88.85339337573674	NW_026048363.1	99.92999999999999	24267	7624567	37.32395676186472	90.84627488192501	2638
NW_026061710.1	serialis_cubense	26857663	26637168	99.17902387858541	88.87362607172467	NW_026048363.1	99.94	29093	10395129	38.70451796196862	89.94052195833575	2865
NW_026061723.1	serialis_cubense	1659960	1647325	99.23883708041157	88.29829325747437	NC_064649.1	98.6	977	622928	37.52668739005759	90.25171597639917	84
NW_026061724.1	serialis_cubense	17802503	17714195	99.5039573929576	89.60351766654207	NW_026048363.1	99.94	18511	8081630	45.3960322320968	91.5073787425236	2505
NW_026061726.1	serialis_cubense	6115594	5668976	92.69706262384324	89.19629854624233	NW_026047654.1	99.87	5078	2389871	39.07831357019449	92.27581075993642	2161
NW_026061730.1	serialis_cubense	13365026	13318924	99.65505491721453	88.61765356498962	NW_026048363.1	99.92999999999999	13755	5736130	42.91895878092568	89.80751236686002	2430
NW_026061732.1	serialis_cubense	395514	25743	6.508745581698752	86.11595949712387	NW_026047617.1	95.82000000000001	11	0	0.0	0	0
NW_026061743.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026061752.1	serialis_cubense	4839267	4822619	99.65598095744666	90.25767489649122	NW_026047654.1	99.89	4703	2705624	55.90978964376217	92.02473235415232	807
NW_026061756.1	serialis_cubense	4434329	4415712	99.5801619591149	87.43047021007924	NC_064647.1	99.05000000000001	2369	1647287	37.148506572245765	89.33735551139503	138
NW_026061762.1	serialis_cubense	9066619	9019764	99.48321419483933	87.92227189693553	NC_064649.1	98.05	3376	3876060	42.75088652120487	89.80812651529337	213
NW_026061786.1	serialis_cubense	8140279	8043982	98.81703071848028	89.18889821225847	NC_064644.1	97.11999999999999	2205	6340945	77.89591732666656	91.22019774366039	405
NW_026061799.1	serialis_cubense	11369862	11268665	99.10995401703204	88.76580319225998	NW_026047475.1	99.4	12433	4367642	38.414204147772416	91.20861274755357	1392
NW_026061824.1	serialis_cubense	21740884	21577142	99.24684755228904	87.90290507484926	NC_064647.1	98.97	12850	8374061	38.517573618441645	89.93589843835797	938
NW_026061838.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026061847.1	serialis_cubense	2743148	2294824	83.65658724939377	87.63075045466823	NC_064638.1	95.47	2246	780795	28.463466061619716	90.79841465248582	41
NW_026061883.1	serialis_cubense	6573511	6556037	99.7341755418071	87.47067746412071	NC_064649.1	96.75	2710	2555392	38.874081141721675	88.93768375658948	133
NW_026061884.1	serialis_cubense	6337860	6301697	99.42941308264935	90.20366279745953	NW_026047654.1	99.89	6118	2727722	43.03853351131139	92.49561035785567	860
NW_026061886.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026061891.1	serialis_cubense	1791060	1701402	94.99413754983082	87.14556195096586	NC_064638.1	94.78999999999999	2068	204646	11.425971212578027	93.63961929609215	17
NW_026061953.1	serialis_cubense	216778	350	0.1614554982516676	95.93877729257642	NW_026047617.1	97.1	7	0	0.0	0	0
NW_026061958.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026061960.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026061970.1	serialis_cubense	278481	244707	87.87206308509377	91.2551901180967	NC_064638.1	98.6	171	205742	73.8800851763675	92.05399466300463	29
NW_026061974.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026061985.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026061988.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062003.1	serialis_cubense	342834	11003	3.2094249695187758	90.67901756766946	NC_064641.1	97.72999999999999	8	0	0.0	0	0
NW_026062009.1	serialis_cubense	188512	2359	1.251379222542862	94.80022405660377	NW_026047617.1	95.82000000000001	8	0	0.0	0	0
NW_026062018.1	serialis_cubense	242317	5923	2.444318805531597	90.75776587720623	NC_064641.1	90.81	5	0	0.0	0	0
NW_026062019.1	serialis_cubense	40940	40534	99.00830483634587	92.65219415611688	NC_064640.1	97.02	29	39775	97.15437225207621	96.56502640455973	7
NW_026062043.1	serialis_cubense	187750	193	0.10279627163781624	96.03463414634146	NW_026047617.1	97.1	6	0	0.0	0	0
NW_026062048.1	serialis_cubense	353118	48205	13.651244060059243	83.57281565529334	NW_026047423.1	96.41999999999999	5	0	0.0	0	0
NW_026062051.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062056.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062059.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062071.1	serialis_cubense	621335	11706	1.8840078218674305	90.79618088664343	NW_026047617.1	97.56	13	0	0.0	0	0
NW_026062094.1	serialis_cubense	84846	80	0.09428847559107088	97.89	NC_064640.1	97.89	1	0	0.0	0	0
NW_026062097.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062105.1	serialis_cubense	222873	5719	2.5660353654323313	90.90513770032673	NW_026047429.1	96.41999999999999	3	0	0.0	0	0
NW_026062108.1	serialis_cubense	31061	2199	7.079617526802099	88.73165876777252	NC_064641.1	86.42	3	2199	7.079617526802099	86.42	1
NW_026062120.1	serialis_cubense	51614	210	0.40686635408997557	94.89378571428573	NC_064649.1	95.98	2	0	0.0	0	0
NW_026062140.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062171.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062176.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062185.1	serialis_cubense	366495	5712	1.5585478655916178	90.78505919003115	NW_026047423.1	96.41999999999999	3	0	0.0	0	0
NW_026062196.1	serialis_cubense	207904	5724	2.753193781745421	90.76550544323484	NW_026047429.1	96.41999999999999	3	0	0.0	0	0
NW_026062217.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062229.1	serialis_cubense	248508	5714	2.299322355819531	90.66020554344442	NW_026047399.1	96.41999999999999	3	0	0.0	0	0
NW_026062236.1	serialis_cubense	256518	47945	18.69069616946959	84.87578691466167	NC_064641.1	81.80000000000001	13	0	0.0	0	0
NW_026062244.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062249.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062253.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062282.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062299.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062302.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062315.1	serialis_cubense	206002	1732	0.8407685362278036	94.26086654309545	NW_026047617.1	98.24000000000001	7	0	0.0	0	0
NW_026062325.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062331.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062332.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062344.1	serialis_cubense	391542	5815	1.4851535722859872	90.59324084010424	NC_064647.1	94.97	4	0	0.0	0	0
NW_026062374.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062425.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062445.1	serialis_cubense	57899	184	0.3177947805661583	97.27475177304963	NC_064641.1	97.72999999999999	2	0	0.0	0	0
NW_026062453.1	serialis_cubense	120714	5977	4.951372665970807	91.08669506462984	NW_026047617.1	97.89	10	0	0.0	0	0
NW_026062491.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062521.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062549.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062553.1	serialis_cubense	133558	5711	4.27604486440348	91.29777011494252	NW_026047399.1	96.41999999999999	3	0	0.0	0	0
NW_026062566.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062667.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062676.1	serialis_cubense	41897	2199	5.248585817600305	88.92363665086887	NC_064641.1	86.57000000000001	3	2199	5.248585817600305	86.57000000000001	1
NW_026062747.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062750.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062795.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062803.1	serialis_cubense		0	0	0		0	0	0	0	0	0
NW_026062990.1	serialis_cubense		0	0	0		0	0	0	0	0	0
