scaffold	source_run	source_model	n_unique_deg_genes	n_deg_contrasts	deg_contrasts	assembly_sequence_role	assembly_unit	assembly_length_bp	assembly_bioproject	assembly_biosample	ncbi_fcs_run_date	ncbi_fcs_db_build_date	ncbi_fcs_asserted_division	ncbi_fcs_flagged	fcs_action	fcs_contam_type	fcs_coverage	fcs_contam_details
NW_026062018.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	22	2	infected_diet33_vs50;infection_diet33	unplaced-scaffold	Primary Assembly	242317	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062019.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	1	1	infection_diet33	unplaced-scaffold	Primary Assembly	40940	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062043.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	16	2	infected_diet33_vs50;infection_diet33	unplaced-scaffold	Primary Assembly	187750	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062048.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	22	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	353118	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062051.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	14	2	infected_diet33_vs50;infection_average_all_diets	unplaced-scaffold	Primary Assembly	147068	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062056.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	18	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	187012	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062059.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	9	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	117526	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062071.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	66	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	621335	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062094.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	8	2	infected_diet33_vs50;infection_diet33	unplaced-scaffold	Primary Assembly	84846	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062097.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	38	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	426281	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062105.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	16	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	unplaced-scaffold	Primary Assembly	222873	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062108.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	1	1	infected_diet33_vs50	unplaced-scaffold	Primary Assembly	31061	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062120.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	7	2	infected_diet33_vs50;infection_diet33	unplaced-scaffold	Primary Assembly	51614	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062140.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	1	1	infected_diet33_vs50	unplaced-scaffold	Primary Assembly	54349	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062171.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	1	1	infected_diet33_vs50	unplaced-scaffold	Primary Assembly	36907	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062176.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	18	2	infected_diet33_vs50;infection_diet33	unplaced-scaffold	Primary Assembly	242820	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062185.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	31	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	366495	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062196.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	14	2	infected_diet33_vs50;infection_diet33	unplaced-scaffold	Primary Assembly	207904	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062217.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	22	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	108767	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062229.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	24	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	248508	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062236.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	26	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	256518	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062244.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	12	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	120664	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062249.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	19	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	unplaced-scaffold	Primary Assembly	241426	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062253.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	9	2	infected_diet33_vs50;infection_diet33	unplaced-scaffold	Primary Assembly	74958	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062282.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	25	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	292790	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062299.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	24	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	262043	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062302.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	16	2	infected_diet33_vs50;infection_diet33	unplaced-scaffold	Primary Assembly	191019	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062315.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	16	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	206002	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062325.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	6	1	infected_diet33_vs50	unplaced-scaffold	Primary Assembly	42430	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062331.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	9	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	unplaced-scaffold	Primary Assembly	134788	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062332.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	2	2	infected_diet33_vs50;infection_diet33	unplaced-scaffold	Primary Assembly	46418	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062344.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	40	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	391542	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062374.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	8	2	infected_diet33_vs50;infection_diet33	unplaced-scaffold	Primary Assembly	156446	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062425.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	12	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	82666	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062445.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	5	2	infected_diet33_vs50;infection_diet33	unplaced-scaffold	Primary Assembly	57899	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062453.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	2	1	infected_diet33_vs50	unplaced-scaffold	Primary Assembly	120714	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062491.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	8	2	infected_diet33_vs50;infection_average_all_diets	unplaced-scaffold	Primary Assembly	78405	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062521.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	7	2	infected_diet33_vs50;infection_diet33	unplaced-scaffold	Primary Assembly	45343	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062549.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	8	2	infected_diet33_vs50;infection_diet33	unplaced-scaffold	Primary Assembly	81318	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062553.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	13	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	unplaced-scaffold	Primary Assembly	133558	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062566.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	5	1	infected_diet33_vs50	unplaced-scaffold	Primary Assembly	85828	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062667.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	6	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	unplaced-scaffold	Primary Assembly	51953	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062676.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	5	2	infected_diet33_vs50;infection_diet33	unplaced-scaffold	Primary Assembly	41897	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062747.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	5	2	infected_diet33_vs50;infection_diet33	unplaced-scaffold	Primary Assembly	57233	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062750.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	4	1	infected_diet33_vs50	unplaced-scaffold	Primary Assembly	50201	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062795.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	6	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	unplaced-scaffold	Primary Assembly	43210	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062803.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	7	2	infected_diet33_vs50;infection_diet33	unplaced-scaffold	Primary Assembly	61147	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
NW_026062990.1	host_pathogen_dual_20260727_000952	unified_all_samples_no_exclusions	3	1	infected_diet33_vs50	unplaced-scaffold	Primary Assembly	11589	PRJNA782545	SAMN23383904	Thu Mar 23 10:57:22 2023	2023-01-24	anml:insects	no				
