gene_id,seqid,region_claim,region_length_bp,taxon,isolate,mol_type,source,gff_gene_id,gene_biotype,Description,origin_evidence_class,origin_screen_priority,DEG_contexts,exact_deg_contrasts,GOs,KEGG_ko,KEGG_Pathway,PFAMs,start,end,strand
LOC126304649,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304649,protein_coding,uncharacterized LOC126304649,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,323644,325066,-
LOC126304650,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304650,protein_coding,uncharacterized LOC126304650,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,278594,280634,-
LOC126304662,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304662,protein_coding,uncharacterized LOC126304662,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,294166,294982,+
LOC126304666,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304666,protein_coding,uncharacterized LOC126304666,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,255965,257726,+
LOC126304670,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304670,protein_coding,uncharacterized LOC126304670,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,15266,18091,+
LOC126304678,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304678,protein_coding,uncharacterized LOC126304678,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,223847,225490,-
LOC126304692,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304692,lncRNA,uncharacterized LOC126304692,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,144940,146054,+
LOC126304694,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304694,protein_coding,uncharacterized LOC126304694,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,148930,151777,-
LOC126304695,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304695,protein_coding,uncharacterized LOC126304695,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,159716,165472,-
LOC126304701,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304701,protein_coding,uncharacterized LOC126304701,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,119522,121404,+
LOC126304706,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304706,protein_coding,uncharacterized LOC126304706,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,188017,192403,-
LOC126304710,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304710,protein_coding,uncharacterized LOC126304710,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,233207,234213,-
LOC126304720,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304720,lncRNA,uncharacterized LOC126304720,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,113753,114259,-
LOC126304734,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304734,protein_coding,uncharacterized LOC126304734,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,191954,195704,-
LOC126304739,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304739,protein_coding,uncharacterized LOC126304739,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,320931,323185,-
LOC126304743,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304743,protein_coding,uncharacterized LOC126304743,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,82302,86372,-
LOC126304749,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304749,protein_coding,uncharacterized LOC126304749,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,70892,72937,-
LOC126304757,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304757,protein_coding,uncharacterized LOC126304757,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,28879,33239,+
LOC126304760,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304760,protein_coding,uncharacterized LOC126304760,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,67754,70564,-
LOC126304767,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304767,lncRNA,uncharacterized LOC126304767,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,24319,24925,+
LOC126304973,NW_026061743.1,RefSeq S. gregaria unplaced genomic region,149608,7010,iqSchGreg1,genomic DNA,Gnomon,126304973,protein_coding,uncharacterized LOC126304973,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,63445,67938,-
LOC126304979,NW_026061743.1,RefSeq S. gregaria unplaced genomic region,149608,7010,iqSchGreg1,genomic DNA,Gnomon,126304979,protein_coding,uncharacterized LOC126304979,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,96186,97602,-
LOC126304988,NW_026061743.1,RefSeq S. gregaria unplaced genomic region,149608,7010,iqSchGreg1,genomic DNA,Gnomon,126304988,protein_coding,uncharacterized LOC126304988,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,108796,111137,+
LOC126304989,NW_026061743.1,RefSeq S. gregaria unplaced genomic region,149608,7010,iqSchGreg1,genomic DNA,Gnomon,126304989,protein_coding,uncharacterized LOC126304989,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,110807,112652,-
LOC126304995,NW_026061743.1,RefSeq S. gregaria unplaced genomic region,149608,7010,iqSchGreg1,genomic DNA,Gnomon,126304995,protein_coding,uncharacterized LOC126304995,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,121993,123391,+
LOC126305004,NW_026061743.1,RefSeq S. gregaria unplaced genomic region,149608,7010,iqSchGreg1,genomic DNA,Gnomon,126305004,protein_coding,uncharacterized LOC126305004,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,144181,145125,-
LOC126305006,NW_026061743.1,RefSeq S. gregaria unplaced genomic region,149608,7010,iqSchGreg1,genomic DNA,Gnomon,126305006,protein_coding,uncharacterized LOC126305006,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,143360,144030,+
LOC126305015,NW_026061743.1,RefSeq S. gregaria unplaced genomic region,149608,7010,iqSchGreg1,genomic DNA,Gnomon,126305015,protein_coding,uncharacterized LOC126305015,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,45731,47021,-
LOC126305017,NW_026061743.1,RefSeq S. gregaria unplaced genomic region,149608,7010,iqSchGreg1,genomic DNA,Gnomon,126305017,protein_coding,uncharacterized LOC126305017,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,48621,50686,+
LOC126305058,NW_026061752.1,RefSeq S. gregaria unplaced genomic region,4839267,7010,iqSchGreg1,genomic DNA,Gnomon,126305058,lncRNA,uncharacterized LOC126305058,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 50: infected vs control | Upregulated,,,,,1730957,1787101,+
LOC126305117,NW_026061762.1,RefSeq S. gregaria unplaced genomic region,9066619,7010,iqSchGreg1,genomic DNA,Gnomon,126305117,lncRNA,uncharacterized LOC126305117,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 50: infected vs control | Upregulated; Infection within diet | Diet 83: infected vs control | Upregulated,,,,,3406,19934,+
LOC126305118,NW_026061762.1,RefSeq S. gregaria unplaced genomic region,9066619,7010,iqSchGreg1,genomic DNA,Gnomon,126305118,lncRNA,uncharacterized LOC126305118,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 50: infected vs control | Upregulated,,,,,6904877,6922710,+
LOC126305259,NW_026061786.1,RefSeq S. gregaria unplaced genomic region,8140279,7010,iqSchGreg1,genomic DNA,Gnomon,126305259,protein_coding,uncharacterized LOC126305259,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection within diets,Infection within diet | Diet 83: infected vs control | Upregulated,,,,,1101270,1140473,-
LOC126306493,NW_026061799.1,RefSeq S. gregaria unplaced genomic region,11369862,7010,iqSchGreg1,genomic DNA,Gnomon,126306493,lncRNA,uncharacterized LOC126306493,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 50: infected vs control | Upregulated,,,,,6074937,6122580,-
LOC126309705,NW_026061824.1,RefSeq S. gregaria unplaced genomic region,21740884,7010,iqSchGreg1,genomic DNA,Gnomon,126309705,lncRNA,uncharacterized LOC126309705,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 50: infected vs control | Upregulated,,,,,17676957,17693245,+
LOC126309706,NW_026061824.1,RefSeq S. gregaria unplaced genomic region,21740884,7010,iqSchGreg1,genomic DNA,Gnomon,126309706,lncRNA,uncharacterized LOC126309706,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 50: infected vs control | Upregulated,,,,,788854,804300,-
LOC126309709,NW_026061824.1,RefSeq S. gregaria unplaced genomic region,21740884,7010,iqSchGreg1,genomic DNA,Gnomon,126309709,lncRNA,uncharacterized LOC126309709,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 50: infected vs control | Upregulated,,,,,15172875,15189261,+
LOC126311182,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311182,protein_coding,uncharacterized LOC126311182,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,164777,167818,-
LOC126311183,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311183,protein_coding,uncharacterized LOC126311183,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,175761,178220,-
LOC126311187,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311187,protein_coding,uncharacterized LOC126311187,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,47163,50100,+
LOC126311188,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311188,protein_coding,uncharacterized LOC126311188,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,57122,59827,-
LOC126311190,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311190,protein_coding,uncharacterized LOC126311190,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,74394,76699,-
LOC126311194,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311194,protein_coding,uncharacterized LOC126311194,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,84118,86316,+
LOC126311199,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311199,protein_coding,uncharacterized LOC126311199,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,60704,64683,-
LOC126311202,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311202,protein_coding,uncharacterized LOC126311202,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,65504,67566,-
LOC126311208,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311208,protein_coding,uncharacterized LOC126311208,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,23282,24150,-
LOC126311211,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311211,protein_coding,uncharacterized LOC126311211,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,91228,94282,-
LOC126311213,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311213,protein_coding,uncharacterized LOC126311213,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,89833,91295,+
LOC126311215,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311215,protein_coding,uncharacterized LOC126311215,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,97273,157504,+
LOC126311216,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311216,protein_coding,uncharacterized LOC126311216,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,151559,157688,-
LOC126311220,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311220,protein_coding,uncharacterized LOC126311220,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,101080,103873,-
LOC126311232,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311232,protein_coding,uncharacterized LOC126311232,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,167897,169927,+
LOC126311233,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311233,protein_coding,uncharacterized LOC126311233,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,170920,174393,-
LOC126311239,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311239,protein_coding,uncharacterized LOC126311239,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,183772,185113,+
LOC126311243,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311243,lncRNA,uncharacterized LOC126311243,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,197096,197900,+
LOC126311252,NW_026061838.1,RefSeq S. gregaria unplaced genomic region,218639,7010,iqSchGreg1,genomic DNA,Gnomon,126311252,protein_coding,uncharacterized LOC126311252,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,17,1395,-
LOC126311259,NW_026061842.1,RefSeq S. gregaria unplaced genomic region,6163012,7010,iqSchGreg1,genomic DNA,Gnomon,126311259,lncRNA,uncharacterized LOC126311259,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 50: infected vs control | Upregulated,,,,,5701231,5717133,+
LOC126313187,NW_026061883.1,RefSeq S. gregaria unplaced genomic region,6573511,7010,iqSchGreg1,genomic DNA,Gnomon,126313187,lncRNA,uncharacterized LOC126313187,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 50: infected vs control | Upregulated,,,,,2369044,2386956,+
LOC126313188,NW_026061884.1,RefSeq S. gregaria unplaced genomic region,6337860,7010,iqSchGreg1,genomic DNA,Gnomon,126313188,lncRNA,uncharacterized LOC126313188,Low-information RefSeq gene,Needs sequence-level taxonomy,Infection vs control; Infection within diets,Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 50: infected vs control | Upregulated; Infection within diet | Diet 83: infected vs control | Upregulated,,,,,35328,51434,+
LOC126313301,NW_026061886.1,RefSeq S. gregaria unplaced genomic region,283099,7010,iqSchGreg1,genomic DNA,Gnomon,126313301,lncRNA,uncharacterized LOC126313301,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,2012,4938,-
LOC126313302,NW_026061886.1,RefSeq S. gregaria unplaced genomic region,283099,7010,iqSchGreg1,genomic DNA,Gnomon,126313302,protein_coding,uncharacterized LOC126313302,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,5587,7920,+
LOC126313304,NW_026061886.1,RefSeq S. gregaria unplaced genomic region,283099,7010,iqSchGreg1,genomic DNA,Gnomon,126313304,protein_coding,uncharacterized LOC126313304,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,52625,55824,-
LOC126313306,NW_026061886.1,RefSeq S. gregaria unplaced genomic region,283099,7010,iqSchGreg1,genomic DNA,Gnomon,126313306,protein_coding,uncharacterized LOC126313306,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,8699,11399,-
LOC126313307,NW_026061886.1,RefSeq S. gregaria unplaced genomic region,283099,7010,iqSchGreg1,genomic DNA,Gnomon,126313307,protein_coding,uncharacterized LOC126313307,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,18737,19437,-
LOC126313309,NW_026061886.1,RefSeq S. gregaria unplaced genomic region,283099,7010,iqSchGreg1,genomic DNA,Gnomon,126313309,lncRNA,uncharacterized LOC126313309,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,59050,60242,+
LOC126313312,NW_026061886.1,RefSeq S. gregaria unplaced genomic region,283099,7010,iqSchGreg1,genomic DNA,Gnomon,126313312,lncRNA,uncharacterized LOC126313312,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,27310,29031,+
LOC126313313,NW_026061886.1,RefSeq S. gregaria unplaced genomic region,283099,7010,iqSchGreg1,genomic DNA,Gnomon,126313313,protein_coding,uncharacterized LOC126313313,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,36302,42021,+
LOC126313314,NW_026061886.1,RefSeq S. gregaria unplaced genomic region,283099,7010,iqSchGreg1,genomic DNA,Gnomon,126313314,protein_coding,uncharacterized LOC126313314,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,45621,47617,-
LOC126313322,NW_026061886.1,RefSeq S. gregaria unplaced genomic region,283099,7010,iqSchGreg1,genomic DNA,Gnomon,126313322,protein_coding,uncharacterized LOC126313322,Low-information RefSeq gene,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,,24654,27236,-
