DEG_context,gene_id,seqid,start,end,midpoint,strand,seq_start,seq_end,chromosome,genome,chromosome_class,region_name,region_chromosome,region_genome,taxon,isolate,mol_type,tissue_type,region_length_bp,source,gff_gene_id,gff_description,gff_biotype,gff_gbkey,Description,gene_biotype,GOs,KEGG_ko,KEGG_Pathway,PFAMs,exact_deg_contrasts,annotation_text,has_domain_annotation,origin_evidence_class,origin_screen_priority,region_claim
Infection within diets,LOC126313188,NW_026061884.1,35328,51434,43381,+,1,6337860,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,6337860,Gnomon,126313188,uncharacterized LOC126313188,lncRNA,Gene,uncharacterized LOC126313188,lncRNA,,,,,Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 50: infected vs control | Upregulated; Infection within diet | Diet 83: infected vs control | Upregulated,uncharacterized LOC126313188 | | | | | Infection within diet | Diet 33: infected vs control | Upregulated; Infection within diet | Diet 50: infected vs control | Upregulated; Infection within diet | Diet 83: infected vs control | Upregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126313336,NW_026061886.1,92129,95025,93577,-,1,283099,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,283099,Gnomon,126313336,uncharacterized LOC126313336,protein_coding,Gene,uncharacterized LOC126313336,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,uncharacterized LOC126313336 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126314467,NW_026061954.1,10829,123312,67070.5,-,1,852195,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,852195,Gnomon,126314467,pleckstrin homology domain-containing family F member 2-like,protein_coding,Gene,pleckstrin homology domain-containing family F member 2-like,protein_coding,"GO:0003674,GO:0005488,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0005770,GO:0006810,GO:0006897,GO:0006996,GO:0007032,GO:0007034,GO:0007041,GO:0008150,GO:0008289,GO:0008333,GO:0009987,GO:0010256,GO:0012505,GO:0016043,GO:0016050,GO:0016192,GO:0031410,GO:0031982,GO:0035091,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0044424,GO:0044444,GO:0044464,GO:0046907,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0071840,GO:0097708,GO:0098657",,,"FYVE,PH",Infection within diet | Diet 33: infected vs control | Upregulated,"pleckstrin homology domain-containing family F member 2-like | GO:0003674,GO:0005488,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0005770,GO:0006810,GO:0006897,GO:0006996,GO:0007032,GO:0007034,GO:0007041,GO:0008150,GO:0008289,GO:0008333,GO:0009987,GO:0010256,GO:0012505,GO:0016043,GO:0016050,GO:0016192,GO:0031410,GO:0031982,GO:0035091,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0044424,GO:0044444,GO:0044464,GO:0046907,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0071840,GO:0097708,GO:0098657 | | | FYVE,PH | Infection within diet | Diet 33: infected vs control | Upregulated",TRUE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126315212,NW_026061958.1,16302,17279,16790.5,+,1,23566,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,23566,Gnomon,126315212,40S ribosomal protein S6-like,protein_coding,Gene,40S ribosomal protein S6-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,40S ribosomal protein S6-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126315341,NW_026061960.1,210665,212043,211354,-,1,597154,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,597154,Gnomon,126315341,uncharacterized LOC126315341,protein_coding,Gene,uncharacterized LOC126315341,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,uncharacterized LOC126315341 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126315292,NW_026061960.1,245745,248142,246943.5,+,1,597154,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,597154,Gnomon,126315292,uncharacterized LOC126315292,protein_coding,Gene,uncharacterized LOC126315292,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,uncharacterized LOC126315292 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126315417,NW_026061960.1,430802,434174,432488,+,1,597154,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,597154,Gnomon,126315417,uncharacterized LOC126315417,protein_coding,Gene,uncharacterized LOC126315417,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,uncharacterized LOC126315417 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126315224,NW_026061960.1,434356,437642,435999,-,1,597154,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,597154,Gnomon,126315224,dual specificity protein kinase shkC-like,protein_coding,Gene,dual specificity protein kinase shkC-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,dual specificity protein kinase shkC-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126315922,NW_026061970.1,153873,158622,156247.5,+,1,278481,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,278481,Gnomon,126315922,uncharacterized LOC126315922,protein_coding,Gene,uncharacterized LOC126315922,protein_coding,,,,,Infection within diet | Diet 33: infected vs control | Upregulated,uncharacterized LOC126315922 | | | | | Infection within diet | Diet 33: infected vs control | Upregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126316751,NW_026061988.1,107511,109457,108484,-,1,376478,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,376478,Gnomon,126316751,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1-like,protein_coding,Gene,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126317118,NW_026062009.1,175690,181194,178442,+,1,188512,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,188512,Gnomon,126317118,serine/threonine-protein phosphatase 4 catalytic subunit-like,protein_coding,Gene,serine/threonine-protein phosphatase 4 catalytic subunit-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,serine/threonine-protein phosphatase 4 catalytic subunit-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126317525,NW_026062019.1,1829,40441,21135,-,1,40940,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,40940,Gnomon,126317525,rapamycin-insensitive companion of mTOR-like,protein_coding,Gene,rapamycin-insensitive companion of mTOR-like,protein_coding,"GO:0000902,GO:0000904,GO:0001932,GO:0001934,GO:0003674,GO:0005575,GO:0005622,GO:0005623,GO:0006355,GO:0006950,GO:0006996,GO:0007010,GO:0007154,GO:0007163,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007275,GO:0007399,GO:0008047,GO:0008104,GO:0008150,GO:0008286,GO:0008361,GO:0008582,GO:0009267,GO:0009605,GO:0009653,GO:0009719,GO:0009725,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0009991,GO:0010033,GO:0010243,GO:0010468,GO:0010556,GO:0010557,GO:0010562,GO:0010604,GO:0010628,GO:0010646,GO:0010647,GO:0010975,GO:0016043,GO:0016358,GO:0019219,GO:0019220,GO:0019222,GO:0022008,GO:0022607,GO:0022613,GO:0022618,GO:0023051,GO:0023052,GO:0023056,GO:0030010,GO:0030029,GO:0030030,GO:0030036,GO:0030154,GO:0030182,GO:0030234,GO:0030950,GO:0030952,GO:0031175,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031344,GO:0031399,GO:0031401,GO:0031532,GO:0031667,GO:0031668,GO:0031669,GO:0031929,GO:0031932,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032535,GO:0032868,GO:0032869,GO:0032870,GO:0032956,GO:0032970,GO:0032989,GO:0032990,GO:0032991,GO:0033036,GO:0033043,GO:0033365,GO:0033554,GO:0033674,GO:0034063,GO:0034504,GO:0034613,GO:0034622,GO:0035556,GO:0038201,GO:0038203,GO:0040008,GO:0042221,GO:0042325,GO:0042327,GO:0042594,GO:0043085,GO:0043434,GO:0043549,GO:0043933,GO:0044085,GO:0044087,GO:0044089,GO:0044093,GO:0044424,GO:0044464,GO:0045595,GO:0045664,GO:0045793,GO:0045859,GO:0045860,GO:0045887,GO:0045893,GO:0045927,GO:0045935,GO:0045937,GO:0046626,GO:0046628,GO:0048468,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0048638,GO:0048639,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048813,GO:0048856,GO:0048858,GO:0048869,GO:0050767,GO:0050773,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0050896,GO:0051094,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051239,GO:0051240,GO:0051246,GO:0051247,GO:0051252,GO:0051254,GO:0051338,GO:0051347,GO:0051493,GO:0051641,GO:0051716,GO:0051896,GO:0051897,GO:0051960,GO:0051962,GO:0051963,GO:0051965,GO:0060255,GO:0060284,GO:0061586,GO:0065003,GO:0065007,GO:0065008,GO:0065009,GO:0070727,GO:0070887,GO:0070925,GO:0071310,GO:0071375,GO:0071417,GO:0071495,GO:0071496,GO:0071826,GO:0071840,GO:0071900,GO:0071902,GO:0080090,GO:0090066,GO:0098772,GO:0120035,GO:0120036,GO:0120039,GO:1900076,GO:1900078,GO:1901652,GO:1901653,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1902531,GO:1902533,GO:1902680,GO:1903506,GO:1903508,GO:1904396,GO:1904398,GO:2000026,GO:2000112,GO:2001141",ko:K08267,"ko04150,map04150","RICTOR_M,RICTOR_N,RICTOR_V,RasGEF_N_2",Infection within diet | Diet 33: infected vs control | Upregulated,"rapamycin-insensitive companion of mTOR-like | GO:0000902,GO:0000904,GO:0001932,GO:0001934,GO:0003674,GO:0005575,GO:0005622,GO:0005623,GO:0006355,GO:0006950,GO:0006996,GO:0007010,GO:0007154,GO:0007163,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007275,GO:0007399,GO:0008047,GO:0008104,GO:0008150,GO:0008286,GO:0008361,GO:0008582,GO:0009267,GO:0009605,GO:0009653,GO:0009719,GO:0009725,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0009991,GO:0010033,GO:0010243,GO:0010468,GO:0010556,GO:0010557,GO:0010562,GO:0010604,GO:0010628,GO:0010646,GO:0010647,GO:0010975,GO:0016043,GO:0016358,GO:0019219,GO:0019220,GO:0019222,GO:0022008,GO:0022607,GO:0022613,GO:0022618,GO:0023051,GO:0023052,GO:0023056,GO:0030010,GO:0030029,GO:0030030,GO:0030036,GO:0030154,GO:0030182,GO:0030234,GO:0030950,GO:0030952,GO:0031175,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031344,GO:0031399,GO:0031401,GO:0031532,GO:0031667,GO:0031668,GO:0031669,GO:0031929,GO:0031932,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032535,GO:0032868,GO:0032869,GO:0032870,GO:0032956,GO:0032970,GO:0032989,GO:0032990,GO:0032991,GO:0033036,GO:0033043,GO:0033365,GO:0033554,GO:0033674,GO:0034063,GO:0034504,GO:0034613,GO:0034622,GO:0035556,GO:0038201,GO:0038203,GO:0040008,GO:0042221,GO:0042325,GO:0042327,GO:0042594,GO:0043085,GO:0043434,GO:0043549,GO:0043933,GO:0044085,GO:0044087,GO:0044089,GO:0044093,GO:0044424,GO:0044464,GO:0045595,GO:0045664,GO:0045793,GO:0045859,GO:0045860,GO:0045887,GO:0045893,GO:0045927,GO:0045935,GO:0045937,GO:0046626,GO:0046628,GO:0048468,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0048638,GO:0048639,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048813,GO:0048856,GO:0048858,GO:0048869,GO:0050767,GO:0050773,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0050896,GO:0051094,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051239,GO:0051240,GO:0051246,GO:0051247,GO:0051252,GO:0051254,GO:0051338,GO:0051347,GO:0051493,GO:0051641,GO:0051716,GO:0051896,GO:0051897,GO:0051960,GO:0051962,GO:0051963,GO:0051965,GO:0060255,GO:0060284,GO:0061586,GO:0065003,GO:0065007,GO:0065008,GO:0065009,GO:0070727,GO:0070887,GO:0070925,GO:0071310,GO:0071375,GO:0071417,GO:0071495,GO:0071496,GO:0071826,GO:0071840,GO:0071900,GO:0071902,GO:0080090,GO:0090066,GO:0098772,GO:0120035,GO:0120036,GO:0120039,GO:1900076,GO:1900078,GO:1901652,GO:1901653,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1902531,GO:1902533,GO:1902680,GO:1903506,GO:1903508,GO:1904396,GO:1904398,GO:2000026,GO:2000112,GO:2001141 | ko:K08267 | ko04150,map04150 | RICTOR_M,RICTOR_N,RICTOR_V,RasGEF_N_2 | Infection within diet | Diet 33: infected vs control | Upregulated",TRUE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126318362,NW_026062048.1,156220,158420,157320,+,1,353118,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,353118,Gnomon,126318362,vegetative catalase-like,protein_coding,Gene,vegetative catalase-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,vegetative catalase-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126318308,NW_026062048.1,242347,246921,244634,-,1,353118,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,353118,Gnomon,126318308,malate synthase-like,protein_coding,Gene,malate synthase-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,malate synthase-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126319968,NW_026062071.1,129392,131407,130399.5,-,1,621335,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,621335,Gnomon,126319968,uncharacterized LOC126319968,protein_coding,Gene,uncharacterized LOC126319968,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,uncharacterized LOC126319968 | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,Low-information RefSeq gene,Needs sequence-level taxonomy,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126319885,NW_026062071.1,291300,293454,292377,+,1,621335,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,621335,Gnomon,126319885,crustapain-like,protein_coding,Gene,crustapain-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,crustapain-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126319912,NW_026062071.1,418795,425237,422016,+,1,621335,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,621335,Gnomon,126319912,phospholipid-transporting ATPase ABCA3-like,protein_coding,Gene,phospholipid-transporting ATPase ABCA3-like,protein_coding,,,,,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,phospholipid-transporting ATPase ABCA3-like | | | | | Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
Infection within diets,LOC126320083,NW_026062080.1,44629,53527,49078,-,1,82901,Unknown,genomic,Unplaced scaffold,Unknown,Unknown,genomic,7010,iqSchGreg1,genomic DNA,thorax and abdomen,82901,Gnomon,126320083,keratin-associated protein 6-2-like,protein_coding,Gene,keratin-associated protein 6-2-like,protein_coding,,,,,Infection within diet | Diet 33: infected vs control | Upregulated,keratin-associated protein 6-2-like | | | | | Infection within diet | Diet 33: infected vs control | Upregulated,FALSE,RefSeq annotated host-like,No annotation red flag,RefSeq S. gregaria unplaced genomic region
