"gene_id","Infection within diets","Head phase DEGs","Thorax phase DEGs","intersection"
"LOC126266958",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266959",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266960",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266976",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266982",TRUE,TRUE,FALSE,"Infection within diets + Head phase DEGs"
"LOC126266984",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126266987",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126267002",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267006",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267011",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267013",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267017",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267019",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267027",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267028",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267029",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267030",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267031",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267032",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126267038",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267041",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267042",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267056",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267060",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267061",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267066",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267073",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267081",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126267091",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267104",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267106",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267107",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267114",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267115",TRUE,TRUE,FALSE,"Infection within diets + Head phase DEGs"
"LOC126267118",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267127",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267131",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267133",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267139",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267142",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126267143",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126267148",TRUE,TRUE,FALSE,"Infection within diets + Head phase DEGs"
"LOC126267152",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126267153",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267154",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267159",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267162",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267163",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267166",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267172",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267179",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267190",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267191",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267194",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267203",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126267211",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267214",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267215",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267216",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267217",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267222",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267226",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267228",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267234",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267237",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267242",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126267247",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267253",TRUE,TRUE,TRUE,"Infection within diets + Head phase DEGs + Thorax phase DEGs"
"LOC126267256",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126267259",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267263",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267265",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267271",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267274",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126267280",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267290",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267295",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126267313",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126267315",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267322",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267327",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267332",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267333",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267342",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126267343",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267350",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267351",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267355",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126267358",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126267362",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267364",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126267368",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126267391",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267393",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267400",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267421",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126267422",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126267423",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267432",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267438",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267439",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267442",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267449",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267451",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267452",TRUE,TRUE,FALSE,"Infection within diets + Head phase DEGs"
"LOC126267456",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267460",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267462",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267464",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126267466",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267468",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267471",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126267473",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126267477",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267485",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267487",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267501",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267503",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267514",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267523",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126267526",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267527",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126267530",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126267535",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267545",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267550",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267553",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267556",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126267557",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267567",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267568",TRUE,TRUE,TRUE,"Infection within diets + Head phase DEGs + Thorax phase DEGs"
"LOC126267571",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267575",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267581",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267583",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267588",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126267589",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267603",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267614",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267621",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267627",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267628",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126267629",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267652",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267664",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267676",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267677",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267685",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267691",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126267711",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267730",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126267743",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267750",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267754",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267755",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126267757",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126267772",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267773",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267787",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126267788",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267806",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267829",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267837",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126267838",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126267844",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267861",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267870",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267873",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267876",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267881",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267884",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267894",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267904",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126267912",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267916",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267932",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267934",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267936",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267939",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267952",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267953",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267970",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267971",TRUE,TRUE,FALSE,"Infection within diets + Head phase DEGs"
"LOC126267973",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267978",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267979",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126267980",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126267981",TRUE,TRUE,FALSE,"Infection within diets + Head phase DEGs"
"LOC126267982",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267984",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126267997",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268002",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126268011",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268014",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268015",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268019",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268023",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268028",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268032",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126268038",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268046",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126268068",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268069",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268070",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126268085",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268088",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268091",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268093",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268096",TRUE,TRUE,FALSE,"Infection within diets + Head phase DEGs"
"LOC126268098",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126268099",TRUE,TRUE,TRUE,"Infection within diets + Head phase DEGs + Thorax phase DEGs"
"LOC126268104",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126268114",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268125",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268126",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268128",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268131",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268132",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268133",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268138",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268144",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126268148",TRUE,TRUE,TRUE,"Infection within diets + Head phase DEGs + Thorax phase DEGs"
"LOC126268151",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126268155",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268164",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268174",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268175",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268182",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268198",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268199",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268200",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268205",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268218",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268219",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126268220",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126268224",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126268236",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268239",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268318",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268335",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126268397",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268518",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268633",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126268660",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126268712",TRUE,TRUE,FALSE,"Infection within diets + Head phase DEGs"
"LOC126268728",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126269044",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126269255",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126269352",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126269384",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126269400",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126269416",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126269432",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126269449",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126269609",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126269762",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126269996",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126270012",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126270294",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126270526",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126270553",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126270657",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126270956",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271206",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126271270",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271434",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271480",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271496",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271532",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271618",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271634",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271650",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271709",TRUE,TRUE,TRUE,"Infection within diets + Head phase DEGs + Thorax phase DEGs"
"LOC126271849",TRUE,TRUE,TRUE,"Infection within diets + Head phase DEGs + Thorax phase DEGs"
"LOC126271850",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126271851",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126271867",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126271869",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271871",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271872",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271877",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126271883",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271895",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126271903",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126271905",TRUE,TRUE,FALSE,"Infection within diets + Head phase DEGs"
"LOC126271906",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126271907",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271913",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271919",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271923",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126271928",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271934",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271938",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126271944",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271945",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271949",TRUE,FALSE,TRUE,"Infection within diets + Thorax phase DEGs"
"LOC126271954",TRUE,TRUE,FALSE,"Infection within diets + Head phase DEGs"
"LOC126271955",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271968",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271975",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126271991",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272024",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272026",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126272032",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126272038",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272040",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126272041",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272046",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272078",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272080",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272082",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272085",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126272088",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272094",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272096",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272107",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272116",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272122",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272123",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272125",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126272126",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272129",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272130",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272133",FALSE,TRUE,FALSE,"Head phase DEGs"
"LOC126272139",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272143",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126272144",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272149",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272156",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272157",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126272159",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126272178",FALSE,FALSE,TRUE,"Thorax phase DEGs"
"LOC126272185",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126272192",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272203",TRUE,FALSE,FALSE,"Infection within diets"
"LOC126272210",FALSE,TRUE,TRUE,"Head phase DEGs + Thorax phase DEGs"
"LOC126272232",TRUE,FALSE,FALSE,"Infection within diets"
