"gene_id","candidate_theme","Preferred_name","Description","PFAMs","DEG_sets","log2FC_by_diet","min_padj","max_abs_log2FC","KEGG_Pathway"
"LOC126305900","Detoxification / oxidative stress","CYP306A1","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 33; Diet 50","Diet 33=-1.72; Diet 50=-1.67",0.0031,1.72,"ko00981,map00981"
"LOC126272899","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 50; Diet 83","Diet 50=-1.39; Diet 83=-1.45",0.00351,1.45,"-"
"LOC126270657","Detoxification / oxidative stress","Cyp18a1","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 50","Diet 50=2.27",0.00372,2.27,"ko00981,map00981"
"LOC126281404","Detoxification / oxidative stress","-","Glutathione S-transferase, N-terminal domain","GST_C,GST_N,GST_N_3","Diet 50","Diet 50=-1.88",0.0038,1.88,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126271907","Detoxification / oxidative stress","-","Cytochrome P450","p450","Diet 33","Diet 33=3.09",0.00381,3.09,"-"
"LOC126272837","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 33","Diet 33=3.45",0.00434,3.45,"-"
"LOC126281357","Detoxification / oxidative stress","-","cytochrome p450","-","Diet 50","Diet 50=-3.73",0.00511,3.73,"-"
"LOC126336692","Detoxification / oxidative stress","-","Glutathione S-transferase, C-terminal domain","GST_C_3,GST_N","Diet 50; Diet 33","Diet 50=-1.49; Diet 33=-1.43",0.00714,1.49,"ko00480,ko00590,ko00980,ko00982,ko01100,ko05204,map00480,map00590,map00980,map00982,map01100,map05204"
"LOC126272296","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 50","Diet 50=3.03",0.00784,3.03,"-"
"LOC126282396","Detoxification / oxidative stress","-","Glutathione S-transferase, N-terminal domain","GST_C,GST_N,GST_N_3","Diet 33; Diet 83; Diet 50","Diet 33=-2.44; Diet 83=-2.71; Diet 50=-2.02",0.00803,2.71,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126272716","Detoxification / oxidative stress","GstO2","Glutathione transferase activity. It is involved in the biological process described with metabolic process","GST_C_2,GST_N_3","Diet 33","Diet 33=2.84",0.0108,2.84,"ko00480,ko00790,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00790,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126272319","Detoxification / oxidative stress","-","Cytochrome P450","-","Diet 33","Diet 33=2.26",0.0151,2.26,"-"
"LOC126268096","Detoxification / oxidative stress","-","cytochrome P450","-","Diet 50","Diet 50=1.29",0.0158,1.29,"-"
"LOC126281935","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 83","Diet 83=-1.64",0.0172,1.64,"-"
"LOC126282119","Detoxification / oxidative stress","-","cytochrome p450","-","Diet 50; Diet 83","Diet 50=-2.02; Diet 83=-2.15",0.0223,2.15,"-"
"LOC126336722","Detoxification / oxidative stress","-","glutathione s-transferase","-","Diet 50","Diet 50=-1.83",0.0234,1.83,"-"
"LOC126272683","Detoxification / oxidative stress","-","cytochrome p450","p450","Diet 50; Diet 33","Diet 50=-2.99; Diet 33=-2.84",0.0243,2.99,"-"
"LOC126355825","Detoxification / oxidative stress","-","Animal haem peroxidase","An_peroxidase","Diet 83","Diet 83=1.49",0.0248,1.49,"-"
"LOC126266822","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 50; Diet 33","Diet 50=-1.52; Diet 33=-1.35",0.0255,1.52,"-"
"LOC126266725","Detoxification / oxidative stress","-","Cytochrome P450","-","Diet 33","Diet 33=1.12",0.0258,1.12,"-"
"LOC126284254","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 83","Diet 83=2.57",0.027,2.57,"-"
"LOC126283788","Detoxification / oxidative stress","-","gamma-glutamyltransferase activity. It is involved in the biological process described with glutathione metabolic process","G_glu_transpept","Diet 50","Diet 50=1.15",0.0306,1.15,"ko00430,ko00460,ko00480,ko00590,ko01100,map00430,map00460,map00480,map00590,map01100"
"LOC126365969","Detoxification / oxidative stress","-","Cytochrome P450","-","Diet 50","Diet 50=-1.47",0.0306,1.47,"-"
"LOC126336888","Detoxification / oxidative stress","-","Glutathione S-transferase, N-terminal domain","GST_C_3,GST_N","Diet 83","Diet 83=-2.05",0.0308,2.05,"ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418"
"LOC126282422","Detoxification / oxidative stress","-","Glutathione S-transferase, C-terminal domain","GST_C_3,GST_N","Diet 50","Diet 50=1.26",0.0335,1.26,"ko00480,ko00590,ko00980,ko00982,ko01100,ko05204,map00480,map00590,map00980,map00982,map01100,map05204"
"LOC126335045","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 50","Diet 50=-2.53",0.034,2.53,"-"
"LOC126271908","Detoxification / oxidative stress","-","Cytochrome P450","p450","Diet 50","Diet 50=-2.62",0.0392,2.62,"-"
"LOC126354003","Detoxification / oxidative stress","HPX5","Animal haem peroxidase","An_peroxidase","Diet 50","Diet 50=-1.4",0.0431,1.4,"-"
"LOC126354378","Detoxification / oxidative stress","-","cytochrome P450","-","Diet 50","Diet 50=2.58",0.0437,2.58,"-"
"LOC126272939","Detoxification / oxidative stress","-","cytochrome p450","-","Diet 50","Diet 50=1.14",0.044,1.14,"-"
"LOC126291849","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with response to oxidative stress","An_peroxidase","Diet 50","Diet 50=1.26",0.0457,1.26,"-"
"LOC126267080","Detoxification / oxidative stress","-","Cytochrome P450","-","Diet 33","Diet 33=-1.46",0.0469,1.46,"-"
"LOC126272146","Detoxification / oxidative stress","-","heme binding. It is involved in the biological process described with oxidation-reduction process","p450","Diet 83","Diet 83=1.09",0.0477,1.09,"-"
"LOC126355939","Endocrine / nutrient metabolism","-","amino acid transporter","Aa_trans","Diet 50; Diet 33; Diet 83","Diet 50=6.41; Diet 33=5.19; Diet 83=4.31",1.34e-15,6.41,"ko04138,map04138"
"LOC126337056","Endocrine / nutrient metabolism","-","Juvenile hormone binding protein domains in insects.","JHBP","Diet 50; Diet 33; Diet 83","Diet 50=-3.52; Diet 33=-2.5; Diet 83=-2.35",2.53e-10,3.52,"-"
"LOC126267114","Endocrine / nutrient metabolism","-","juvenile hormone acid methyltransferase activity","-","Diet 50; Diet 83","Diet 50=8.84; Diet 83=7.63",5.77e-09,8.84,"-"
"LOC126355940","Endocrine / nutrient metabolism","-","amino acid transporter","Aa_trans","Diet 50; Diet 33; Diet 83","Diet 50=3.77; Diet 33=2.58; Diet 83=2.89",1.03e-08,3.77,"ko04138,map04138"
"LOC126365745","Endocrine / nutrient metabolism","Th","Biopterin-dependent aromatic amino acid hydroxylase","Biopterin_H,Ras","Diet 50; Diet 33; Diet 83","Diet 50=5.39; Diet 33=2.71; Diet 83=2.93",8.9e-07,5.39,"ko00350,ko00790,ko00950,ko01100,ko04728,ko04917,ko05012,ko05030,ko05031,ko05034,map00350,map00790,map00950,map01100,map04728,map04917,map05012,map05030,map05031,map05034"
"LOC126337058","Endocrine / nutrient metabolism","-","Juvenile hormone binding protein domains in insects.","JHBP","Diet 33; Diet 50","Diet 33=-3.22; Diet 50=-1.59",3.49e-06,3.22,"-"
"LOC126353927","Endocrine / nutrient metabolism","-","amino acid transmembrane transporter activity. It is involved in the biological process described with amino acid transmembrane transport","AA_permease_2,AA_permease_C","Diet 50; Diet 33; Diet 83","Diet 50=3.01; Diet 33=2.58; Diet 83=2.58",2.79e-05,3.01,"-"
"LOC126356065","Endocrine / nutrient metabolism","-","cationic amino acid transporter","AA_permease_2","Diet 50","Diet 50=1.74",9.93e-05,1.74,"-"
"LOC126354788","Endocrine / nutrient metabolism","-","amino acid transporter","Aa_trans","Diet 50; Diet 33","Diet 50=5.1; Diet 33=2.83",0.000112,5.1,"ko04138,map04138"
"LOC126328393","Endocrine / nutrient metabolism","-","Juvenile hormone binding protein domains in insects.","JHBP","Diet 83; Diet 50","Diet 83=-3.46; Diet 50=-1.88",0.000179,3.46,"-"
"LOC126354582","Endocrine / nutrient metabolism","-","amino acid transmembrane transporter activity. It is involved in the biological process described with amino acid transmembrane transport","AA_permease_2,AA_permease_C,LRR_8","Diet 50","Diet 50=3.17",0.00023,3.17,"ko04621,map04621"
"LOC126266748","Endocrine / nutrient metabolism","-","It is involved in the biological process described with cellular amino acid metabolic process","Ank_2,Ank_3,Asparaginase","Diet 33; Diet 50","Diet 33=1.58; Diet 50=1.31",0.000252,1.58,"-"
"LOC126353931","Endocrine / nutrient metabolism","-","amino acid transmembrane transporter activity. It is involved in the biological process described with amino acid transmembrane transport","AA_permease_2,AA_permease_C","Diet 33; Diet 50; Diet 83","Diet 33=2.67; Diet 50=2.62; Diet 83=2.58",0.000283,2.67,"-"
"LOC126353933","Endocrine / nutrient metabolism","Tdc1","carboxy-lyase activity. It is involved in the biological process described with cellular amino acid metabolic process","Pyridoxal_deC","Diet 50; Diet 83","Diet 50=2.2; Diet 83=2.23",0.000299,2.23,"ko00350,map00350"
"LOC126299466","Endocrine / nutrient metabolism","-","Transmembrane amino acid transporter protein","Aa_trans","Diet 83; Diet 33; Diet 50","Diet 83=2.1; Diet 33=1.41; Diet 50=1.26",0.000311,2.1,"ko04150,map04150"
"LOC126298679","Endocrine / nutrient metabolism","-","amino acid transmembrane transporter activity. It is involved in the biological process described with amino acid transmembrane transport","AA_permease_2","Diet 50; Diet 83","Diet 50=2.48; Diet 83=2.36",0.000333,2.48,"ko04974,map04974"
"LOC126298221","Endocrine / nutrient metabolism","-","Amino acid binding. It is involved in the biological process described with metabolic process","ACT,PALP","Diet 50","Diet 50=-2.19",0.000538,2.19,"ko00260,ko00290,ko01100,ko01110,ko01130,ko01200,ko01230,map00260,map00290,map01100,map01110,map01130,map01200,map01230"
"LOC126334613","Endocrine / nutrient metabolism","-","It is involved in the biological process described with cellular amino acid metabolic process","Beta_elim_lyase","Diet 33","Diet 33=1.1",0.00104,1.1,"ko00260,ko01100,ko01110,ko01120,ko01130,ko01230,map00260,map01100,map01110,map01120,map01130,map01230"
"LOC126365925","Endocrine / nutrient metabolism","-","amino acid transporter","Aa_trans","Diet 50","Diet 50=2.69",0.00123,2.69,"ko04138,map04138"
"LOC126293679","Endocrine / nutrient metabolism","-","Catalyzes juvenile hormone hydrolysis","EHN","Diet 50; Diet 33","Diet 50=-1.94; Diet 33=-1.67",0.00195,1.94,"ko00980,ko00981,ko04976,ko05204,map00980,map00981,map04976,map05204"
"LOC126271955","Endocrine / nutrient metabolism","Ddc","carboxy-lyase activity. It is involved in the biological process described with cellular amino acid metabolic process","Pyridoxal_deC","Diet 50; Diet 83","Diet 50=1.78; Diet 83=1.45",0.00249,1.78,"ko00350,ko00360,ko00380,ko00901,ko00950,ko00965,ko01100,ko01110,ko04726,ko04728,ko05030,ko05031,ko05034,map00350,map00360,map00380,map00901,map00950,map00965,map01100,map01110,map04726,map04728,map05030,map05031,map05034"
"LOC126298882","Endocrine / nutrient metabolism","-","Aromatic amino acid lyase","DUF3534,Lyase_aromatic","Diet 83","Diet 83=-2.9",0.00343,2.9,"ko00340,ko01100,map00340,map01100"
"LOC126336990","Endocrine / nutrient metabolism","-","Insulin-like growth factor binding. It is involved in the biological process described with regulation of cell growth","IGFBP","Diet 50","Diet 50=3",0.00352,3,"-"
"LOC126278890","Endocrine / nutrient metabolism","-","Vesicular inhibitory amino acid","Aa_trans","Diet 50","Diet 50=2.88",0.00386,2.88,"ko04721,ko04723,ko04727,ko05032,ko05033,map04721,map04723,map04727,map05032,map05033"
"LOC126297535","Endocrine / nutrient metabolism","-","amino acid transporter","SDF","Diet 50","Diet 50=1.23",0.00504,1.23,"-"
"LOC126335165","Endocrine / nutrient metabolism","-","juvenile hormone acid methyltransferase activity","-","Diet 50","Diet 50=1.23",0.00598,1.23,"-"
"LOC126272715","Endocrine / nutrient metabolism","Faa","Fumarylacetoacetase activity. It is involved in the biological process described with aromatic amino acid family metabolic process","FAA_hydrolase,FAA_hydrolase_N","Diet 83","Diet 83=-1.05",0.00664,1.05,"ko00350,ko00643,ko01100,ko01120,map00350,map00643,map01100,map01120"
"LOC126293680","Endocrine / nutrient metabolism","-","Catalyzes juvenile hormone hydrolysis","EHN","Diet 50","Diet 50=-1.19",0.00777,1.19,"ko00980,ko00981,ko04976,ko05204,map00980,map00981,map04976,map05204"
"LOC126343748","Endocrine / nutrient metabolism","-","Catalyzes juvenile hormone hydrolysis","EHN","Diet 83","Diet 83=-1.33",0.0112,1.33,"ko00980,ko00981,ko04976,ko05204,map00980,map00981,map04976,map05204"
"LOC126267115","Endocrine / nutrient metabolism","-","juvenile hormone acid methyltransferase activity","-","Diet 83","Diet 83=1.54",0.0158,1.54,"-"
"LOC126335126","Endocrine / nutrient metabolism","-","juvenile hormone acid methyltransferase activity","-","Diet 50; Diet 83","Diet 50=1.21; Diet 83=1.22",0.0162,1.22,"-"
"LOC126355886","Endocrine / nutrient metabolism","Tdc2","carboxy-lyase activity. It is involved in the biological process described with cellular amino acid metabolic process","Pyridoxal_deC","Diet 50","Diet 50=1.24",0.0162,1.24,"ko00350,map00350"
"LOC126295311","Endocrine / nutrient metabolism","-","amino acid transmembrane transporter activity. It is involved in the biological process described with amino acid transmembrane transport","AA_permease_2,AA_permease_C","Diet 50","Diet 50=1.25",0.017,1.25,"-"
"LOC126266685","Endocrine / nutrient metabolism","-","Transmembrane amino acid transporter protein","Aa_trans","Diet 33","Diet 33=1.5",0.0173,1.5,"ko04138,map04138"
"LOC126354751","Endocrine / nutrient metabolism","-","amino acid transporter","Aa_trans","Diet 50","Diet 50=-2.36",0.0174,2.36,"ko04138,map04138"
"LOC126335147","Endocrine / nutrient metabolism","-","juvenile hormone acid methyltransferase activity","-","Diet 33","Diet 33=-2.09",0.0186,2.09,"-"
"LOC126354750","Endocrine / nutrient metabolism","-","amino acid transporter","Aa_trans","Diet 33","Diet 33=-3.06",0.0232,3.06,"ko04138,map04138"
"LOC126354753","Endocrine / nutrient metabolism","-","amino acid transporter","Aa_trans","Diet 50","Diet 50=-1.35",0.0281,1.35,"ko04138,map04138"
"LOC126324558","Endocrine / nutrient metabolism","-","Juvenile hormone binding protein domains in insects.","-","Diet 33","Diet 33=-1.59",0.0301,1.59,"-"
"LOC126337059","Endocrine / nutrient metabolism","-","Juvenile hormone binding protein domains in insects.","JHBP","Diet 83","Diet 83=-1.32",0.0499,1.32,"-"
"LOC126335463","Immune / defense","-","Belongs to the serpin family","-","Diet 50; Diet 33; Diet 83","Diet 50=6.87; Diet 33=5.32; Diet 83=5.05",1.19e-19,6.87,"-"
"LOC126285462","Immune / defense","-","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Amidase_2","Diet 50; Diet 33; Diet 83","Diet 50=2.97; Diet 33=2.28; Diet 83=2.05",1.25e-13,2.97,"-"
"LOC126267215","Immune / defense","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Amidase_2","Diet 50; Diet 83; Diet 33","Diet 50=5.58; Diet 83=4.99; Diet 33=4.15",2.36e-12,5.58,"-"
"LOC126271975","Immune / defense","-","Alpha-lactalbumin / lysozyme C","Lys","Diet 50; Diet 33; Diet 83","Diet 50=6.86; Diet 33=4.73; Diet 83=5.36",8.91e-12,6.86,"ko04970,map04970"
"LOC126266759","Immune / defense","-","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Amidase_2","Diet 50; Diet 33; Diet 83","Diet 50=3.04; Diet 33=2.77; Diet 83=2.38",9.99e-11,3.04,"-"
"LOC126336325","Immune / defense","-","Knottins","Defensin_2","Diet 33; Diet 83; Diet 50","Diet 33=6.67; Diet 83=6.82; Diet 50=4.86",1.68e-10,6.82,"ko04624,map04624"
"LOC126266760","Immune / defense","-","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Amidase_2","Diet 50; Diet 33; Diet 83","Diet 50=2.63; Diet 33=1.89; Diet 83=1.85",9.95e-10,2.63,"-"
"LOC126268068","Immune / defense","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Amidase_2","Diet 50; Diet 33; Diet 83","Diet 50=2.76; Diet 33=2.04; Diet 83=1.79",1.01e-09,2.76,"-"
"LOC126267163","Immune / defense","-","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Amidase_2","Diet 33; Diet 50; Diet 83","Diet 33=3.39; Diet 50=3.58; Diet 83=2.71",1.28e-09,3.58,"-"
"LOC126267162","Immune / defense","PGRPLC","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Amidase_2","Diet 83; Diet 50; Diet 33","Diet 83=2.17; Diet 50=1.87; Diet 33=1.69",2.57e-09,2.17,"-"
"LOC126267652","Immune / defense","PGRPLA","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Amidase_2","Diet 50; Diet 33; Diet 83","Diet 50=3.09; Diet 33=2.38; Diet 83=1.81",4.05e-09,3.09,"-"
"LOC126267216","Immune / defense","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Amidase_2","Diet 50; Diet 83; Diet 33","Diet 50=4.58; Diet 83=3.08; Diet 33=2.66",6.12e-09,4.58,"-"
"LOC126267343","Immune / defense","-","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Amidase_2","Diet 50; Diet 33; Diet 83","Diet 50=2.15; Diet 33=1.46; Diet 83=1.62",1.96e-08,2.15,"-"
"LOC126343175","Immune / defense","Tsf1","Transferrins are iron binding transport proteins which bind Fe(3 ) ion in association with the binding of an anion, usually bicarbonate","Transferrin","Diet 50; Diet 33; Diet 83","Diet 50=3.47; Diet 33=2.27; Diet 83=2.25",2.71e-08,3.47,"-"
"LOC126278177","Immune / defense","-","polypeptide N-acetylgalactosaminyltransferase","Glycos_transf_2,Ricin_B_lectin","Diet 83; Diet 50; Diet 33","Diet 83=1.69; Diet 50=1.42; Diet 33=1.28",5.2e-07,1.69,"ko00512,ko01100,map00512,map01100"
"LOC126272961","Immune / defense","-","Tumour necrosis factor family.","TNF","Diet 33; Diet 83; Diet 50","Diet 33=2.21; Diet 83=1.69; Diet 50=1.46",6.4e-07,2.21,"ko04013,ko04214,ko04391,map04013,map04214,map04391"
"LOC126365918","Immune / defense","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Amidase_2","Diet 50; Diet 33; Diet 83","Diet 50=1.7; Diet 33=1.06; Diet 83=1",6.84e-07,1.7,"-"
"LOC126335468","Immune / defense","-","Belongs to the serpin family","-","Diet 50; Diet 33","Diet 50=3.62; Diet 33=2.98",9.16e-07,3.62,"-"
"LOC126335288","Immune / defense","-","polypeptide N-acetylgalactosaminyltransferase","Glyco_transf_7C,Glycos_transf_2,Ricin_B_lectin","Diet 33; Diet 83; Diet 50","Diet 33=1.56; Diet 83=1.75; Diet 50=1.17",1.91e-06,1.75,"ko00512,ko01100,map00512,map01100"
"LOC126335467","Immune / defense","-","Belongs to the serpin family","-","Diet 50; Diet 33","Diet 50=2.44; Diet 33=1.13",2.58e-06,2.44,"-"
"LOC126335547","Immune / defense","-","Belongs to the serpin family","Serpin","Diet 83; Diet 50; Diet 33","Diet 83=2.94; Diet 50=2.64; Diet 33=2.39",6.12e-06,2.94,"ko05146,map05146"
"LOC126284463","Immune / defense","-","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","-","Diet 50; Diet 83","Diet 50=3.55; Diet 83=2.54",7.2e-06,3.55,"-"
"LOC126335470","Immune / defense","-","Belongs to the serpin family","-","Diet 50; Diet 33; Diet 83","Diet 50=1.85; Diet 33=1.4; Diet 83=1.27",1.77e-05,1.85,"-"
"LOC126341434","Immune / defense","-","Transferase activity, transferring phosphorus-containing groups","-","Diet 33; Diet 50; Diet 83","Diet 33=2.01; Diet 50=1.83; Diet 83=1.65",3.75e-05,2.01,"-"
"LOC126323134","Immune / defense","-","Attacin, C-terminal region","Attacin_C","Diet 83; Diet 33","Diet 83=7.11; Diet 33=4.4",0.000101,7.11,"-"
"LOC126335545","Immune / defense","-","Belongs to the serpin family","Serpin","Diet 50; Diet 83; Diet 33","Diet 50=3; Diet 83=2.87; Diet 33=2.27",0.000116,3,"ko05146,map05146"
"LOC126271991","Immune / defense","-","It is involved in the biological process described with","IMD","Diet 50","Diet 50=1.04",0.000131,1.04,"-"
"LOC126323151","Immune / defense","-","Attacin, C-terminal region","Attacin_C","Diet 83","Diet 83=9.05",0.000208,9.05,"-"
"LOC126336738","Immune / defense","-","C-type lectin (CTL) or carbohydrate-recognition domain (CRD)","-","Diet 50; Diet 83; Diet 33","Diet 50=3.91; Diet 83=3.17; Diet 33=2.73",0.000249,3.91,"-"
"LOC126336076","Immune / defense","-","Belongs to the serpin family","-","Diet 50; Diet 33","Diet 50=2.54; Diet 33=1.65",0.000343,2.54,"-"
"LOC126335546","Immune / defense","-","Belongs to the serpin family","Serpin","Diet 50; Diet 83; Diet 33","Diet 50=1.8; Diet 83=1.66; Diet 33=1.29",0.000421,1.8,"ko05146,map05146"
"LOC126298901","Immune / defense","SRPN12","Belongs to the serpin family","Serpin","Diet 83","Diet 83=5.08",0.000457,5.08,"-"
"LOC126267876","Immune / defense","LYSC6","C-Type Lysozyme (multi-lysozyme domain protein)","Lys","Diet 50; Diet 83","Diet 50=2.43; Diet 83=2.41",0.000563,2.43,"ko04970,map04970"
"LOC126335472","Immune / defense","-","Belongs to the serpin family","-","Diet 83; Diet 33; Diet 50","Diet 83=2.2; Diet 33=1.86; Diet 50=1.61",0.000564,2.2,"-"
"LOC126335291","Immune / defense","-","Ricin-type beta-trefoil","Glycos_transf_2,Ricin_B_lectin","Diet 33","Diet 33=1.21",0.000676,1.21,"ko00512,ko01100,map00512,map01100"
"LOC126284857","Immune / defense","-","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process","-","Diet 83; Diet 33; Diet 50","Diet 83=1.78; Diet 33=1.31; Diet 50=1.12",0.000787,1.78,"-"
"LOC126299096","Immune / defense","-","Transferase activity, transferring acyl groups other than amino-acyl groups","Acyl_transf_3","Diet 50","Diet 50=-2.09",0.000898,2.09,"-"
"LOC126273193","Immune / defense","-","carbohydrate binding","Lectin_C","Diet 50","Diet 50=2.88",0.00102,2.88,"-"
"LOC126324086","Immune / defense","-","Transferase activity, transferring phosphorus-containing groups","-","Diet 33; Diet 50; Diet 83","Diet 33=-2.23; Diet 50=-2.16; Diet 83=-2.1",0.00105,2.23,"-"
"LOC126266596","Immune / defense","-","Transferase activity, transferring hexosyl groups. It is involved in the biological process described with carbohydrate metabolic process","Glyco_transf_54","Diet 50; Diet 83; Diet 33","Diet 50=-1.41; Diet 83=-1.42; Diet 33=-1.08",0.00107,1.42,"ko00510,ko00513,ko01100,map00510,map00513,map01100"
"LOC126335404","Immune / defense","-","Belongs to the serpin family","-","Diet 50","Diet 50=2.23",0.00124,2.23,"-"
"LOC126335544","Immune / defense","-","Belongs to the serpin family","Serpin","Diet 50; Diet 83","Diet 50=1.68; Diet 83=1.4",0.00203,1.68,"ko05146,map05146"
"LOC126284858","Immune / defense","-","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process","-","Diet 50; Diet 33","Diet 50=-3.24; Diet 33=-2.15",0.00204,3.24,"-"
"LOC126285309","Immune / defense","-","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process","-","Diet 50","Diet 50=-2.06",0.00221,2.06,"-"
