gene_id	seqid	sequence_length	description	gene_biotype	mapping_support	n_contrasts	contrasts	min_padj	max_abs_log2FoldChange	competitive_host_retained_fraction	host_counts_not_retained
LOC126304766	NW_026061732.1	395514	actin-related protein 2/3 complex subunit 5-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0477936458830511	5.522959276837562	1.0	0.0
LOC126304767	NW_026061732.1	395514	uncharacterized LOC126304767	lncRNA	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0333084731359573	5.749619841845071	1.0	0.0
LOC126304973	NW_026061743.1	149608	uncharacterized LOC126304973	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0335615833036042	5.62259319679701	1.0	0.0
LOC126304974	NW_026061743.1	149608	rasGAP-activating-like protein 1	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0446846352399626	6.009524971753298	1.0	0.0
LOC126304976	NW_026061743.1	149608	puromycin-sensitive aminopeptidase-like	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0306433873497688	6.201857987920959	1.0	0.0
LOC126304977	NW_026061743.1	149608	dnaJ homolog subfamily C member 21-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0342210450333798	6.136260534620497	1.0	0.0
LOC126304978	NW_026061743.1	149608	ribonucleoside-diphosphate reductase small subunit-like	protein_coding	Significant in both mappings	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	1.6963047386316514e-27	23.358368436227455	1.0	0.0
LOC126304986	NW_026061743.1	149608	myotubularin-related protein 2-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0301468610941199	6.154570389936268	1.0	0.0
LOC126304987	NW_026061743.1	149608	uncharacterized LOC126304987	protein_coding	Significant in both mappings	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	2.5970225760672247e-18	21.441104454472153	1.0	0.0
LOC126304991	NW_026061743.1	149608	protein BTG2-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0390194780945143	6.161176620248246	1.0	0.0
LOC126304995	NW_026061743.1	149608	uncharacterized LOC126304995	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0397892210581392	5.520005839736213	1.0	0.0
LOC126304997	NW_026061743.1	149608	ras guanine nucleotide exchange factor S-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0353795471488059	5.651368115346646	1.0	0.0
LOC126305002	NW_026061743.1	149608	glucosamine 6-phosphate N-acetyltransferase-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0232739527824719	6.536961220828887	1.0	0.0
LOC126305007	NW_026061743.1	149608	arpin-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0425021315713419	5.329545715561191	1.0	0.0
LOC126305015	NW_026061743.1	149608	uncharacterized LOC126305015	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0403143602900636	5.8248113575068015	1.0	0.0
LOC126311186	NW_026061838.1	218639	dynamin-like protein A	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0275088540800155	6.6046889634507995	1.0	0.0
LOC126311187	NW_026061838.1	218639	uncharacterized LOC126311187	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0470294434674024	5.435681495637833	1.0	0.0
LOC126311194	NW_026061838.1	218639	uncharacterized LOC126311194	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0482189354468444	5.42519233148846	1.0	0.0
LOC126311195	NW_026061838.1	218639	malonate-semialdehyde dehydrogenase 1-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0390612391363319	5.900202526522947	1.0	0.0
LOC126311198	NW_026061838.1	218639	tubulin beta chain-like	protein_coding	Significant in both mappings	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	0.0326878505963037	6.824380319249032	1.0	0.0
LOC126311199	NW_026061838.1	218639	uncharacterized LOC126311199	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0342210450333798	6.25351574085367	1.0	0.0
LOC126311202	NW_026061838.1	218639	uncharacterized LOC126311202	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0380271566047917	6.0390654835671125	1.0	0.0
LOC126311203	NW_026061838.1	218639	elongation of fatty acids protein sre1-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0485065102272896	5.8107703387371865	1.0	0.0
LOC126311213	NW_026061838.1	218639	uncharacterized LOC126311213	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0326878505963037	5.501742205524381	1.0	0.0
LOC126311215	NW_026061838.1	218639	uncharacterized LOC126311215	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0314842647526097	5.918582630584786	1.0	0.0
LOC126311216	NW_026061838.1	218639	uncharacterized LOC126311216	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0328361998245162	5.871508341250736	1.0	0.0
LOC126311218	NW_026061838.1	218639	uncharacterized LOC126311218	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0485695363987296	5.828680781157852	1.0	0.0
LOC126311220	NW_026061838.1	218639	uncharacterized LOC126311220	protein_coding	Significant in both mappings	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	3.3754021691219624e-26	22.331199065047848	1.0	0.0
LOC126311224	NW_026061838.1	218639	phosphate carrier protein, mitochondrial-like	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0276924283757612	6.197140389558924	1.0	0.0
LOC126311232	NW_026061838.1	218639	uncharacterized LOC126311232	protein_coding	Significant in both mappings	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	3.902025959149374e-26	22.26430902534445	1.0	0.0
LOC126311233	NW_026061838.1	218639	uncharacterized LOC126311233	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0325845808569807	6.0320158805385695	1.0	0.0
LOC126311234	NW_026061838.1	218639	kinase and exchange factor for Rac B-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0339546106696041	6.217419989115175	1.0	0.0
LOC126311239	NW_026061838.1	218639	uncharacterized LOC126311239	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0342210450333798	5.7893678878857235	1.0	0.0
LOC126311241	NW_026061838.1	218639	26S proteasome non-ATPase regulatory subunit 6-like	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0319954514525205	6.612779094257703	1.0	0.0
LOC126311243	NW_026061838.1	218639	uncharacterized LOC126311243	lncRNA	Significant in both mappings	1	infected_diet33_vs50	0.0389216610784076	6.29939308429904	1.0	0.0
LOC126311246	NW_026061838.1	218639	ribosome biogenesis protein BOP1 homolog	protein_coding	Significant in both mappings	4	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33	0.0010409412650676	8.57406963273865	1.0	0.0
LOC126311252	NW_026061838.1	218639	uncharacterized LOC126311252	protein_coding	Significant in both mappings	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	1.3647934660300874e-18	22.266760184978192	1.0	0.0
LOC126311254	NW_026061838.1	218639	uncharacterized LOC126311254	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0430467420458379	6.033516258601542	1.0	0.0
LOC126313301	NW_026061886.1	283099	uncharacterized LOC126313301	lncRNA	Significant in both mappings	1	infected_diet33_vs50	0.0346801332403875	5.882207920035381	1.0	0.0
LOC126313304	NW_026061886.1	283099	uncharacterized LOC126313304	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0325845808569807	6.296512739184747	1.0	0.0
LOC126313306	NW_026061886.1	283099	uncharacterized LOC126313306	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0382631983743167	5.650201191758633	1.0	0.0
LOC126313313	NW_026061886.1	283099	uncharacterized LOC126313313	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0492901416040655	5.070952683255324	1.0	0.0
LOC126313315	NW_026061886.1	283099	histone H1.1-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0410009863177951	6.143422614951785	1.0	0.0
LOC126313318	NW_026061886.1	283099	nucleoside diphosphate kinase-like	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.041749485800631	5.889569290447205	1.0	0.0
LOC126313321	NW_026061886.1	283099	60S ribosomal protein L8-like	protein_coding	Significant in both mappings	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	0.0227431243094957	6.617319045225389	1.0	0.0
LOC126313323	NW_026061886.1	283099	uncharacterized LOC126313323	protein_coding	Significant in both mappings	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	2.0593089637395368e-21	22.755945252305803	1.0	0.0
LOC126313327	NW_026061886.1	283099	uncharacterized LOC126313327	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0275088540800155	6.966459202412354	1.0	0.0
LOC126313328	NW_026061886.1	283099	uncharacterized LOC126313328	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0403164128974091	5.773848399068803	1.0	0.0
LOC126313334	NW_026061886.1	283099	uncharacterized LOC126313334	protein_coding	Significant in both mappings	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	0.0345290919622028	5.814537955985214	1.0	0.0
LOC126313336	NW_026061886.1	283099	uncharacterized LOC126313336	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0203524784662056	6.989373513198465	1.0	0.0
LOC126313340	NW_026061886.1	283099	26S proteasome regulatory subunit 10B-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0351986125474578	5.98486148480216	1.0	0.0
LOC126313349	NW_026061886.1	283099	uncharacterized LOC126313349	protein_coding	Significant in both mappings	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	0.0294853857290474	6.151179135622415	1.0	0.0
LOC126313356	NW_026061886.1	283099	hydroxysteroid dehydrogenase-like protein 2	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0339546106696041	5.783046714348789	1.0	0.0
LOC126313357	NW_026061886.1	283099	uncharacterized LOC126313357	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0479858271633482	5.44776492478024	1.0	0.0
LOC126313363	NW_026061886.1	283099	AP-1 complex subunit beta-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0307957396784762	6.019378320532533	1.0	0.0
LOC126313364	NW_026061886.1	283099	counting factor 60-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0339546106696041	5.987776523700573	1.0	0.0
LOC126313366	NW_026061886.1	283099	3-hydroxybutyryl-CoA dehydrogenase-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0301468610941199	5.984079042977761	1.0	0.0
LOC126313367	NW_026061886.1	283099	uncharacterized LOC126313367	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0275088540800155	6.583349312886857	1.0	0.0
LOC126313369	NW_026061886.1	283099	CAP-Gly domain-containing linker protein 1-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0342210450333798	5.521985302678152	1.0	0.0
LOC126313371	NW_026061886.1	283099	RNA cytidine acetyltransferase-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0378192738882803	6.7822509821696695	1.0	0.0
LOC126313372	NW_026061886.1	283099	uncharacterized LOC126313372	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0400641249678961	5.244986740518017	1.0	0.0
LOC126313375	NW_026061886.1	283099	rapA guanosine triphosphatase-activating protein 1-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0389216610784076	5.3935114743147725	1.0	0.0
LOC126313386	NW_026061886.1	283099	cleavage stimulation factor subunit 1-like	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0078787576878556	7.860861885444342	1.0	0.0
LOC126313387	NW_026061886.1	283099	ER membrane protein complex subunit 1-like	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0339546106696041	6.303416770765886	1.0	0.0
LOC126313393	NW_026061886.1	283099	uncharacterized LOC126313393	lncRNA	Significant in both mappings	1	infected_diet33_vs50	0.041749485800631	6.070488142160712	1.0	0.0
LOC126313394	NW_026061886.1	283099	uncharacterized LOC126313394	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0400249925805896	5.784176327345403	1.0	0.0
LOC126313397	NW_026061886.1	283099	uncharacterized LOC126313397	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0342210450333798	5.975920137292021	1.0	0.0
LOC126313408	NW_026061886.1	283099	uncharacterized LOC126313408	protein_coding	Significant in both mappings	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	1.8033084001065293e-24	22.908527545424157	1.0	0.0
LOC126314408	NW_026061953.1	216778	uncharacterized LOC126314408	protein_coding	Significant in both mappings	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	0.0083680392990138	8.235692207714049	1.0	0.0
LOC126314411	NW_026061953.1	216778	uncharacterized LOC126314411	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0132310048420892	7.364612936410041	1.0	0.0
LOC126314418	NW_026061953.1	216778	DNA repair protein RAD50-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0390194780945143	5.638121508732065	1.0	0.0
LOC126314419	NW_026061953.1	216778	uncharacterized LOC126314419	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0215593980116681	7.525282554429171	1.0	0.0
LOC126314420	NW_026061953.1	216778	protein HID1-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0342210450333798	6.339021512488266	1.0	0.0
LOC126314423	NW_026061953.1	216778	NPC intracellular cholesterol transporter 1-like	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0097176572605579	8.557871119028606	1.0	0.0
LOC126314424	NW_026061953.1	216778	trafficking protein particle complex subunit 3-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0472723700109022	5.420261815759318	1.0	0.0
LOC126314426	NW_026061953.1	216778	uncharacterized LOC126314426	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0284134621615519	6.748335584421956	1.0	0.0
LOC126314427	NW_026061953.1	216778	gem-associated protein 5-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0325370503797891	5.9986009789743004	1.0	0.0
LOC126314430	NW_026061953.1	216778	uncharacterized LOC126314430	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.031421479980354	6.088020048914265	1.0	0.0
LOC126314433	NW_026061953.1	216778	vam6/Vps39-like protein	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0338102889541811	5.71876365760849	1.0	0.0
LOC126314438	NW_026061953.1	216778	probable RNA-binding protein 19	protein_coding	Significant in both mappings	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	9.897809502688436e-19	21.812140348445105	1.0	0.0
LOC126314439	NW_026061953.1	216778	uncharacterized LOC126314439	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0485065102272896	5.37905220666083	1.0	0.0
LOC126314440	NW_026061953.1	216778	uncharacterized LOC126314440	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0320836396263404	6.481868111940867	1.0	0.0
LOC126314441	NW_026061953.1	216778	ras guanine nucleotide exchange factor A-like	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0298300930840483	7.317257839637439	1.0	0.0
LOC126314447	NW_026061953.1	216778	uncharacterized LOC126314447	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0497449900671885	4.902866553257959	1.0	0.0
LOC126314450	NW_026061953.1	216778	E3 ubiquitin-protein transferase MAEA-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0325845808569807	6.09376710637884	1.0	0.0
LOC126314452	NW_026061953.1	216778	proteasome subunit beta type-7-like	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0360329958682104	5.82864674384842	1.0	0.0
LOC126314456	NW_026061953.1	216778	60S ribosomal protein L9-like	protein_coding	Significant in both mappings	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	1.5860676806425175e-27	22.829517565790944	1.0	0.0
LOC126314457	NW_026061953.1	216778	uncharacterized LOC126314457	lncRNA	Significant in both mappings	1	infected_diet33_vs50	0.0396014799737801	5.38960341761902	1.0	0.0
LOC126314458	NW_026061953.1	216778	uncharacterized LOC126314458	lncRNA	Significant in both mappings	1	infected_diet33_vs50	0.0406979750744332	6.304171806232077	1.0	0.0
LOC126315207	NW_026061958.1	23566	protein FAN-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0403143602900636	5.510673196019861	1.0	0.0
LOC126315212	NW_026061958.1	23566	40S ribosomal protein S6-like	protein_coding	Significant in both mappings	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	0.0416929390496464	5.61960923613772	1.0	0.0
LOC126315214	NW_026061960.1	597154	uncharacterized LOC126315214	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0449035785767953	5.958717730953385	1.0	0.0
LOC126315223	NW_026061960.1	597154	ras-related C3 botulinum toxin substrate 1-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0361421888154404	5.95985148931164	1.0	0.0
LOC126315224	NW_026061960.1	597154	dual specificity protein kinase shkC-like	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0243808454651399	6.174222669370643	1.0	0.0
LOC126315226	NW_026061960.1	597154	tRNA-specific 2-thiouridylase MnmA-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0343776734881589	6.326118612070679	1.0	0.0
LOC126315227	NW_026061960.1	597154	60S ribosomal protein L11-like	protein_coding	Significant in both mappings	3	infected_diet33_vs50;infection_average_all_diets;infection_diet33	0.0163803452307021	6.949268731316877	1.0	0.0
LOC126315228	NW_026061960.1	597154	uncharacterized LOC126315228	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0380271566047917	5.930270839615598	1.0	0.0
LOC126315231	NW_026061960.1	597154	regulator of nonsense transcripts 3B-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0390231295115185	5.52282867515435	0.9972451790633609	1.0
LOC126315233	NW_026061960.1	597154	ATP-dependent zinc metalloprotease FtsH-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.049732221045085	5.481624053113043	1.0	0.0
LOC126315234	NW_026061960.1	597154	uncharacterized LOC126315234	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.036447267090227	6.049184986093051	1.0	0.0
LOC126315236	NW_026061960.1	597154	F-box-like/WD repeat-containing protein TBL1X	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0485065102272896	5.646612957642584	1.0	0.0
LOC126315238	NW_026061960.1	597154	uncharacterized LOC126315238	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0291720936226063	5.835730481037648	1.0	0.0
LOC126315241	NW_026061960.1	597154	protease 4-like	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0113569586722282	7.520219862793993	1.0	0.0
LOC126315242	NW_026061960.1	597154	uncharacterized LOC126315242	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0445931658170337	5.662327216107116	1.0001527883880823	-1.0
LOC126315245	NW_026061960.1	597154	uncharacterized LOC126315245	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0325845808569807	5.916693821862782	1.0	0.0
LOC126315246	NW_026061960.1	597154	ankyrin repeat, PH and SEC7 domain containing protein secG-like	protein_coding	Significant in both mappings	3	infected_diet33_vs50;infected_diet83_vs33;infection_diet33	0.0020438891121073	8.375802444725977	1.0	0.0
LOC126315248	NW_026061960.1	597154	uncharacterized LOC126315248	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0491059319980224	5.607488212841975	1.0	0.0
LOC126315249	NW_026061960.1	597154	uncharacterized LOC126315249	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0492901416040655	5.592862455132542	1.0	0.0
LOC126315252	NW_026061960.1	597154	uncharacterized LOC126315252	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0170957462828739	7.425261919876815	1.0	0.0
LOC126315266	NW_026061960.1	597154	60 kDa heat shock protein, mitochondrial-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0415186263755936	5.594113135120895	1.0	0.0
LOC126315270	NW_026061960.1	597154	elongin-C-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0438300856812304	5.6905898317345	1.0	0.0
LOC126315271	NW_026061960.1	597154	2-oxoglutarate dehydrogenase, mitochondrial-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0479346653336872	5.9504169016468325	1.0	0.0
LOC126315275	NW_026061960.1	597154	N-formylmaleamate deformylase-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0310810498226754	6.630791820421726	1.0	0.0
LOC126315278	NW_026061960.1	597154	leucine-rich repeat-containing protein 40-like	protein_coding	Significant in both mappings	1	infected_diet33_vs50	0.0357613691902037	6.354936457511436	1.0	0.0
LOC126315280	NW_026061960.1	597154	uncharacterized LOC126315280	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0313673590536372	6.527574175408674	0.9998159057437408	1.0
LOC126315281	NW_026061960.1	597154	luminal-binding protein 2-like	protein_coding	Significant in both mappings	2	infected_diet33_vs50;infection_diet33	0.0380142389159576	6.059509265131803	1.0	0.0
LOC126315282	NW_026061960.1	597154	T-complex protein 1 subunit delta-like	protein_coding	Significant in both mappings	6	infected_diet33_vs50;infected_diet83_vs33;infection_average_all_diets;infection_diet33;interaction_diet33_vs50;interaction_diet83_vs33	3.8047481837692215e-26	21.88159441916145	1.0	0.0
