Description,GeneID_File1,GeneID_File2
uncharacterized loc126314440,LOC126314440,LOC126314440
swi/snf-related matrix-associated actin-dependent regulator of chromatin subfamily a-like protein 1,LOC126314432,LOC126314432
uncharacterized loc126314455,LOC126314455,LOC126314455
uncharacterized loc126314436,LOC126314436,LOC126314436
proteasome subunit beta type-7-like,LOC126314452,LOC126314452
uncharacterized loc126314447,LOC126314447,LOC126314447
uncharacterized loc126314429,LOC126314429,LOC126314429
60s ribosomal protein l9-like,LOC126314456,LOC126314456
uncharacterized loc126314411,LOC126314411,LOC126314411
uncharacterized loc126314419,LOC126314419,LOC126314419
signal recognition particle subunit srp72-like,LOC126314412,LOC126314412
uncharacterized loc126314408,LOC126314408,LOC126314408
uncharacterized loc126314415,LOC126314415,LOC126314415
protein fan-like,LOC126315207,LOC126315207
60s ribosomal protein l11-like,LOC126315227,LOC126315227
t-complex protein 1 subunit delta-like,LOC126315282,LOC126315282
60 kda heat shock protein%2c mitochondrial-like,LOC126315266,LOC126315266
2-oxoglutarate dehydrogenase%2c mitochondrial-like,LOC126315271,LOC126315271
ras-specific guanine nucleotide-releasing factor 1-like,LOC126315304,LOC126315304
integrator complex subunit 3-like,LOC126315263,LOC126315263
uncharacterized loc126315308,LOC126315308,LOC126315308
coatomer subunit delta-like,LOC126315383,LOC126315383
uncharacterized loc126315382,LOC126315382,LOC126315382
protein kri1 homolog,LOC126315452,LOC126315452
uncharacterized loc126315453,LOC126315453,LOC126315453
uncharacterized loc126315345,LOC126315345,LOC126315345
ankyrin-1-like,LOC126315379,LOC126315379
stress-activated protein kinase alpha-like,LOC126315288,LOC126315288
stress-activated protein kinase alpha-like,LOC126315288,LOC126316981
stress-activated protein kinase alpha-like,LOC126315288,LOC126322691
stress-activated protein kinase alpha-like,LOC126315288,LOC126332399
uncharacterized loc126315292,LOC126315292,LOC126315292
uncharacterized loc126315298,LOC126315298,LOC126315298
uncharacterized loc126315323,LOC126315323,LOC126315323
copine-9-like,LOC126315321,LOC126315321
rho-related protein racc-like,LOC126315217,LOC126315217
uncharacterized loc126315214,LOC126315214,LOC126315214
probable peroxisomal membrane protein pex13,LOC126315216,LOC126315216
exocyst complex component 3-like,LOC126315396,LOC126315396
ankyrin repeat%2c ph and sec7 domain containing protein secg-like,LOC126315246,LOC126315246
ankyrin repeat%2c ph and sec7 domain containing protein secg-like,LOC126315246,LOC126316931
probable methionine--trna ligase%2c cytoplasmic,LOC126315440,LOC126315440
uncharacterized loc126315238,LOC126315238,LOC126315238
f-box-like/wd repeat-containing protein tbl1x,LOC126315236,LOC126315236
uncharacterized loc126315447,LOC126315447,LOC126315447
metaxin-3-like,LOC126315347,LOC126315347
citrate synthase%2c mitochondrial-like,LOC126315349,LOC126315349
n-formylmaleamate deformylase-like,LOC126315275,LOC126315275
peroxisomal multifunctional enzyme a-like,LOC126315400,LOC126315400
dual specificity protein kinase shkc-like,LOC126315224,LOC126315224
dual specificity protein kinase shkc-like,LOC126315224,LOC126326547
dual specificity protein kinase shkc-like,LOC126315224,LOC126328213
malate dehydrogenase-like,LOC126315362,LOC126315362
2%2c3-bisphosphoglycerate-dependent phosphoglycerate mutase-like,LOC126315365,LOC126315365
uncharacterized loc126315228,LOC126315228,LOC126315228
uncharacterized loc126315451,LOC126315451,LOC126315451
uncharacterized loc126315442,LOC126315442,LOC126315442
chitinase domain-containing protein 1-like,LOC126315390,LOC126315390
116 kda u5 small nuclear ribonucleoprotein component-like,LOC126315389,LOC126315389
26s proteasome regulatory subunit 6a-b-like,LOC126315353,LOC126315353
uncharacterized loc126316431,LOC126316431,LOC126316431
exocyst complex component 7-like,LOC126316445,LOC126316445
uncharacterized loc126316446,LOC126316446,LOC126316446
dihydrolipoyl dehydrogenase%2c mitochondrial-like,LOC126316432,LOC126316432
uncharacterized loc126316452,LOC126316452,LOC126316452
uncharacterized loc126316455,LOC126316455,LOC126316455
uncharacterized loc126316439,LOC126316439,LOC126316439
uncharacterized loc126316457,LOC126316457,LOC126316457
uncharacterized loc126316459,LOC126316459,LOC126316459
ferm domain-containing protein 8-like,LOC126316463,LOC126316463
uncharacterized protein ddb_g0288133-like,LOC126316454,LOC126316454
serine/threonine-protein kinase 3-like,LOC126316441,LOC126316441
serine/threonine-protein kinase 3-like,LOC126316441,LOC126320602
uncharacterized loc126316442,LOC126316442,LOC126316442
uncharacterized loc126316443,LOC126316443,LOC126316443
proton-coupled amino acid transporter 4-like,LOC126316687,LOC126316687
otu domain-containing protein 5-a-like,LOC126316693,LOC126316693
protein nlrc5-like,LOC126316666,LOC126316666
uncharacterized loc126316667,LOC126316667,LOC126316667
uncharacterized loc126316668,LOC126316668,LOC126316668
protein aster-a-like,LOC126316669,LOC126316669
uncharacterized loc126316675,LOC126316675,LOC126316675
dipeptidyl aminopeptidase bi-like,LOC126316674,LOC126316674
uncharacterized loc126316678,LOC126316678,LOC126316678
uncharacterized loc126316799,LOC126316799,LOC126316799
diacylglycerol kinase epsilon-like,LOC126316769,LOC126316769
d-3-phosphoglycerate dehydrogenase-like,LOC126316771,LOC126316771
uncharacterized loc126316773,LOC126316773,LOC126316773
brefeldin a-inhibited guanine nucleotide-exchange protein 2-like,LOC126316772,LOC126316772
uncharacterized loc126316815,LOC126316815,LOC126316815
serine/threonine-protein kinase pakc-like,LOC126316806,LOC126316806
serine/threonine-protein kinase pakc-like,LOC126316806,LOC126322548
serine hydroxymethyltransferase 2-like,LOC126316752,LOC126316752
uncharacterized loc126316754,LOC126316754,LOC126316754
uncharacterized loc126316757,LOC126316757,LOC126316757
protein pira-like,LOC126316781,LOC126315429
protein pira-like,LOC126316781,LOC126316781
nuclear protein localization protein 4 homolog,LOC126316759,LOC126316759
trimethyllysine dioxygenase%2c mitochondrial-like,LOC126316761,LOC126316761
trimethyllysine dioxygenase%2c mitochondrial-like,LOC126316761,LOC126328228
zinc finger protein 622-like,LOC126316708,LOC126316708
uncharacterized loc126316715,LOC126316715,LOC126316715
uncharacterized loc126316710,LOC126316710,LOC126316710
uncharacterized loc126316712,LOC126316712,LOC126316712
g protein alpha i subunit-like,LOC126316717,LOC126316717
delta-1-pyrroline-5-carboxylate dehydrogenase%2c mitochondrial-like,LOC126316722,LOC126316722
transcription elongation factor spt5-like,LOC126316726,LOC126316726
uncharacterized loc126316740,LOC126316740,LOC126316740
6-phosphogluconate dehydrogenase%2c decarboxylating-like,LOC126316920,LOC126316920
squamous cell carcinoma antigen recognized by t-cells 3-like,LOC126316990,LOC126316990
uncharacterized loc126316906,LOC126316906,LOC126316906
uncharacterized loc126316911,LOC126316911,LOC126316911
uncharacterized loc126316916,LOC126316916,LOC126316916
serine/threonine-protein kinase 4 homolog b-like,LOC126316982,LOC126316982
elongator complex protein 4-like,LOC126316947,LOC126316947
uncharacterized loc126316986,LOC126316986,LOC126316986
serine/threonine-protein phosphatase 4 regulatory subunit 3-b-like,LOC126316967,LOC126316967
uncharacterized loc126316961,LOC126316961,LOC126316961
uncharacterized loc126316983,LOC126316983,LOC126316983
uncharacterized loc126316945,LOC126316945,LOC126316945
uv excision repair protein rad23 homolog,LOC126316973,LOC126316973
myotrophin-like,LOC126316977,LOC126316977
uncharacterized loc126316933,LOC126316933,LOC126316933
uncharacterized loc126316936,LOC126316936,LOC126316936
conserved oligomeric golgi complex subunit 4-like,LOC126316951,LOC126316951
probable phospholipid-transporting atpase ia,LOC126317077,LOC126317077
putative rho gdp-dissociation inhibitor 1,LOC126317117,LOC126317117
uncharacterized loc126317103,LOC126317103,LOC126317103
uncharacterized loc126317105,LOC126317105,LOC126317105
uncharacterized loc126317121,LOC126317121,LOC126317121
uncharacterized loc126317078,LOC126317078,LOC126317078
uncharacterized loc126317097,LOC126317097,LOC126317097
uncharacterized loc126317110,LOC126317110,LOC126317110
single-stranded dna-binding protein-like,LOC126317111,LOC126317111
uncharacterized loc126317099,LOC126317099,LOC126317099
serine/threonine-protein kinase svka-like,LOC126317123,LOC126317123
ccr4-not transcription complex subunit 7-like,LOC126317124,LOC126317124
ras-related c3 botulinum toxin substrate 1-like,LOC126317085,LOC126315223
ras-related c3 botulinum toxin substrate 1-like,LOC126317085,LOC126326530
uncharacterized loc126317091,LOC126317091,LOC126317091
uncharacterized loc126317076,LOC126317076,LOC126317076
serine/threonine-protein phosphatase 4 catalytic subunit-like,LOC126317118,LOC126317118
uncharacterized loc126317081,LOC126317081,LOC126317081
antizyme inhibitor 2-like,LOC126317455,LOC126317455
uncharacterized loc126317508,LOC126317508,LOC126317508
uncharacterized loc126317499,LOC126317499,LOC126317499
elongation factor-like gtpase 1,LOC126317457,LOC126317457
trna (guanine(26)-n(2))-dimethyltransferase-like,LOC126317474,LOC126317474
serine/threonine-protein phosphatase 6 catalytic subunit-like,LOC126317445,LOC126317445
ubiquitin carboxyl-terminal hydrolase 5-like,LOC126317448,LOC126317448
uncharacterized loc126317501,LOC126317501,LOC126317501
uncharacterized loc126317458,LOC126317458,LOC126317458
uncharacterized loc126317490,LOC126317490,LOC126317490
uncharacterized loc126317468,LOC126317468,LOC126317468
uncharacterized loc126318224,LOC126318224,LOC126318224
26s proteasome regulatory subunit 8-like,LOC126318229,LOC126318229
uncharacterized loc126318232,LOC126318232,LOC126318232
uncharacterized loc126318207,LOC126318207,LOC126318207
30s ribosomal protein s9-like,LOC126318218,LOC126318218
coiled-coil domain-containing protein 22-like,LOC126318221,LOC126318221
src kinase-associated phosphoprotein 2-like,LOC126318213,LOC126318213
uncharacterized loc126318325,LOC126318325,LOC126318325
60s ribosomal protein l5-like,LOC126318343,LOC126318343
protein transport protein sec23-like,LOC126318342,LOC126318342
ubiquitin-protein ligase e3b-like,LOC126318289,LOC126318289
f-actin-capping protein subunit beta-like,LOC126318294,LOC126318294
uncharacterized loc126318278,LOC126318278,LOC126318278
uncharacterized loc126318274,LOC126318274,LOC126318274
cullin-3-like,LOC126318281,LOC126318281
uncharacterized loc126318279,LOC126318279,LOC126318279
uncharacterized loc126318360,LOC126318360,LOC126318360
vegetative catalase-like,LOC126318362,LOC126318362
uncharacterized loc126318364,LOC126318364,LOC126318364
glycine--trna ligase-like,LOC126318334,LOC126318334
pre-mrna-processing factor 40 homolog a-like,LOC126318332,LOC126318332
sarcoplasmic reticulum histidine-rich calcium-binding protein-like,LOC126318444,LOC126318444
uncharacterized loc126318452,LOC126318452,LOC126318452
uncharacterized loc126318442,LOC126318442,LOC126318442
valine--trna ligase-like,LOC126318439,LOC126318439
citrate synthase-like,LOC126318428,LOC126318428
tnf receptor-associated protein 1 homolog%2c mitochondrial-like,LOC126318464,LOC126318464
pan2-pan3 deadenylation complex catalytic subunit pan2-like,LOC126318462,LOC126318462
uncharacterized loc126318459,LOC126318459,LOC126318459
eukaryotic translation initiation factor 4 gamma 3-like,LOC126318456,LOC126318456
uncharacterized loc126318457,LOC126318457,LOC126318457
uncharacterized loc126318650,LOC126318650,LOC126318650
uncharacterized loc126318627,LOC126318627,LOC126318627
transforming growth factor beta-1-induced transcript 1 protein-like,LOC126318617,LOC126318617
uncharacterized loc126318619,LOC126318619,LOC126318619
dna-directed rna polymerase ii subunit rpb2-like,LOC126318616,LOC126318616
uncharacterized loc126318615,LOC126318615,LOC126318615
uncharacterized loc126318597,LOC126318597,LOC126318597
serine/threonine-protein phosphatase alpha-2 isoform-like,LOC126318687,LOC126318687
uncharacterized loc126318682,LOC126318682,LOC126318682
chromatin-remodeling atpase ino80-like,LOC126318672,LOC126318672
uncharacterized loc126318699,LOC126318699,LOC126318699
uncharacterized loc126318698,LOC126318698,LOC126318698
uncharacterized loc126318683,LOC126318683,LOC126318683
uncharacterized loc126318678,LOC126318678,LOC126318678
uncharacterized loc126319962,LOC126319962,LOC126319962
tyrosine-protein phosphatase 3-like,LOC126319984,LOC126319984
uncharacterized loc126319985,LOC126319985,LOC126319985
uncharacterized loc126319972,LOC126319972,LOC126319972
guanine nucleotide-binding protein subunit beta-like,LOC126319846,LOC126319846
uncharacterized loc126319848,LOC126319848,LOC126319848
palmitoyltransferase zdhhc18-like,LOC126319859,LOC126319859
coronin-a-like,LOC126319989,LOC126319989
coronin-a-like,LOC126319990,LOC126319989
transmembrane emp24 domain-containing protein a-like,LOC126319861,LOC126319861
uncharacterized loc126319867,LOC126319867,LOC126319867
ras-related protein rab-1b-like,LOC126319868,LOC126319868
uncharacterized loc126319869,LOC126319869,LOC126319869
uncharacterized loc126319871,LOC126319871,LOC126319871
uncharacterized loc126319874,LOC126319874,LOC126319874
uncharacterized loc126319993,LOC126319993,LOC126319993
uncharacterized loc126319894,LOC126319894,LOC126319894
la-related protein 4-like,LOC126319911,LOC126319911
uncharacterized loc126319930,LOC126319930,LOC126319930
uncharacterized loc126319917,LOC126319917,LOC126319917
uncharacterized loc126319939,LOC126319939,LOC126319939
aldo-keto reductase family 1 member b1-like,LOC126319934,LOC126319934
nuclear pore complex protein nup93-like,LOC126319918,LOC126319918
uncharacterized loc126319933,LOC126319933,LOC126319933
replication stress response regulator sde2-like,LOC126319941,LOC126319941
uncharacterized loc126319943,LOC126319943,LOC126319943
cell division cycle 5-related protein-like,LOC126319946,LOC126319946
uncharacterized loc126319956,LOC126319956,LOC126319956
probable replication factor c subunit 4,LOC126319957,LOC126319957
transforming growth factor beta-1-induced transcript 1 protein-like,LOC126319953,LOC126318617
uncharacterized loc126320004,LOC126320004,LOC126320004
uncharacterized loc126319975,LOC126319975,LOC126319975
ankyrin repeat%2c bromo and btb domain-containing protein ddb_g0293800-like,LOC126320352,LOC126320352
guanine exchange factor for rac 30-like,LOC126320360,LOC126320360
40s ribosomal protein sa-like,LOC126320365,LOC126320365
sulfur carrier protein adenylyltransferase-like,LOC126320373,LOC126320373
uncharacterized loc126320362,LOC126320362,LOC126320362
uncharacterized loc126320354,LOC126320354,LOC126320354
threonylcarbamoyl-amp synthase-like,LOC126320369,LOC126320369
prefoldin subunit 6-like,LOC126320371,LOC126320371
translation initiation factor eif-2b subunit beta-like,LOC126320390,LOC126320390
uncharacterized loc126320384,LOC126320384,LOC126320384
uncharacterized loc126320486,LOC126320486,LOC126320486
uncharacterized loc126320406,LOC126320406,LOC126320406
uncharacterized loc126320459,LOC126320459,LOC126320459
probable short/branched chain specific acyl-coa dehydrogenase,LOC126320432,LOC126320432
uncharacterized loc126320433,LOC126320433,LOC126320433
serine/threonine-protein phosphatase 6 regulatory subunit 3-like,LOC126320455,LOC126320455
uncharacterized loc126320387,LOC126320387,LOC126320387
uncharacterized loc126320475,LOC126320475,LOC126320475
serine/threonine-protein kinase/endoribonuclease ire1-like,LOC126320386,LOC126320386
myosin heavy chain%2c cardiac muscle isoform-like,LOC126320409,LOC126320409
uncharacterized loc126320412,LOC126320412,LOC126320412
amidophosphoribosyltransferase-like,LOC126320414,LOC126320414
uncharacterized loc126320469,LOC126320469,LOC126320469
uncharacterized loc126320393,LOC126320393,LOC126320393
uncharacterized loc126320385,LOC126320385,LOC126320385
uncharacterized loc126320434,LOC126320434,LOC126320434
glycogen debranching enzyme-like,LOC126320463,LOC126320463
eukaryotic initiation factor 4a-iii-like,LOC126320427,LOC126320427
uncharacterized loc126320397,LOC126320397,LOC126320397
dynamin-like protein c,LOC126320441,LOC126320441
uncharacterized loc126320594,LOC126320594,LOC126320594
myosin light chain kinase a-like,LOC126320562,LOC126320356
myosin light chain kinase a-like,LOC126320562,LOC126325865
myosin light chain kinase a-like,LOC126320562,LOC126326512
uncharacterized loc126320569,LOC126320569,LOC126320569
uncharacterized loc126320575,LOC126320575,LOC126320575
uncharacterized loc126320603,LOC126320603,LOC126320603
60s acidic ribosomal protein p2-like,LOC126320549,LOC126320549
uncharacterized loc126320550,LOC126320550,LOC126320550
cop9 signalosome complex subunit 6-like,LOC126320554,LOC126320554
ras-like protein rasg,LOC126320565,LOC126320565
ras-like protein rasg,LOC126320565,LOC126324070
epidermal growth factor receptor substrate 15 homolog,LOC126320564,LOC126320564
thioredoxin domain-containing protein-like,LOC126320560,LOC126320560
saccharopine dehydrogenase-like oxidoreductase,LOC126320563,LOC126320563
probable dual specificity protein phosphatase ddb_g0281963,LOC126320585,LOC126320585
gtpase-activating rap/ran-gap domain-like protein 3,LOC126320754,LOC126315327
gtpase-activating rap/ran-gap domain-like protein 3,LOC126320754,LOC126320754
uncharacterized loc126320762,LOC126320762,LOC126320762
uncharacterized loc126320759,LOC126320759,LOC126320759
uncharacterized loc126320761,LOC126320761,LOC126320761
dna-directed rna polymerase subunit beta''-like,LOC126322237,LOC126322237
trafficking protein particle complex subunit 10-like,LOC126322422,LOC126322422
tyrosine-protein kinase fer-like,LOC126322423,LOC126322423
gtpase hras-like,LOC126322411,LOC126322411
uncharacterized loc126322376,LOC126322376,LOC126322376
cullin-1-like,LOC126322414,LOC126322414
uncharacterized loc126322416,LOC126322416,LOC126322416
uncharacterized loc126322404,LOC126322404,LOC126322404
uncharacterized loc126322427,LOC126322427,LOC126322427
uncharacterized loc126322426,LOC126322426,LOC126322426
uncharacterized loc126322378,LOC126322378,LOC126322378
splicing factor 3b subunit 2-like,LOC126322384,LOC126322384
amp deaminase-like,LOC126322390,LOC126322390
transmembrane protein 94-like,LOC126322381,LOC126322381
60s ribosomal protein l19-like,LOC126322397,LOC126322397
uncharacterized loc126322395,LOC126322395,LOC126322395
uncharacterized loc126322607,LOC126322607,LOC126322607
ras gtpase-activating-like protein rgaa,LOC126322531,LOC126305012
ras gtpase-activating-like protein rgaa,LOC126322531,LOC126322531
uncharacterized loc126322583,LOC126322583,LOC126322583
phosphatidylinositol 3%2c4%2c5-trisphosphate 5-phosphatase 2b-like,LOC126322578,LOC126322578
uncharacterized loc126322613,LOC126322613,LOC126322613
uncharacterized loc126322550,LOC126322550,LOC126322550
cytoplasmic aconitate hydratase-like,LOC126322585,LOC126322585
uncharacterized loc126322605,LOC126322605,LOC126322605
rac guanine nucleotide exchange factor jj-like,LOC126322602,LOC126322602
uncharacterized loc126322619,LOC126322619,LOC126322619
glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2-like,LOC126322589,LOC126322589
formin-like protein,LOC126322707,LOC126322707
uncharacterized loc126322730,LOC126322730,LOC126322730
carboxy-terminal kinesin 2,LOC126322712,LOC126322712
uncharacterized loc126322710,LOC126322710,LOC126322710
nuclear pore complex protein nup160-like,LOC126322718,LOC126322718
uncharacterized loc126322720,LOC126322720,LOC126322720
repetitive organellar protein-like,LOC126322709,LOC126322709
uncharacterized loc126323264,LOC126323264,LOC126323264
uncharacterized loc126323280,LOC126323280,LOC126323280
splicing factor 3b subunit 1-like,LOC126323255,LOC126323255
adp-ribosylation factor 1-like,LOC126323247,LOC126323247
autophagy-related protein 9-like,LOC126323238,LOC126323238
titin-like,LOC126323236,LOC126323236
start domain-containing protein 10-like,LOC126323244,LOC126323244
splicing factor 3b subunit 4-like,LOC126323246,LOC126323246
uncharacterized loc126323242,LOC126323242,LOC126323242
uncharacterized loc126323267,LOC126323267,LOC126323267
citrate/2-methylcitrate dehydratase-like,LOC126323268,LOC126323268
glycerol-3-phosphate dehydrogenase%2c mitochondrial-like,LOC126323764,LOC126323764
uncharacterized loc126323716,LOC126323716,LOC126323716
pumilio homolog 3,LOC126323738,LOC126323738
periodic tryptophan protein 2 homolog,LOC126323791,LOC126323791
uncharacterized loc126323745,LOC126323745,LOC126323745
vacuolar protein sorting-associated protein 11 homolog,LOC126323736,LOC126323736
mrna export factor-like,LOC126323771,LOC126323771
ubiquitin carboxyl-terminal hydrolase 33-like,LOC126323724,LOC126323724
uncharacterized loc126323757,LOC126323757,LOC126323757
ap-1 complex subunit gamma-like,LOC126323782,LOC126323782
u3 small nucleolar rna-associated protein 15 homolog,LOC126323784,LOC126323784
uncharacterized loc126323905,LOC126323905,LOC126323905
uncharacterized loc126323929,LOC126323929,LOC126323929
uncharacterized loc126323896,LOC126323896,LOC126323896
uncharacterized loc126323902,LOC126323902,LOC126323902
dnaj homolog subfamily b member 4-like,LOC126323911,LOC126323911
uncharacterized loc126323932,LOC126323932,LOC126323932
uncharacterized loc126323914,LOC126323914,LOC126323914
60s ribosomal protein l7a-like,LOC126323922,LOC126323922
chaperone protein dnaj-like,LOC126323900,LOC126313382
chaperone protein dnaj-like,LOC126323900,LOC126323900
transducin beta-like protein 3,LOC126323888,LOC126323888
uncharacterized loc126323894,LOC126323894,LOC126323894
uncharacterized loc126324061,LOC126324061,LOC126324061
ras-like protein rasg,LOC126324070,LOC126320565
ras-like protein rasg,LOC126324070,LOC126324070
serine/threonine-protein kinase wnk4-like,LOC126324054,LOC126324054
eukaryotic translation initiation factor 3 subunit m-like,LOC126324027,LOC126324027
probable sphingosine-1-phosphate phosphatase,LOC126324033,LOC126324033
uncharacterized loc126324030,LOC126324030,LOC126324030
probable protein disulfide-isomerase a4,LOC126324503,LOC126324503
actobindin-like,LOC126324537,LOC126324537
uncharacterized loc126324499,LOC126324499,LOC126324499
uncharacterized loc126324496,LOC126324496,LOC126324496
anaphase-promoting complex subunit 5-like,LOC126324543,LOC126324543
uncharacterized loc126324548,LOC126324548,LOC126324548
uncharacterized loc126324538,LOC126324538,LOC126324538
atypical kinase coq8a%2c mitochondrial-like,LOC126324539,LOC126324539
sh3 and f-bar domain-containing protein ddb_g0274695-like,LOC126324541,LOC126324541
uncharacterized loc126324525,LOC126324525,LOC126324525
uncharacterized loc126324490,LOC126324490,LOC126324490
dolichyldiphosphatase 1-like,LOC126324748,LOC126324748
uncharacterized loc126324745,LOC126324745,LOC126324745
utp--glucose-1-phosphate uridylyltransferase 2-like,LOC126324744,LOC126324744
actin-histidine n-methyltransferase-like,LOC126325546,LOC126325546
t-complex protein 1 subunit beta-like,LOC126325536,LOC126325536
uncharacterized loc126325522,LOC126325522,LOC126325522
vacuolar protein sorting-associated protein 51 homolog,LOC126325525,LOC126325525
origin recognition complex subunit 1-like,LOC126325476,LOC126325476
nucleolar protein 14-like,LOC126325526,LOC126325526
uncharacterized loc126325515,LOC126325515,LOC126325515
vacuolar protein sorting-associated protein 54-like,LOC126325534,LOC126325534
ras-related protein rap-1-like,LOC126325535,LOC126325535
trans-1%2c2-dihydrobenzene-1%2c2-diol dehydrogenase-like,LOC126325504,LOC126325504
uncharacterized loc126325495,LOC126325495,LOC126325495
uncharacterized loc126325492,LOC126325492,LOC126325492
uncharacterized loc126325503,LOC126325503,LOC126325503
oxysterol-binding protein 8-like,LOC126325500,LOC126325500
serine/threonine-protein kinase tor-like,LOC126325490,LOC126325490
phosphatidylethanolamine-binding protein homolog f40a3.3-like,LOC126325541,LOC126325541
uncharacterized loc126325548,LOC126325548,LOC126325548
cap-gly domain-containing linker protein 1-like,LOC126325489,LOC126313369
cap-gly domain-containing linker protein 1-like,LOC126325489,LOC126325489
uncharacterized loc126325820,LOC126325820,LOC126325820
serine/threonine-protein kinase rio1-like,LOC126325844,LOC126325844
uncharacterized loc126325829,LOC126325829,LOC126325829
ribonuclease h2 subunit b-like,LOC126325813,LOC126325813
uncharacterized loc126325816,LOC126325816,LOC126325816
uncharacterized loc126325825,LOC126325825,LOC126325825
probable serine/threonine-protein kinase ddb_g0278665,LOC126325849,LOC126325849
succinate dehydrogenase flavoprotein subunit-like,LOC126325852,LOC126325852
2-hydroxyacid oxidase-like,LOC126325799,LOC126325799
uncharacterized loc126325836,LOC126325836,LOC126325836
transcription initiation factor tfiid subunit 1-like,LOC126325837,LOC126325873
transcription initiation factor tfiid subunit 1-like,LOC126325837,LOC126325837
condensin complex subunit 3-like,LOC126325817,LOC126325817
uncharacterized loc126325855,LOC126325855,LOC126325855
uncharacterized loc126325847,LOC126325847,LOC126325847
5'-3' exoribonuclease 1-like,LOC126325868,LOC126325868
uncharacterized loc126325800,LOC126325800,LOC126325800
uncharacterized loc126325954,LOC126325954,LOC126325954
uncharacterized loc126325936,LOC126325936,LOC126325936
serine/arginine repetitive matrix protein 2-like,LOC126325909,LOC126322622
