	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126322412	methionine synthase reductase-like	1398	6	0.0	98.28	1	F:GO:0016491	F:oxidoreductase activity			IPR001709 (PRINTS); G3DSA:3.40.50.80:FF:000018 (FUNFAM); G3DSA:1.20.990.10:FF:000007 (FUNFAM); IPR039261 (G3DSA:3.40.50.GENE3D); G3DSA:2.40.30.10 (GENE3D); IPR001433 (PFAM); IPR003097 (PFAM); IPR023173 (G3DSA:1.20.990.GENE3D); PIRSR000361-1 (PIRSR); PIRSR000207-1 (PIRSR); PIRSR601834-1 (PIRSR); IPR017927 (PROSITE_PROFILES); IPR039261 (SUPERFAMILY); IPR017938 (SUPERFAMILY)	F:GO:0016491	F:oxidoreductase activity
true	[INTERPRO, BLASTED]	LOC126323097	uncharacterized protein LOC126323097	537	4	2.14E-121	99.44						IPR019387 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	LOC126322565	putative FERM domain-containing protein FRMD8P1	6888	10	1.97E-161	31.47	12	P:GO:0001510; P:GO:0006396; P:GO:0006564; P:GO:0008652; P:GO:0032259; F:GO:0008168; F:GO:0008173; F:GO:0008757; F:GO:0016740; F:GO:0016787; F:GO:0036424; F:GO:0046872	P:RNA methylation; P:RNA processing; P:L-serine biosynthetic process; P:amino acid biosynthetic process; P:methylation; F:methyltransferase activity; F:RNA methyltransferase activity; F:S-adenosylmethionine-dependent methyltransferase activity; F:transferase activity; F:hydrolase activity; F:L-phosphoserine phosphatase activity; F:metal ion binding			G3DSA:1.20.80.10:FF:000029 (FUNFAM); IPR011993 (G3DSA:2.30.29.GENE3D); IPR019748 (PFAM); G3DSA:3.10.20.90 (GENE3D); IPR019748 (PFAM); IPR014352 (G3DSA:1.20.80.GENE3D); IPR019748 (PFAM); IPR019748 (CDD); IPR019748 (CDD); IPR019748 (CDD); IPR019748 (CDD); IPR035963 (SUPERFAMILY); IPR035963 (SUPERFAMILY); IPR035963 (SUPERFAMILY); IPR035963 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126322939	5-hydroxytryptamine receptor 1A-like	1350	6	0.0	98.52	3	P:GO:0007186; F:GO:0004930; C:GO:0016020	P:G protein-coupled receptor signaling pathway; F:G protein-coupled receptor activity; C:membrane			IPR000276 (PRINTS); G3DSA:1.20.1070.10 (GENE3D); IPR000276 (PFAM); IPR017452 (PROSITE_PROFILES); cd00637 (CDD); SSF81321 (SUPERFAMILY)	P:GO:0007186; F:GO:0004930; C:GO:0016020	P:G protein-coupled receptor signaling pathway; F:G protein-coupled receptor activity; C:membrane
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126323250	ubiquitin-protein ligase E3B	3177	6	0.0	99.72	2	F:GO:0004842; F:GO:0005515	F:ubiquitin-protein transferase activity; F:protein binding			G3DSA:3.30.2160.10:FF:000002 (FUNFAM); G3DSA:3.90.1750.10:FF:000014 (FUNFAM); G3DSA:3.30.2410.10:FF:000012 (FUNFAM); IPR000048 (PFAM); G3DSA:3.30.2160.10 (GENE3D); IPR000569 (PFAM); G3DSA:3.30.2410.10 (GENE3D); G3DSA:3.90.1750.10 (GENE3D); PIRSR001569-1 (PIRSR); IPR000569 (PROSITE_PROFILES); PS50096 (PROSITE_PROFILES); IPR000569 (CDD); IPR035983 (SUPERFAMILY)	F:GO:0004842; F:GO:0005515	F:ubiquitin-protein transferase activity; F:protein binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126323807	unnamed protein product	1614	1	7.68E-63	42.47	3	P:GO:0006412; F:GO:0003735; C:GO:0005840	P:translation; F:structural constituent of ribosome; C:ribosome			G3DSA:3.30.70.3370:FF:000001 (FUNFAM); IPR053709 (G3DSA:3.30.70.GENE3D); IPR053709 (G3DSA:3.30.70.GENE3D); IPR001976 (PFAM); IPR053709 (G3DSA:3.30.70.GENE3D); PIRSR001359-3 (PIRSR); IPR001976 (HAMAP); IPR001976 (HAMAP); IPR012678 (SUPERFAMILY); IPR012678 (SUPERFAMILY); IPR012678 (SUPERFAMILY); IPR012678 (SUPERFAMILY)	P:GO:0006412; F:GO:0003735; C:GO:0005840	P:translation; F:structural constituent of ribosome; C:ribosome
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126323387	NAD-dependent protein deacetylase sirtuin-1 isoform X2	9471	20	4.45E-293	49.8	1	F:GO:0070403	F:NAD+ binding			IPR026591 (G3DSA:3.30.1600.GENE3D); G3DSA:3.40.50.1220 (GENE3D); IPR026591 (G3DSA:3.30.1600.GENE3D); G3DSA:3.40.50.1220 (GENE3D); IPR003000 (PFAM); PIRSR037938-2 (PIRSR); PIRSR037938-3 (PIRSR); PIRSR037938-1 (PIRSR); IPR026590 (PROSITE_PROFILES); cd00296 (CDD); IPR029035 (SUPERFAMILY); IPR029035 (SUPERFAMILY); IPR029035 (SUPERFAMILY); IPR029035 (SUPERFAMILY); IPR029035 (SUPERFAMILY)	F:GO:0070403	F:NAD+ binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126324319	carboxypeptidase E-like isoform X3	14454	20	1.41E-72	80.73	3	P:GO:0006508; F:GO:0004181; F:GO:0008270	P:proteolysis; F:metallocarboxypeptidase activity; F:zinc ion binding			IPR000834 (PRINTS); G3DSA:3.40.630.10 (GENE3D); G3DSA:3.40.630.10 (GENE3D); IPR000834 (PFAM); SSF53187 (SUPERFAMILY); SSF53187 (SUPERFAMILY)	P:GO:0006508; F:GO:0004181; F:GO:0008270	P:proteolysis; F:metallocarboxypeptidase activity; F:zinc ion binding
true	[INTERPRO, BLASTED, MAPPED]	LOC126325221	serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform isoform X1	6810	20	3.96E-109	38.92	4	P:GO:0007165; F:GO:0008270; F:GO:0019888; C:GO:0000159	P:signal transduction; F:zinc ion binding; F:protein phosphatase regulator activity; C:protein phosphatase type 2A complex			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126284867	phosphatidylinositol-binding clathrin assembly protein LAP-like	621	1	6.23E-146	100.0	4	P:GO:0048268; F:GO:0005545; F:GO:0030276; C:GO:0030136	P:clathrin coat assembly; F:1-phosphatidylinositol binding; F:clathrin binding; C:clathrin-coated vesicle			IPR011417 (PFAM); IPR014712 (G3DSA:1.20.58.GENE3D); SSF89009 (SUPERFAMILY)	P:GO:0048268; F:GO:0005543; F:GO:0005545; F:GO:0030276; C:GO:0030136	P:clathrin coat assembly; F:phospholipid binding; F:1-phosphatidylinositol binding; F:clathrin binding; C:clathrin-coated vesicle
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126325647	dynein axonemal light chain 1 isoform X1	2061	6	4.08E-56	53.84	1	F:GO:0005515	F:protein binding			IPR032675 (G3DSA:3.80.10.GENE3D); IPR025875 (PFAM); IPR001611 (PROSITE_PROFILES); IPR001611 (PROSITE_PROFILES); SSF52058 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126326003	zinc finger protein ZPR1	1350	10	0.0	99.24	1	F:GO:0008270	F:zinc ion binding			G3DSA:2.20.25.420:FF:000003 (FUNFAM); G3DSA:2.60.120.1040:FF:000003 (FUNFAM); G3DSA:2.20.25.420:FF:000001 (FUNFAM); G3DSA:2.60.120.1040:FF:000001 (FUNFAM); IPR042451 (G3DSA:2.60.120.GENE3D); IPR042452 (G3DSA:2.20.25.GENE3D); IPR004457 (NCBIFAM); IPR004457 (PFAM); IPR042452 (G3DSA:2.20.25.GENE3D)	F:GO:0008270	F:zinc ion binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126326117	serine/threonine-protein kinase NLK	1356	4	0.0	97.76	3	P:GO:0006468; F:GO:0004672; F:GO:0005524	P:protein phosphorylation; F:protein kinase activity; F:ATP binding			G3DSA:3.30.200.20:FF:000961 (FUNFAM); G3DSA:1.10.510.10:FF:000162 (FUNFAM); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); PIRSR000606-51 (PIRSR); PIRSR000636-2 (PIRSR); PIRSR630220-2 (PIRSR); PIRSR620777-50 (PIRSR); PIRSR000559-1 (PIRSR); PIRSR000604-2 (PIRSR); PIRSR000632-1 (PIRSR); PIRSR630616-1 (PIRSR); PIRSR037993-1 (PIRSR); PIRSR037281-2 (PIRSR); PIRSR000556-1 (PIRSR); PIRSR037921-1 (PIRSR); PIRSR000666-2 (PIRSR); PIRSR038172-1 (PIRSR); PIRSR500947-50 (PIRSR); PIRSR000556-2 (PIRSR); PIRSR600239-51 (PIRSR); PIRSR000617-1 (PIRSR); PIRSR038189-2 (PIRSR); PIRSR500951-1 (PIRSR); PIRSR037014-2 (PIRSR); PIRSR500950-50 (PIRSR); PIRSR500948-1 (PIRSR); PIRSR000552-2 (PIRSR); PIRSR000619-1 (PIRSR); PIRSR000559-2 (PIRSR); PIRSR038189-1 (PIRSR); PIRSR000552-1 (PIRSR); PIRSR037393-1 (PIRSR); PIRSR037014-1 (PIRSR); PIRSR038172-2 (PIRSR); PIRSR000666-1 (PIRSR); PIRSR000660-2 (PIRSR); PIRSR037393-2 (PIRSR); PIRSR000551-50 (PIRSR); PIRSR000604-1 (PIRSR); PIRSR037993-2 (PIRSR); PIRSR000632-2 (PIRSR); PIRSR000620-1 (PIRSR); PIRSR000624-1 (PIRSR); PIRSR000636-1 (PIRSR); PIRSR630616-2 (PIRSR); PIRSR000617-2 (PIRSR); PIRSR630220-1 (PIRSR); PIRSR037281-3 (PIRSR); PIRSR037921-2 (PIRSR); PIRSR000661-50 (PIRSR); PIRSR000661-51 (PIRSR); PIRSR628788-1 (PIRSR); PIRSR000628-2 (PIRSR); PIRSR000631-1 (PIRSR); PIRSR037281-1 (PIRSR); PIRSR628788-2 (PIRSR); PIRSR000550-1 (PIRSR); PIRSR000628-1 (PIRSR); PIRSR037568-1 (PIRSR); PIRSR000554-1 (PIRSR); PIRSR000605-50 (PIRSR); PIRSR637770-2 (PIRSR); PIRSR037568-2 (PIRSR); PIRSR038165-50 (PIRSR); PIRSR000660-1 (PIRSR); PIRSR630616-3 (PIRSR); PIRSR637770-1 (PIRSR); PIRSR000620-2 (PIRSR); IPR000719 (PROSITE_PROFILES); cd07853 (CDD); IPR011009 (SUPERFAMILY)	P:GO:0006468; F:GO:0004672; F:GO:0005524	P:protein phosphorylation; F:protein kinase activity; F:ATP binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126326285	cilia- and flagella-associated protein 58-like	8076	13	2.08E-123	48.89	1	F:GO:0005488	F:binding			IPR049270 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126326589	ovarian-specific serine/threonine-protein kinase Lok-like	1395	5	0.0	99.74	4	P:GO:0006468; F:GO:0004672; F:GO:0005515; F:GO:0005524	P:protein phosphorylation; F:protein kinase activity; F:protein binding; F:ATP binding			G3DSA:1.10.510.10:FF:000571 (FUNFAM); IPR000719 (PFAM); G3DSA:2.60.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR000253 (PFAM); PIRSR038189-2 (PIRSR); PIRSR628788-1 (PIRSR); PIRSR000620-2 (PIRSR); PIRSR037281-3 (PIRSR); PIRSR000666-1 (PIRSR); PIRSR000556-1 (PIRSR); PIRSR000554-2 (PIRSR); PIRSR000605-51 (PIRSR); PIRSR000661-51 (PIRSR); PIRSR630616-2 (PIRSR); PIRSR000552-1 (PIRSR); PIRSR000559-1 (PIRSR); PIRSR037568-2 (PIRSR); PIRSR620777-50 (PIRSR); PIRSR500951-2 (PIRSR); PIRSR000550-3 (PIRSR); PIRSR037281-1 (PIRSR); PIRSR000624-1 (PIRSR); PIRSR000604-1 (PIRSR); PIRSR000551-51 (PIRSR); PIRSR038172-2 (PIRSR); PIRSR500951-1 (PIRSR); PIRSR637770-1 (PIRSR); PIRSR000604-2 (PIRSR); PIRSR000661-50 (PIRSR); PIRSR637770-2 (PIRSR); PIRSR000617-1 (PIRSR); PIRSR037014-1 (PIRSR); PIRSR600239-51 (PIRSR); PIRSR000617-2 (PIRSR); PIRSR038172-1 (PIRSR); PIRSR037014-2 (PIRSR); PIRSR000559-2 (PIRSR); PIRSR000628-1 (PIRSR); PIRSR000666-2 (PIRSR); PIRSR037993-2 (PIRSR); PIRSR630616-3 (PIRSR); PIRSR000631-1 (PIRSR); PIRSR500947-50 (PIRSR); PIRSR037393-1 (PIRSR); PIRSR000552-2 (PIRSR); PIRSR037568-1 (PIRSR); PIRSR630220-1 (PIRSR); PIRSR000551-50 (PIRSR); PIRSR500948-1 (PIRSR); PIRSR038189-1 (PIRSR); PIRSR630616-1 (PIRSR); PIRSR000660-2 (PIRSR); PIRSR000605-50 (PIRSR); PIRSR500950-50 (PIRSR); PIRSR000636-1 (PIRSR); PIRSR000620-1 (PIRSR); PIRSR500948-2 (PIRSR); PIRSR000606-51 (PIRSR); PIRSR620777-51 (PIRSR); PIRSR037921-1 (PIRSR); PIRSR000636-2 (PIRSR); PIRSR500950-51 (PIRSR); PIRSR000632-1 (PIRSR); PIRSR000554-1 (PIRSR); PIRSR000619-1 (PIRSR); PIRSR000550-1 (PIRSR); PIRSR000628-2 (PIRSR); PIRSR038165-50 (PIRSR); PIRSR000660-1 (PIRSR); PIRSR000632-2 (PIRSR); PIRSR037993-1 (PIRSR); IPR000719 (PROSITE_PROFILES); IPR000253 (PROSITE_PROFILES); cd22666 (CDD); IPR008984 (SUPERFAMILY); IPR011009 (SUPERFAMILY)	P:GO:0006468; F:GO:0004672; F:GO:0005515; F:GO:0005524	P:protein phosphorylation; F:protein kinase activity; F:protein binding; F:ATP binding
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126326728	AH receptor-interacting protein isoform X1	951	5	1.64E-230	98.56	2	F:GO:0003755; F:GO:0005515	F:peptidyl-prolyl cis-trans isomerase activity; F:protein binding			G3DSA:1.25.40.10:FF:000052 (FUNFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR046357 (G3DSA:3.10.50.GENE3D); IPR001179 (PFAM); SSF54534 (SUPERFAMILY); IPR011990 (SUPERFAMILY)	F:GO:0003755; F:GO:0005515	F:peptidyl-prolyl cis-trans isomerase activity; F:protein binding
true	[INTERPRO, BLASTED]	LOC126284877	uncharacterized protein LOC126284877	588	1	4.71E-71	100.0						PR01217 (PRINTS)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126327189	NAD(+) hydrolase sarm1 isoform X6	26733	20	6.38E-312	61.83	1	F:GO:0005515	F:protein binding			G3DSA:1.10.150.50:FF:000043 (FUNFAM); IPR013761 (G3DSA:1.10.150.GENE3D); IPR011989 (G3DSA:1.25.10.GENE3D); IPR001660 (PFAM); IPR001660 (PROSITE_PROFILES); IPR016024 (SUPERFAMILY); IPR016024 (SUPERFAMILY); IPR016024 (SUPERFAMILY); IPR016024 (SUPERFAMILY); IPR016024 (SUPERFAMILY); IPR013761 (SUPERFAMILY); IPR016024 (SUPERFAMILY); IPR016024 (SUPERFAMILY); IPR016024 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126328052	kanadaptin isoform X1	4848	20	6.55E-215	80.14	1	F:GO:0005515	F:protein binding			G3DSA:2.60.200.20:FF:000053 (FUNFAM); IPR000253 (PFAM); G3DSA:2.60.200.20 (GENE3D); IPR000253 (PROSITE_PROFILES); IPR000253 (PROSITE_PROFILES); cd22677 (CDD); IPR008984 (SUPERFAMILY); IPR008984 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED]	LOC126352135	uncharacterized protein LOC126352135	2328	1	0.0	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126356727	osteocalcin 2-like	342	2	1.53E-58	99.43						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126358276	cilia- and flagella-associated protein 251-like	2076	2	2.67E-7	98.39						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126359838	uncharacterized protein LOC126359838	1482	1	7.06E-67	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126361403	glypican-5-like	573	2	1.89E-139	98.89	3	P:GO:0009966; C:GO:0005886; C:GO:0062023	P:regulation of signal transduction; C:plasma membrane; C:collagen-containing extracellular matrix			IPR001863 (PFAM)	P:GO:0009966; C:GO:0005886; C:GO:0062023	P:regulation of signal transduction; C:plasma membrane; C:collagen-containing extracellular matrix
true	[INTERPRO, BLASTED]	LOC126362955	octapeptide-repeat protein T2-like	807	1	2.3E-8	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126364494	---NA---	1959									IPR025574 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126365824	polysialoglycoprotein-like	1449	1	2.68E-4	100.0						IPR025574 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126266999	myb-like protein X	1551	2	6.37E-12	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126267679	circumsporozoite protein-like	1284	1	6.18E-53	100.0						SSF69349 (SUPERFAMILY); SSF69349 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	LOC126268596	---NA---	1197									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126328694	uncharacterized protein LOC126328694	396	1	4.61E-100	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126328952	uncharacterized protein LOC126328952 isoform X2	1311	1	3.7E-79	52.35						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126329352	phosphofurin acidic cluster sorting protein 2 isoform X1	13794	20	1.42E-88	46.73						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126329909	protein YIF1B isoform X1	3084	10	4.77E-140	51.29						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126270168	uncharacterized protein LOC126270168	4851	1	0.0	100.0	1	F:GO:0005515	F:protein binding			IPR002110 (PRINTS); IPR002110 (PFAM); IPR002110 (PFAM); IPR036770 (G3DSA:1.25.40.GENE3D); IPR036770 (G3DSA:1.25.40.GENE3D); IPR036770 (G3DSA:1.25.40.GENE3D); PS50297 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); PS50297 (PROSITE_PROFILES); IPR002110 (PROSITE_PROFILES); IPR036770 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126330208	cystathionine beta-synthase isoform X1	3282	18	5.28E-171	62.33	3	P:GO:0006520; P:GO:0006790; P:GO:0009058	P:amino acid metabolic process; P:sulfur compound metabolic process; P:biosynthetic process			G3DSA:3.10.580.10:FF:000014 (FUNFAM); IPR000644 (PFAM); IPR036052 (G3DSA:3.40.50.GENE3D); IPR046342 (G3DSA:3.10.580.GENE3D); IPR000644 (PROSITE_PROFILES); IPR046353 (CDD); IPR036052 (SUPERFAMILY); IPR046342 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126330470	Serine-arginine protein 55	4845	11	3.69E-34	71.08	1	F:GO:0003723	F:RNA binding			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126272481	retinitis pigmentosa 1-like 1 protein	822	1	1.64E-64	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126273154	neurofilament heavy polypeptide-like	2643	1	2.84E-109	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126331023	piwi-like protein Siwi	2526	5	0.0	96.9	2	F:GO:0003723; F:GO:0005515	F:RNA binding; F:protein binding			G3DSA:3.30.420.10:FF:000014 (FUNFAM); G3DSA:2.170.260.10:FF:000003 (FUNFAM); G3DSA:2.170.260.10 (GENE3D); IPR036397 (G3DSA:3.30.420.GENE3D); G3DSA:3.40.50.2300 (GENE3D); IPR003100 (PFAM); IPR003165 (PFAM); IPR003100 (PROSITE_PROFILES); IPR003165 (PROSITE_PROFILES); cd02845 (CDD); cd04658 (CDD); IPR036085 (SUPERFAMILY); IPR012337 (SUPERFAMILY)	F:GO:0003676; F:GO:0003723; F:GO:0005515	F:nucleic acid binding; F:RNA binding; F:protein binding
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126331476	microsomal glutathione S-transferase 1-like	456	6	9.19E-103	98.9	1	C:GO:0016020	C:membrane			G3DSA:1.20.120.550:FF:000002 (FUNFAM); IPR001129 (PFAM); IPR023352 (G3DSA:1.20.120.GENE3D); IPR023352 (SUPERFAMILY)	C:GO:0016020	C:membrane
