Sequence Name	Sequence Description	GO in Extended Format (GO Category GO ID GO Term)
LOC124597138	uncharacterized protein LOC124597138	P GO:0050909 sensory perception of taste
LOC124620392	unnamed protein product	F GO:0004497 monooxygenase activity
LOC124620392	unnamed protein product	F GO:0005506 iron ion binding
LOC124620392	unnamed protein product	F GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
LOC124620392	unnamed protein product	F GO:0020037 heme binding
LOC124622022	probable cytochrome P450 6a13	F GO:0004497 monooxygenase activity
LOC124622022	probable cytochrome P450 6a13	F GO:0005506 iron ion binding
LOC124622022	probable cytochrome P450 6a13	F GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
LOC124622022	probable cytochrome P450 6a13	F GO:0020037 heme binding
LOC124621782	probable cytochrome P450 6a13	F GO:0004497 monooxygenase activity
LOC124621782	probable cytochrome P450 6a13	F GO:0005506 iron ion binding
LOC124621782	probable cytochrome P450 6a13	F GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
LOC124621782	probable cytochrome P450 6a13	F GO:0020037 heme binding
LOC124548284	hydroxyacid-oxoacid transhydrogenase, mitochondrial	F GO:0046872 metal ion binding
LOC124548284	hydroxyacid-oxoacid transhydrogenase, mitochondrial	F GO:0004022 alcohol dehydrogenase (NAD+) activity
LOC124548300	leucine-rich repeat-containing protein 15	F GO:0005515 protein binding
LOC124548326	heparan sulfate glucosamine 3-O-sulfotransferase 5-like	F GO:0008146 sulfotransferase activity
LOC124548386	probable protein phosphatase CG10417 isoform X1	F GO:0004722 protein serine/threonine phosphatase activity
LOC124548452	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3	F GO:0005515 protein binding
LOC124548452	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3	P GO:0051260 protein homooligomerization
LOC124598367	uncharacterized protein LOC124598367	F GO:0004930 G protein-coupled receptor activity
LOC124598367	uncharacterized protein LOC124598367	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124598367	uncharacterized protein LOC124598367	C GO:0016020 membrane
LOC124598367	uncharacterized protein LOC124598367	P GO:0007166 cell surface receptor signaling pathway
LOC124621066	cold shock domain-containing protein CG9705	F GO:0003676 nucleic acid binding
LOC124620418	uncharacterized protein LOC124620418	C GO:0005634 nucleus
LOC124620418	uncharacterized protein LOC124620418	F GO:0003684 damaged DNA binding
LOC124620418	uncharacterized protein LOC124620418	P GO:0000012 single strand break repair
LOC124548527	dynein axonemal light chain 4-like	C GO:0030286 dynein complex
LOC124548527	dynein axonemal light chain 4-like	P GO:0007017 microtubule-based process
LOC124620434	Cytoplasmic tRNA 2-thiolation protein 1	P GO:0008033 tRNA processing
LOC124548666	mitochondrial E3 ubiquitin protein ligase 1-like	F GO:0004842 ubiquitin-protein transferase activity
LOC124548666	mitochondrial E3 ubiquitin protein ligase 1-like	P GO:0006996 organelle organization
LOC124548666	mitochondrial E3 ubiquitin protein ligase 1-like	P GO:0016567 protein ubiquitination
LOC124595486	dynein axonemal light chain 4-like	C GO:0030286 dynein complex
LOC124595486	dynein axonemal light chain 4-like	P GO:0007017 microtubule-based process
LOC124620497	putative ammonium transporter 1	C GO:0016020 membrane
LOC124620497	putative ammonium transporter 1	F GO:0008519 ammonium channel activity
LOC124620497	putative ammonium transporter 1	P GO:0072488 ammonium transmembrane transport
LOC124620460	lysosomal-associated transmembrane protein 4A	C GO:0016020 membrane
LOC124548699	uncharacterized protein LOC124548699	C GO:0005576 extracellular region
LOC124548699	uncharacterized protein LOC124548699	F GO:0008061 chitin binding
LOC124601460	uncharacterized protein LOC124601460	F GO:0003676 nucleic acid binding
LOC124601460	uncharacterized protein LOC124601460	P GO:0015074 DNA integration
LOC124622074	transcription elongation factor SPT4-A	C GO:0005634 nucleus
LOC124622074	transcription elongation factor SPT4-A	F GO:0008270 zinc ion binding
LOC124622074	transcription elongation factor SPT4-A	P GO:0006355 regulation of DNA-templated transcription
LOC124622074	transcription elongation factor SPT4-A	P GO:0140673 transcription elongation-coupled chromatin remodeling
LOC124620805	charged multivesicular body protein 2b	P GO:0007034 vacuolar transport
LOC124549252	mediator of RNA polymerase II transcription subunit 9	C GO:0016592 mediator complex
LOC124549252	mediator of RNA polymerase II transcription subunit 9	F GO:0003712 transcription coregulator activity
LOC124549252	mediator of RNA polymerase II transcription subunit 9	P GO:0006357 regulation of transcription by RNA polymerase II
LOC124549549	arfGAP with SH3 domain, ANK repeat and PH domain-containing protein isoform X3	F GO:0005515 protein binding
LOC124603037	uncharacterized protein LOC124603037	F GO:0003676 nucleic acid binding
LOC124603037	uncharacterized protein LOC124603037	P GO:0015074 DNA integration
LOC124603351	extracellular matrix organizing protein FRAS1-like	C GO:0016020 membrane
LOC124603351	extracellular matrix organizing protein FRAS1-like	P GO:0007154 cell communication
LOC124549700	DNA polymerase beta-like isoform X1	F GO:0003677 DNA binding
LOC124549700	DNA polymerase beta-like isoform X1	F GO:0003887 DNA-directed DNA polymerase activity
LOC124549700	DNA polymerase beta-like isoform X1	P GO:0006281 DNA repair
LOC124549742	NCK-interacting protein with SH3 domain-like isoform X1	F GO:0005515 protein binding
LOC124620545	prostaglandin reductase 1-like	C GO:0005737 cytoplasm
LOC124620545	prostaglandin reductase 1-like	F GO:0032440 2-alkenal reductase [NAD(P)+] activity
LOC124620545	prostaglandin reductase 1-like	F GO:0047522 15-oxoprostaglandin 13-oxidase [NAD(P)+] activity
LOC124620561	troponin C, isoallergen Bla g 6.0301	F GO:0005509 calcium ion binding
LOC124603511	helix-loop-helix protein delilah-like	F GO:0046983 protein dimerization activity
LOC124603667	dipeptidyl peptidase 1-like	F GO:0008234 cysteine-type peptidase activity
LOC124603667	dipeptidyl peptidase 1-like	P GO:0006508 proteolysis
LOC124604136	mesoderm posterior protein 1-like	F GO:0046983 protein dimerization activity
LOC124604450	uncharacterized protein LOC124604450	C GO:0016020 membrane
LOC124604450	uncharacterized protein LOC124604450	F GO:0004984 olfactory receptor activity
LOC124604450	uncharacterized protein LOC124604450	F GO:0005549 odorant binding
LOC124604450	uncharacterized protein LOC124604450	P GO:0007608 sensory perception of smell
LOC124604606	helix-loop-helix protein delilah-like, partial	F GO:0046983 protein dimerization activity
LOC124604915	odorant receptor 43a-like	C GO:0016020 membrane
LOC124604915	odorant receptor 43a-like	F GO:0004984 olfactory receptor activity
LOC124604915	odorant receptor 43a-like	F GO:0005549 odorant binding
LOC124604915	odorant receptor 43a-like	P GO:0007608 sensory perception of smell
LOC124605072	uncharacterized protein LOC124605072	C GO:0016020 membrane
LOC124605072	uncharacterized protein LOC124605072	F GO:0004984 olfactory receptor activity
LOC124605072	uncharacterized protein LOC124605072	F GO:0005549 odorant binding
LOC124605072	uncharacterized protein LOC124605072	P GO:0007608 sensory perception of smell
LOC124549959	CCHC-type zinc finger nucleic acid binding protein-like	F GO:0003676 nucleic acid binding
LOC124549959	CCHC-type zinc finger nucleic acid binding protein-like	F GO:0008270 zinc ion binding
LOC124549987	transcription elongation regulator 1	F GO:0005515 protein binding
LOC124605219	uncharacterized protein LOC124605219	F GO:0016747 acyltransferase activity, transferring groups other than amino-acyl groups
LOC124550257	tRNA (uracil-5-)-methyltransferase homolog A-like	F GO:0003676 nucleic acid binding
LOC124550369	RNA-binding protein Musashi like Rbp6	F GO:0003723 RNA binding
LOC124550592	proteasome subunit alpha type-2	C GO:0019773 proteasome core complex, alpha-subunit complex
LOC124550592	proteasome subunit alpha type-2	P GO:0006511 ubiquitin-dependent protein catabolic process
LOC124550576	beta-sarcoglycan	C GO:0016012 sarcoglycan complex
LOC124550646	serine protease snake-like	F GO:0004252 serine-type endopeptidase activity
LOC124550646	serine protease snake-like	P GO:0006508 proteolysis
LOC124550635	serine protease snake-like	F GO:0004252 serine-type endopeptidase activity
LOC124550635	serine protease snake-like	P GO:0006508 proteolysis
LOC124620624	ADP-ribosylation factor-like protein 3	F GO:0003924 GTPase activity
LOC124620624	ADP-ribosylation factor-like protein 3	F GO:0005525 GTP binding
LOC124620673	aldo-keto reductase family 1 member A1-like	F GO:0016491 oxidoreductase activity
LOC124550880	dual specificity protein phosphatase 23-like	P GO:0006470 protein dephosphorylation
LOC124550891	kinesin-like protein Klp98A	F GO:0005524 ATP binding
LOC124550891	kinesin-like protein Klp98A	F GO:0003777 microtubule motor activity
LOC124550891	kinesin-like protein Klp98A	F GO:0035091 phosphatidylinositol binding
LOC124550891	kinesin-like protein Klp98A	P GO:0007018 microtubule-based movement
LOC124550891	kinesin-like protein Klp98A	F GO:0008017 microtubule binding
LOC124620689	uncharacterized protein LOC124620689	C GO:0005634 nucleus
LOC124620689	uncharacterized protein LOC124620689	F GO:0008270 zinc ion binding
LOC124620689	uncharacterized protein LOC124620689	F GO:0070530 K63-linked polyubiquitin modification-dependent protein binding
LOC124550909	1,5-anhydro-D-fructose reductase-like	F GO:0016491 oxidoreductase activity
LOC124550923	mediator of RNA polymerase II transcription subunit 6 isoform X2	C GO:0016592 mediator complex
LOC124550923	mediator of RNA polymerase II transcription subunit 6 isoform X2	F GO:0003712 transcription coregulator activity
LOC124550923	mediator of RNA polymerase II transcription subunit 6 isoform X2	P GO:0006357 regulation of transcription by RNA polymerase II
LOC124550941	pre-mRNA-processing factor 39	C GO:0005634 nucleus
LOC124550941	pre-mRNA-processing factor 39	F GO:0005515 protein binding
LOC124550941	pre-mRNA-processing factor 39	P GO:0006396 RNA processing
LOC124607387	baculoviral IAP repeat-containing protein 6	F GO:0004842 ubiquitin-protein transferase activity
LOC124607387	baculoviral IAP repeat-containing protein 6	P GO:0006915 apoptotic process
LOC124607387	baculoviral IAP repeat-containing protein 6	P GO:0032465 regulation of cytokinesis
LOC124607470	regucalcin-like	F GO:0005509 calcium ion binding
LOC124607470	regucalcin-like	F GO:0030234 enzyme regulator activity
LOC124550984	translocating chain-associated membrane protein 1	C GO:0016020 membrane
LOC124550984	translocating chain-associated membrane protein 1	P GO:0006616 SRP-dependent cotranslational protein targeting to membrane, translocation
LOC124620705	gamma-butyrobetaine dioxygenase-like isoform X2	F GO:0016491 oxidoreductase activity
LOC124620741	gamma-butyrobetaine dioxygenase-like	F GO:0016491 oxidoreductase activity
LOC124620757	gamma-butyrobetaine dioxygenase-like	F GO:0016491 oxidoreductase activity
LOC124621273	gamma-butyrobetaine dioxygenase-like	F GO:0016491 oxidoreductase activity
LOC124621405	gamma-butyrobetaine dioxygenase-like	F GO:0016491 oxidoreductase activity
LOC124607720	glutaminase kidney isoform, mitochondrial-like	F GO:0004359 glutaminase activity
LOC124607720	glutaminase kidney isoform, mitochondrial-like	F GO:0005515 protein binding
LOC124607720	glutaminase kidney isoform, mitochondrial-like	P GO:0006541 glutamine metabolic process
LOC124608032	sodium/potassium-transporting ATPase subunit alpha-2-like	F GO:0016887 ATP hydrolysis activity
LOC124608032	sodium/potassium-transporting ATPase subunit alpha-2-like	F GO:0005524 ATP binding
LOC124608032	sodium/potassium-transporting ATPase subunit alpha-2-like	C GO:0016020 membrane
LOC124608032	sodium/potassium-transporting ATPase subunit alpha-2-like	F GO:0005215 transporter activity
LOC124621793	chordin-like protein 1	F GO:0005515 protein binding
LOC124608190	uncharacterized protein LOC124608190	F GO:0003677 DNA binding
LOC124551148	pre-mRNA-processing factor 19-like	F GO:0004842 ubiquitin-protein transferase activity
LOC124551148	pre-mRNA-processing factor 19-like	P GO:0016567 protein ubiquitination
LOC124551161	SPRY domain-containing SOCS box protein 3 isoform X1	F GO:0005515 protein binding
LOC124608507	MFS-type transporter clz9-like	F GO:0003676 nucleic acid binding
LOC124551193	transmembrane protein 120 homolog	C GO:0016020 membrane
LOC124620822	GTPase Era, mitochondrial	F GO:0003723 RNA binding
LOC124620822	GTPase Era, mitochondrial	F GO:0005525 GTP binding
LOC124623223	sulfotransferase 1C4	F GO:0008146 sulfotransferase activity
LOC124551243	ADP-ribosylation factor-binding protein GGA2 isoform X3	F GO:0035091 phosphatidylinositol binding
LOC124551243	ADP-ribosylation factor-binding protein GGA2 isoform X3	F GO:0043130 ubiquitin binding
LOC124608664	putative gustatory receptor 2a	C GO:0016020 membrane
LOC124608664	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC124620838	probable G-protein coupled receptor Mth-like 1	F GO:0004930 G protein-coupled receptor activity
LOC124620838	probable G-protein coupled receptor Mth-like 1	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124620838	probable G-protein coupled receptor Mth-like 1	C GO:0016020 membrane
LOC124620838	probable G-protein coupled receptor Mth-like 1	P GO:0007166 cell surface receptor signaling pathway
LOC124551307	protein-tyrosine sulfotransferase-like	C GO:0016020 membrane
LOC124551307	protein-tyrosine sulfotransferase-like	F GO:0008476 protein-tyrosine sulfotransferase activity
LOC124608821	putative gustatory receptor 2a	C GO:0016020 membrane
LOC124608821	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC124621973	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C-like	F GO:0005515 protein binding
LOC124608976	gustatory receptor 23a-like	C GO:0016020 membrane
LOC124608976	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC124609130	gustatory receptor 23a-like	C GO:0016020 membrane
LOC124609130	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC124609756	putative gustatory receptor 2a	C GO:0016020 membrane
LOC124609756	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC124609912	gustatory receptor 23a-like	C GO:0016020 membrane
LOC124609912	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC124610066	putative gustatory receptor 2a	C GO:0016020 membrane
LOC124610066	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC124610220	putative gustatory receptor 2a	C GO:0016020 membrane
LOC124610220	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC124610377	gustatory receptor 23a-like	C GO:0016020 membrane
LOC124610377	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC124610534	putative gustatory receptor 2a	C GO:0016020 membrane
LOC124610534	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC124623128	speckle-type POZ protein-like	F GO:0005515 protein binding
LOC124610951	putative gustatory receptor 2a	C GO:0016020 membrane
LOC124610951	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC124621902	potassium channel KOR2-like	F GO:0005515 protein binding
LOC124611105	gustatory receptor 23a-like	C GO:0016020 membrane
LOC124611105	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC124611263	gustatory receptor 23a-like	C GO:0016020 membrane
LOC124611263	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC124611416	uncharacterized protein LOC124611416	C GO:0016020 membrane
LOC124611416	uncharacterized protein LOC124611416	P GO:0050909 sensory perception of taste
LOC124611573	gustatory receptor for sugar taste 43a-like	C GO:0016020 membrane
LOC124611573	gustatory receptor for sugar taste 43a-like	P GO:0050909 sensory perception of taste
LOC124611730	putative gustatory receptor 2a	C GO:0016020 membrane
LOC124611730	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC124547285	alpha-(1,6)-fucosyltransferase-like	F GO:0005515 protein binding
LOC124612703	glutamate receptor ionotropic, kainate 5-like	C GO:0016020 membrane
LOC124612703	glutamate receptor ionotropic, kainate 5-like	F GO:0015276 ligand-gated monoatomic ion channel activity
LOC124551947	homeobox protein six1-like, partial	F GO:0003677 DNA binding
LOC124551947	homeobox protein six1-like, partial	P GO:0006355 regulation of DNA-templated transcription
LOC124612781	glycoprotein 3-alpha-L-fucosyltransferase A-like	C GO:0016020 membrane
LOC124612781	glycoprotein 3-alpha-L-fucosyltransferase A-like	F GO:0008417 fucosyltransferase activity
LOC124612781	glycoprotein 3-alpha-L-fucosyltransferase A-like	P GO:0006486 protein glycosylation
LOC124552186	calcium-activated potassium channel slowpoke	P GO:0006813 potassium ion transport
LOC124552186	calcium-activated potassium channel slowpoke	F GO:0005216 monoatomic ion channel activity
LOC124552186	calcium-activated potassium channel slowpoke	P GO:0055085 transmembrane transport
LOC124552186	calcium-activated potassium channel slowpoke	C GO:0016020 membrane
LOC124613002	neuropeptide SIFamide receptor-like	C GO:0016020 membrane
LOC124613002	neuropeptide SIFamide receptor-like	F GO:0004930 G protein-coupled receptor activity
LOC124613002	neuropeptide SIFamide receptor-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124613163	uncharacterized protein LOC124613163	F GO:0004252 serine-type endopeptidase activity
LOC124613163	uncharacterized protein LOC124613163	P GO:0006508 proteolysis
LOC124613237	CARD- and ANK-domain containing inflammasome adapter protein-like	F GO:0005515 protein binding
LOC124621082	uncharacterized protein LOC124621082 isoform X1	F GO:0016787 hydrolase activity
LOC124596023	unnamed protein product	C GO:0031410 cytoplasmic vesicle
LOC124598102	Protein PDHA-1 a	F GO:0016624 oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
LOC124602299	protein singed wings 2	F GO:0005515 protein binding
LOC124605249	cytoplasmic phosphatidylinositol transfer protein 1	F GO:0005548 phospholipid transporter activity
LOC124605249	cytoplasmic phosphatidylinositol transfer protein 1	P GO:0015914 phospholipid transport
LOC124625401	coagulation factor IX-like	F GO:0004252 serine-type endopeptidase activity
LOC124625401	coagulation factor IX-like	P GO:0006508 proteolysis
LOC124547301	coagulation factor IX-like	F GO:0004252 serine-type endopeptidase activity
LOC124547301	coagulation factor IX-like	P GO:0006508 proteolysis
LOC124613528	putative trypsin-6	F GO:0004252 serine-type endopeptidase activity
LOC124613528	putative trypsin-6	P GO:0006508 proteolysis
LOC124606978	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124606978	trypsin-1-like	P GO:0006508 proteolysis
LOC124613624	trypsin alpha-like	F GO:0004252 serine-type endopeptidase activity
LOC124613624	trypsin alpha-like	P GO:0006508 proteolysis
LOC124548511	trypsin alpha-like	F GO:0004252 serine-type endopeptidase activity
LOC124548511	trypsin alpha-like	P GO:0006508 proteolysis
LOC124613724	trypsin alpha-like	F GO:0004252 serine-type endopeptidase activity
LOC124613724	trypsin alpha-like	P GO:0006508 proteolysis
LOC124613823	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124613823	trypsin-1-like	P GO:0006508 proteolysis
LOC124544665	trypsin alpha-like	F GO:0004252 serine-type endopeptidase activity
LOC124544665	trypsin alpha-like	P GO:0006508 proteolysis
LOC124613909	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124613909	trypsin-1-like	P GO:0006508 proteolysis
LOC124613988	trithorax group protein osa-like, partial	C GO:0005634 nucleus
LOC124613988	trithorax group protein osa-like, partial	F GO:0008270 zinc ion binding
LOC124613988	trithorax group protein osa-like, partial	P GO:0006355 regulation of DNA-templated transcription
LOC124614208	ankyrin repeat domain-containing protein 49-like	F GO:0005515 protein binding
LOC124614367	ionotropic receptor 75a-like	C GO:0016020 membrane
LOC124614367	ionotropic receptor 75a-like	F GO:0015276 ligand-gated monoatomic ion channel activity
LOC124614523	uncharacterized protein LOC124614523	F GO:0005515 protein binding
LOC124624822	kinase suppressor of Ras 2	F GO:0004672 protein kinase activity
LOC124624822	kinase suppressor of Ras 2	F GO:0005524 ATP binding
LOC124624822	kinase suppressor of Ras 2	P GO:0006468 protein phosphorylation
LOC124550283	beta-1,4-galactosyltransferase 7-like	F GO:0016757 glycosyltransferase activity
LOC124550283	beta-1,4-galactosyltransferase 7-like	P GO:0005975 carbohydrate metabolic process
LOC124544859	organic cation transporter protein-like	C GO:0016020 membrane
LOC124621141	organic cation transporter protein-like	C GO:0016020 membrane
LOC124621141	organic cation transporter protein-like	F GO:0022857 transmembrane transporter activity
LOC124621141	organic cation transporter protein-like	P GO:0055085 transmembrane transport
LOC124615702	intersectin-1	F GO:0005085 guanyl-nucleotide exchange factor activity
LOC124615702	intersectin-1	F GO:0005509 calcium ion binding
LOC124615702	intersectin-1	F GO:0005515 protein binding
LOC124621183	protein RFT1 homolog	C GO:0016020 membrane
LOC124621183	protein RFT1 homolog	P GO:0006488 dolichol-linked oligosaccharide biosynthetic process
LOC124551261	4-hydroxyphenylpyruvate dioxygenase	P GO:0009072 aromatic amino acid metabolic process
LOC124551261	4-hydroxyphenylpyruvate dioxygenase	F GO:0003868 4-hydroxyphenylpyruvate dioxygenase activity
LOC124553683	huntingtin-interacting protein 1	F GO:0003779 actin binding
LOC124553683	huntingtin-interacting protein 1	F GO:0005543 phospholipid binding
LOC124615845	uncharacterized protein LOC124615845	F GO:0004623 phospholipase A2 activity
LOC124615845	uncharacterized protein LOC124615845	P GO:0006644 phospholipid metabolic process
LOC124615845	uncharacterized protein LOC124615845	P GO:0050482 arachidonate secretion
