Sequence Name	Sequence Description	GO in Extended Format (GO Category GO ID GO Term)
LOC126461704	mediator of RNA polymerase II transcription subunit 13 isoform X1	P GO:0006357 regulation of transcription by RNA polymerase II
LOC126461730	39S ribosomal protein L50, mitochondrial	C GO:0005739 mitochondrion
LOC126461746	putative phospholipase B-like 2	F GO:0004620 phospholipase activity
LOC126461762	putative phospholipase B-like lamina ancestor isoform X1	F GO:0004620 phospholipase activity
LOC126461861	huntingtin-interacting protein 1	F GO:0003779 actin binding
LOC126461861	huntingtin-interacting protein 1	F GO:0005543 phospholipid binding
LOC126461887	4-hydroxyphenylpyruvate dioxygenase	P GO:0009072 aromatic amino acid metabolic process
LOC126461887	4-hydroxyphenylpyruvate dioxygenase	F GO:0003868 4-hydroxyphenylpyruvate dioxygenase activity
LOC126461903	protein RFT1 homolog	C GO:0016020 membrane
LOC126461903	protein RFT1 homolog	P GO:0006488 dolichol-linked oligosaccharide biosynthetic process
LOC126461919	LOW QUALITY PROTEIN: uncharacterized protein LOC124795878	F GO:0005085 guanyl-nucleotide exchange factor activity
LOC126462012	organic cation transporter protein-like isoform X2	C GO:0016020 membrane
LOC126462038	organic cation transporter protein-like	F GO:0022857 transmembrane transporter activity
LOC126462080	beta-1,4-galactosyltransferase 7-like isoform X1	F GO:0016757 glycosyltransferase activity
LOC126462080	beta-1,4-galactosyltransferase 7-like isoform X1	P GO:0005975 carbohydrate metabolic process
LOC126462064	organic cation transporter protein-like	C GO:0016020 membrane
LOC126462064	organic cation transporter protein-like	F GO:0022857 transmembrane transporter activity
LOC126462064	organic cation transporter protein-like	P GO:0055085 transmembrane transport
LOC126462116	kinase suppressor of Ras 2	F GO:0004672 protein kinase activity
LOC126462116	kinase suppressor of Ras 2	F GO:0005524 ATP binding
LOC126462116	kinase suppressor of Ras 2	P GO:0006468 protein phosphorylation
LOC126475532	uncharacterized protein LOC126475532	F GO:0005515 protein binding
LOC126477107	ionotropic receptor 75a-like	C GO:0016020 membrane
LOC126477107	ionotropic receptor 75a-like	F GO:0015276 ligand-gated monoatomic ion channel activity
LOC126456990	ankyrin repeat domain-containing protein 49-like	F GO:0005515 protein binding
LOC126480242	trithorax group protein osa-like, partial	C GO:0005634 nucleus
LOC126480242	trithorax group protein osa-like, partial	F GO:0008270 zinc ion binding
LOC126480242	trithorax group protein osa-like, partial	P GO:0006355 regulation of DNA-templated transcription
LOC126481986	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC126481986	trypsin-1-like	P GO:0006508 proteolysis
LOC126483196	trypsin alpha-like	F GO:0004252 serine-type endopeptidase activity
LOC126483196	trypsin alpha-like	P GO:0006508 proteolysis
LOC126484129	trypsin alpha-like	F GO:0004252 serine-type endopeptidase activity
LOC126484129	trypsin alpha-like	P GO:0006508 proteolysis
LOC126457004	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC126457004	trypsin-1-like	P GO:0006508 proteolysis
LOC126457026	coagulation factor IX-like	F GO:0004252 serine-type endopeptidase activity
LOC126457026	coagulation factor IX-like	P GO:0006508 proteolysis
LOC126485040	transmembrane protease serine 9-like	F GO:0004252 serine-type endopeptidase activity
LOC126485040	transmembrane protease serine 9-like	P GO:0006508 proteolysis
LOC126462265	cytoplasmic phosphatidylinositol transfer protein 1	F GO:0005548 phospholipid transporter activity
LOC126462265	cytoplasmic phosphatidylinositol transfer protein 1	P GO:0015914 phospholipid transport
LOC126410704	protein singed wings 2	F GO:0005515 protein binding
LOC126412899	ionotropic receptor 75a-like	C GO:0016020 membrane
LOC126412899	ionotropic receptor 75a-like	F GO:0015276 ligand-gated monoatomic ion channel activity
LOC126462281	Protein PDHA-1 a	F GO:0016624 oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
LOC126462401	uncharacterized protein LOC126462401	F GO:0016787 hydrolase activity
LOC126415795	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like	F GO:0005515 protein binding
LOC126416679	serine protease 53-like	F GO:0004252 serine-type endopeptidase activity
LOC126416679	serine protease 53-like	P GO:0006508 proteolysis
LOC126417889	neuropeptide SIFamide receptor-like	C GO:0016020 membrane
LOC126417889	neuropeptide SIFamide receptor-like	F GO:0004930 G protein-coupled receptor activity
LOC126417889	neuropeptide SIFamide receptor-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126418941	neuropeptide SIFamide receptor-like	C GO:0016020 membrane
LOC126418941	neuropeptide SIFamide receptor-like	F GO:0004930 G protein-coupled receptor activity
LOC126418941	neuropeptide SIFamide receptor-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126462459	calcium-activated potassium channel slowpoke	P GO:0006813 potassium ion transport
LOC126462459	calcium-activated potassium channel slowpoke	F GO:0005216 monoatomic ion channel activity
LOC126462459	calcium-activated potassium channel slowpoke	P GO:0055085 transmembrane transport
LOC126462459	calcium-activated potassium channel slowpoke	C GO:0016020 membrane
LOC126419836	glycoprotein 3-alpha-L-fucosyltransferase A-like	C GO:0016020 membrane
LOC126419836	glycoprotein 3-alpha-L-fucosyltransferase A-like	F GO:0008417 fucosyltransferase activity
LOC126419836	glycoprotein 3-alpha-L-fucosyltransferase A-like	P GO:0006486 protein glycosylation
LOC126462698	homeobox protein six1-like, partial	F GO:0003677 DNA binding
LOC126462698	homeobox protein six1-like, partial	P GO:0006355 regulation of DNA-templated transcription
LOC126421372	probable glutamate receptor	C GO:0016020 membrane
LOC126421372	probable glutamate receptor	F GO:0015276 ligand-gated monoatomic ion channel activity
LOC126426823	LOW QUALITY PROTEIN: coenzyme Q-binding protein COQ10 homolog A, mitochondrial-like	F GO:0048039 ubiquinone binding
LOC126426823	LOW QUALITY PROTEIN: coenzyme Q-binding protein COQ10 homolog A, mitochondrial-like	P GO:0045333 cellular respiration
LOC126427653	putative gustatory receptor 2a	C GO:0016020 membrane
LOC126427653	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC126462772	uncharacterized protein LOC126462772	F GO:0003676 nucleic acid binding
LOC126462772	uncharacterized protein LOC126462772	F GO:0004523 RNA-DNA hybrid ribonuclease activity
LOC126430521	putative gustatory receptor 2a	C GO:0016020 membrane
LOC126430521	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC126432177	gustatory receptor for sugar taste 43a-like	C GO:0016020 membrane
LOC126432177	gustatory receptor for sugar taste 43a-like	P GO:0050909 sensory perception of taste
LOC126433825	gustatory receptor 23a-like	C GO:0016020 membrane
LOC126433825	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC126457058	uncharacterized protein LOC126457058	F GO:0005515 protein binding
LOC126435470	gustatory receptor 23a-like	C GO:0016020 membrane
LOC126435470	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC126437112	gustatory receptor 23a-like	C GO:0016020 membrane
LOC126437112	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC126462885	protein-tyrosine sulfotransferase-like	C GO:0016020 membrane
LOC126462885	protein-tyrosine sulfotransferase-like	F GO:0008476 protein-tyrosine sulfotransferase activity
LOC126462869	probable G-protein coupled receptor Mth-like 1	F GO:0004930 G protein-coupled receptor activity
LOC126462869	probable G-protein coupled receptor Mth-like 1	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126462869	probable G-protein coupled receptor Mth-like 1	C GO:0016020 membrane
LOC126462869	probable G-protein coupled receptor Mth-like 1	P GO:0007166 cell surface receptor signaling pathway
LOC126440332	putative gustatory receptor 2a	C GO:0016020 membrane
LOC126440332	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC126462962	ADP-ribosylation factor-binding protein GGA1 isoform X4	F GO:0035091 phosphatidylinositol binding
LOC126462962	ADP-ribosylation factor-binding protein GGA1 isoform X4	F GO:0043130 ubiquitin binding
LOC126463008	sulfotransferase 1C4 isoform X2	F GO:0008146 sulfotransferase activity
LOC126463070	transmembrane protein 120 homolog	C GO:0016020 membrane
LOC126441927	uncharacterized protein LOC126441927	F GO:0003676 nucleic acid binding
LOC126463129	SPRY domain-containing SOCS box protein 3 isoform X1	F GO:0005515 protein binding
LOC126463160	pre-mRNA-processing factor 19-like	F GO:0004842 ubiquitin-protein transferase activity
LOC126463160	pre-mRNA-processing factor 19-like	P GO:0016567 protein ubiquitination
LOC126443409	uncharacterized protein LOC126443409	F GO:0003677 DNA binding
LOC126457081	chordin-like protein 1	F GO:0005515 protein binding
LOC126445064	sodium/potassium-transporting ATPase subunit alpha-2-like	F GO:0016887 ATP hydrolysis activity
LOC126445064	sodium/potassium-transporting ATPase subunit alpha-2-like	F GO:0005524 ATP binding
LOC126445064	sodium/potassium-transporting ATPase subunit alpha-2-like	C GO:0016020 membrane
LOC126445064	sodium/potassium-transporting ATPase subunit alpha-2-like	F GO:0005215 transporter activity
LOC126446720	glutaminase kidney isoform, mitochondrial-like	F GO:0004359 glutaminase activity
LOC126446720	glutaminase kidney isoform, mitochondrial-like	F GO:0005515 protein binding
LOC126446720	glutaminase kidney isoform, mitochondrial-like	P GO:0006541 glutamine metabolic process
LOC126463375	gamma-butyrobetaine dioxygenase-like	F GO:0016491 oxidoreductase activity
LOC126463329	gamma-butyrobetaine dioxygenase-like	F GO:0046872 metal ion binding
LOC126463329	gamma-butyrobetaine dioxygenase-like	F GO:0051213 dioxygenase activity
LOC126463418	gamma-butyrobetaine dioxygenase-like	F GO:0016491 oxidoreductase activity
LOC126463444	translocating chain-associated membrane protein 1	C GO:0016020 membrane
LOC126463444	translocating chain-associated membrane protein 1	P GO:0006616 SRP-dependent cotranslational protein targeting to membrane, translocation
LOC126457085	regucalcin-like	F GO:0005509 calcium ion binding
LOC126457085	regucalcin-like	F GO:0030234 enzyme regulator activity
LOC126463579	LOW QUALITY PROTEIN: baculoviral IAP repeat-containing protein 6	F GO:0004842 ubiquitin-protein transferase activity
LOC126463579	LOW QUALITY PROTEIN: baculoviral IAP repeat-containing protein 6	P GO:0006915 apoptotic process
LOC126463579	LOW QUALITY PROTEIN: baculoviral IAP repeat-containing protein 6	P GO:0032465 regulation of cytokinesis
LOC126463621	mediator of RNA polymerase II transcription subunit 6 isoform X2	C GO:0016592 mediator complex
LOC126463621	mediator of RNA polymerase II transcription subunit 6 isoform X2	F GO:0003712 transcription coregulator activity
LOC126463621	mediator of RNA polymerase II transcription subunit 6 isoform X2	P GO:0006357 regulation of transcription by RNA polymerase II
LOC126463683	1,5-anhydro-D-fructose reductase-like	F GO:0016491 oxidoreductase activity
LOC126463667	uncharacterized protein LOC126463667	C GO:0005634 nucleus
LOC126463667	uncharacterized protein LOC126463667	F GO:0008270 zinc ion binding
LOC126463667	uncharacterized protein LOC126463667	F GO:0070530 K63-linked polyubiquitin modification-dependent protein binding
LOC126463709	kinesin-like protein Klp98A	F GO:0005524 ATP binding
LOC126463709	kinesin-like protein Klp98A	F GO:0003777 microtubule motor activity
LOC126463709	kinesin-like protein Klp98A	F GO:0035091 phosphatidylinositol binding
LOC126463709	kinesin-like protein Klp98A	P GO:0007018 microtubule-based movement
LOC126463709	kinesin-like protein Klp98A	F GO:0008017 microtubule binding
LOC126463802	dual specificity protein phosphatase 23-like	P GO:0006470 protein dephosphorylation
LOC126463818	aldo-keto reductase family 1 member A1-like	F GO:0016491 oxidoreductase activity
LOC126463915	ADP-ribosylation factor-like protein 3	F GO:0003924 GTPase activity
LOC126463915	ADP-ribosylation factor-like protein 3	F GO:0005525 GTP binding
LOC126464102	rhotekin-like isoform X2	P GO:0007165 signal transduction
LOC126464143	serine protease snake-like	F GO:0004252 serine-type endopeptidase activity
LOC126464143	serine protease snake-like	P GO:0006508 proteolysis
LOC126464159	serine protease snake-like	F GO:0004252 serine-type endopeptidase activity
LOC126464159	serine protease snake-like	P GO:0006508 proteolysis
LOC126457127	serine protease snake-like	F GO:0004252 serine-type endopeptidase activity
LOC126457127	serine protease snake-like	P GO:0006508 proteolysis
LOC126464192	beta-sarcoglycan	C GO:0016012 sarcoglycan complex
LOC126464208	proteasome subunit alpha type-2	C GO:0019773 proteasome core complex, alpha-subunit complex
LOC126464208	proteasome subunit alpha type-2	P GO:0006511 ubiquitin-dependent protein catabolic process
LOC126464224	RNA-binding protein Musashi like Rbp6	F GO:0003723 RNA binding
LOC126464286	tRNA (uracil-5-)-methyltransferase homolog A-like	F GO:0003676 nucleic acid binding
LOC126464312	unnamed protein product	P GO:0006886 intracellular protein transport
LOC126464312	unnamed protein product	P GO:0090522 vesicle tethering involved in exocytosis
LOC126456322	uncharacterized protein LOC126456322	F GO:0016747 acyltransferase activity, transferring groups other than amino-acyl groups
LOC126464350	transcription elongation regulator 1	F GO:0005515 protein binding
LOC126464366	CCHC-type zinc finger nucleic acid binding protein-like	F GO:0003676 nucleic acid binding
LOC126464366	CCHC-type zinc finger nucleic acid binding protein-like	F GO:0008270 zinc ion binding
LOC126457134	odorant receptor Or2-like	C GO:0016020 membrane
LOC126457134	odorant receptor Or2-like	F GO:0004984 olfactory receptor activity
LOC126457134	odorant receptor Or2-like	F GO:0005549 odorant binding
LOC126457134	odorant receptor Or2-like	P GO:0007608 sensory perception of smell
LOC126456536	odorant receptor 43a-like	C GO:0016020 membrane
LOC126456536	odorant receptor 43a-like	F GO:0004984 olfactory receptor activity
LOC126456536	odorant receptor 43a-like	F GO:0005549 odorant binding
LOC126456536	odorant receptor 43a-like	P GO:0007608 sensory perception of smell
LOC126456747	transcription factor 15-like	F GO:0046983 protein dimerization activity
LOC126456822	odorant receptor coreceptor-like	C GO:0016020 membrane
LOC126456822	odorant receptor coreceptor-like	F GO:0004984 olfactory receptor activity
LOC126456822	odorant receptor coreceptor-like	F GO:0005549 odorant binding
LOC126456822	odorant receptor coreceptor-like	P GO:0007608 sensory perception of smell
LOC126456945	uncharacterized protein K02A2.6-like	F GO:0003676 nucleic acid binding
LOC126456945	uncharacterized protein K02A2.6-like	P GO:0015074 DNA integration
LOC126457024	mesoderm posterior protein 1-like, partial	F GO:0046983 protein dimerization activity
LOC126457237	dipeptidyl peptidase 1-like	F GO:0008234 cysteine-type peptidase activity
LOC126457237	dipeptidyl peptidase 1-like	P GO:0006508 proteolysis
LOC126457311	helix-loop-helix protein delilah-like	F GO:0046983 protein dimerization activity
LOC126457143	troponin C, isoallergen Bla g 6.0301	F GO:0005509 calcium ion binding
LOC126457152	prostaglandin reductase 1-like	C GO:0005737 cytoplasm
LOC126457152	prostaglandin reductase 1-like	F GO:0032440 2-alkenal reductase [NAD(P)+] activity
LOC126457152	prostaglandin reductase 1-like	F GO:0047522 15-oxoprostaglandin 13-oxidase [NAD(P)+] activity
LOC126464419	NCK-interacting protein with SH3 domain-like isoform X1	F GO:0005515 protein binding
LOC126464525	DNA polymerase beta-like	P GO:0006281 DNA repair
LOC126464525	DNA polymerase beta-like	F GO:0003677 DNA binding
LOC126464525	DNA polymerase beta-like	F GO:0003887 DNA-directed DNA polymerase activity
LOC126464541	extracellular matrix organizing protein FRAS1-like	C GO:0016020 membrane
LOC126464541	extracellular matrix organizing protein FRAS1-like	P GO:0007154 cell communication
LOC126464603	uncharacterized protein LOC126464603	F GO:0003676 nucleic acid binding
LOC126464634	arfGAP with SH3 domain, ANK repeat and PH domain-containing protein isoform X3	F GO:0005515 protein binding
LOC126464737	mediator of RNA polymerase II transcription subunit 9	C GO:0016592 mediator complex
LOC126464737	mediator of RNA polymerase II transcription subunit 9	F GO:0003712 transcription coregulator activity
LOC126464737	mediator of RNA polymerase II transcription subunit 9	P GO:0006357 regulation of transcription by RNA polymerase II
LOC126457158	charged multivesicular body protein 2b	P GO:0007034 vacuolar transport
LOC126464801	transcription elongation factor SPT4-A	C GO:0005634 nucleus
LOC126464801	transcription elongation factor SPT4-A	F GO:0008270 zinc ion binding
LOC126464801	transcription elongation factor SPT4-A	P GO:0006355 regulation of DNA-templated transcription
LOC126464801	transcription elongation factor SPT4-A	P GO:0140673 transcription elongation-coupled chromatin remodeling
LOC126458141	snake venom serine protease pallase-like	F GO:0004252 serine-type endopeptidase activity
LOC126458141	snake venom serine protease pallase-like	P GO:0006508 proteolysis
LOC126464911	lysosomal-associated transmembrane protein 4A	C GO:0016020 membrane
LOC126464895	putative ammonium transporter 1	C GO:0016020 membrane
LOC126464895	putative ammonium transporter 1	F GO:0008519 ammonium channel activity
LOC126464895	putative ammonium transporter 1	P GO:0072488 ammonium transmembrane transport
LOC126464854	uncharacterized protein K02A2.6-like	F GO:0003676 nucleic acid binding
LOC126464854	uncharacterized protein K02A2.6-like	P GO:0015074 DNA integration
LOC126457179	dynein axonemal light chain 4-like	C GO:0030286 dynein complex
LOC126457179	dynein axonemal light chain 4-like	P GO:0007017 microtubule-based process
LOC126464990	mitochondrial E3 ubiquitin protein ligase 1-like	F GO:0004842 ubiquitin-protein transferase activity
LOC126464990	mitochondrial E3 ubiquitin protein ligase 1-like	P GO:0006996 organelle organization
LOC126464990	mitochondrial E3 ubiquitin protein ligase 1-like	P GO:0016567 protein ubiquitination
LOC126465006	cytoplasmic tRNA 2-thiolation protein 1 isoform X1	P GO:0002098 tRNA wobble uridine modification
LOC126465006	cytoplasmic tRNA 2-thiolation protein 1 isoform X1	F GO:0000049 tRNA binding
LOC126465006	cytoplasmic tRNA 2-thiolation protein 1 isoform X1	P GO:0034227 tRNA thio-modification
LOC126465048	dynein axonemal light chain 4-like	C GO:0030286 dynein complex
LOC126465048	dynein axonemal light chain 4-like	P GO:0007017 microtubule-based process
LOC126458215	uncharacterized protein LOC126458215	F GO:0004930 G protein-coupled receptor activity
LOC126458215	uncharacterized protein LOC126458215	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126458215	uncharacterized protein LOC126458215	C GO:0016020 membrane
LOC126458215	uncharacterized protein LOC126458215	P GO:0007166 cell surface receptor signaling pathway
LOC126465089	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3	F GO:0005515 protein binding
LOC126465089	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3	P GO:0051260 protein homooligomerization
LOC126465105	probable protein phosphatase CG10417 isoform X2	F GO:0004722 protein serine/threonine phosphatase activity
LOC126458367	heparan sulfate glucosamine 3-O-sulfotransferase 1	F GO:0008146 sulfotransferase activity
LOC126465188	leucine-rich repeat-containing protein 15-like	F GO:0005515 protein binding
LOC126465225	hydroxyacid-oxoacid transhydrogenase, mitochondrial	F GO:0046872 metal ion binding
LOC126465225	hydroxyacid-oxoacid transhydrogenase, mitochondrial	F GO:0004022 alcohol dehydrogenase (NAD+) activity
LOC126465241	Cytochrome P450 6k1, partial	F GO:0004497 monooxygenase activity
LOC126465241	Cytochrome P450 6k1, partial	F GO:0005506 iron ion binding
