Sequence Name	Sequence Description	GO in Extended Format (GO Category GO ID GO Term)
LOC126327189	NAD(+) hydrolase sarm1 isoform X6	F GO:0005515 protein binding
LOC126328052	kanadaptin isoform X1	F GO:0005515 protein binding
LOC126361403	glypican-5-like	C GO:0005886 plasma membrane
LOC126361403	glypican-5-like	C GO:0062023 collagen-containing extracellular matrix
LOC126361403	glypican-5-like	P GO:0009966 regulation of signal transduction
LOC126270168	uncharacterized protein LOC126270168	F GO:0005515 protein binding
LOC126330208	cystathionine beta-synthase isoform X1	P GO:0006520 amino acid metabolic process
LOC126330208	cystathionine beta-synthase isoform X1	P GO:0006790 sulfur compound metabolic process
LOC126330208	cystathionine beta-synthase isoform X1	P GO:0009058 biosynthetic process
LOC126330470	Serine-arginine protein 55	F GO:0003723 RNA binding
LOC126331023	piwi-like protein Siwi	F GO:0003723 RNA binding
LOC126331023	piwi-like protein Siwi	F GO:0005515 protein binding
LOC126331476	microsomal glutathione S-transferase 1-like	C GO:0016020 membrane
LOC126331335	microsomal glutathione S-transferase 1-like	C GO:0016020 membrane
LOC126331633	39S ribosomal protein L19, mitochondrial	C GO:0005840 ribosome
LOC126331633	39S ribosomal protein L19, mitochondrial	F GO:0003735 structural constituent of ribosome
LOC126331633	39S ribosomal protein L19, mitochondrial	P GO:0006412 translation
LOC126331946	integral membrane protein GPR180	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126331946	integral membrane protein GPR180	P GO:0019236 response to pheromone
LOC126332104	cytochrome c oxidase assembly protein COX15 homolog	C GO:0016020 membrane
LOC126332104	cytochrome c oxidase assembly protein COX15 homolog	F GO:0016653 oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor
LOC126332104	cytochrome c oxidase assembly protein COX15 homolog	P GO:0006784 heme A biosynthetic process
LOC126333298	uncharacterized protein LOC126333298	F GO:0004601 peroxidase activity
LOC126333298	uncharacterized protein LOC126333298	F GO:0020037 heme binding
LOC126333298	uncharacterized protein LOC126333298	P GO:0006979 response to oxidative stress
LOC126333611	sulfite oxidase, mitochondrial-like	F GO:0016491 oxidoreductase activity
LOC126333456	sulfite oxidase-like	F GO:0016491 oxidoreductase activity
LOC126333456	sulfite oxidase-like	F GO:0030151 molybdenum ion binding
LOC126284920	XP_047120633.1 calsenilin	F GO:0005509 calcium ion binding
LOC126276000	uncharacterized protein LOC126276000	F GO:0016616 oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
LOC126334020	DDB1- and CUL4-associated factor 7	F GO:0005515 protein binding
LOC126277569	putative gustatory receptor 2a	C GO:0016020 membrane
LOC126277569	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC126334429	hydroxyacid-oxoacid transhydrogenase, mitochondrial	F GO:0046872 metal ion binding
LOC126334429	hydroxyacid-oxoacid transhydrogenase, mitochondrial	F GO:0004022 alcohol dehydrogenase (NAD+) activity
LOC126334511	leucine-rich repeat-containing protein 15	F GO:0005515 protein binding
LOC126334532	heparan sulfate glucosamine 3-O-sulfotransferase 1	F GO:0008146 sulfotransferase activity
LOC126334539	probable protein phosphatase CG10417 isoform X1	F GO:0004722 protein serine/threonine phosphatase activity
LOC126334539	probable protein phosphatase CG10417 isoform X1	F GO:0046872 metal ion binding
LOC126334578	intraflagellar transport protein 20 homolog isoform X4	C GO:0005929 cilium
LOC126334570	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3	F GO:0005515 protein binding
LOC126334570	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3	P GO:0051260 protein homooligomerization
LOC126334620	uncharacterized protein LOC126334620	F GO:0004930 G protein-coupled receptor activity
LOC126334620	uncharacterized protein LOC126334620	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126334620	uncharacterized protein LOC126334620	C GO:0016020 membrane
LOC126334620	uncharacterized protein LOC126334620	P GO:0007166 cell surface receptor signaling pathway
LOC126334628	uncharacterized protein LOC126334628	C GO:0005634 nucleus
LOC126334628	uncharacterized protein LOC126334628	F GO:0003684 damaged DNA binding
LOC126334628	uncharacterized protein LOC126334628	P GO:0000012 single strand break repair
LOC126334644	cytoplasmic tRNA 2-thiolation protein 1	P GO:0002098 tRNA wobble uridine modification
LOC126334644	cytoplasmic tRNA 2-thiolation protein 1	F GO:0000049 tRNA binding
LOC126334644	cytoplasmic tRNA 2-thiolation protein 1	P GO:0034227 tRNA thio-modification
LOC126334636	mitochondrial E3 ubiquitin protein ligase 1-like	F GO:0004842 ubiquitin-protein transferase activity
LOC126334636	mitochondrial E3 ubiquitin protein ligase 1-like	P GO:0006996 organelle organization
LOC126334636	mitochondrial E3 ubiquitin protein ligase 1-like	P GO:0016567 protein ubiquitination
LOC126334670	dynein axonemal light chain 4-like	C GO:0030286 dynein complex
LOC126334670	dynein axonemal light chain 4-like	P GO:0007017 microtubule-based process
LOC126334687	putative ammonium transporter 1	C GO:0016020 membrane
LOC126334687	putative ammonium transporter 1	F GO:0008519 ammonium channel activity
LOC126334687	putative ammonium transporter 1	P GO:0072488 ammonium transmembrane transport
LOC126334692	lysosomal-associated transmembrane protein 4A	C GO:0016020 membrane
LOC126281580	prostate-specific antigen-like	F GO:0004252 serine-type endopeptidase activity
LOC126281580	prostate-specific antigen-like	P GO:0006508 proteolysis
LOC126334738	Transcription elongation factor SPT4	C GO:0005634 nucleus
LOC126334738	Transcription elongation factor SPT4	F GO:0008270 zinc ion binding
LOC126334738	Transcription elongation factor SPT4	P GO:0006355 regulation of DNA-templated transcription
LOC126334738	Transcription elongation factor SPT4	P GO:0140673 transcription elongation-coupled chromatin remodeling
LOC126334732	charged multivesicular body protein 2b	P GO:0007034 vacuolar transport
LOC126302972	52 kDa repressor of the inhibitor of the protein kinase-like	F GO:0046983 protein dimerization activity
LOC126325927	52 kDa repressor of the inhibitor of the protein kinase-like	F GO:0046983 protein dimerization activity
LOC126334766	GTP-binding protein 1	F GO:0003924 GTPase activity
LOC126334766	GTP-binding protein 1	F GO:0005525 GTP binding
LOC126334773	arfGAP with SH3 domain, ANK repeat and PH domain-containing protein isoform X3	F GO:0005515 protein binding
LOC126333297	extracellular matrix organizing protein FRAS1-like	C GO:0016020 membrane
LOC126333297	extracellular matrix organizing protein FRAS1-like	P GO:0007154 cell communication
LOC126334833	DNA polymerase beta-like	P GO:0006281 DNA repair
LOC126334833	DNA polymerase beta-like	F GO:0003677 DNA binding
LOC126334833	DNA polymerase beta-like	F GO:0003887 DNA-directed DNA polymerase activity
LOC126334819	NCK-interacting protein with SH3 domain isoform X2	F GO:0005515 protein binding
LOC126334861	prostaglandin reductase 1-like	C GO:0005737 cytoplasm
LOC126334861	prostaglandin reductase 1-like	F GO:0032440 2-alkenal reductase [NAD(P)+] activity
LOC126334861	prostaglandin reductase 1-like	F GO:0047522 15-oxoprostaglandin 13-oxidase [NAD(P)+] activity
LOC126334868	troponin C, isoallergen Bla g 6.0301	F GO:0005509 calcium ion binding
LOC126334872	oligodendrocyte transcription factor 1-like	F GO:0046983 protein dimerization activity
LOC126284976	dipeptidyl peptidase 1-like	F GO:0008234 cysteine-type peptidase activity
LOC126284976	dipeptidyl peptidase 1-like	P GO:0006508 proteolysis
LOC126284981	class A basic helix-loop-helix protein 9-like	F GO:0046983 protein dimerization activity
LOC126334784	odorant receptor coreceptor-like	C GO:0016020 membrane
LOC126334784	odorant receptor coreceptor-like	F GO:0004984 olfactory receptor activity
LOC126334784	odorant receptor coreceptor-like	F GO:0005549 odorant binding
LOC126334784	odorant receptor coreceptor-like	P GO:0007608 sensory perception of smell
LOC126284990	helix-loop-helix protein delilah-like	F GO:0046983 protein dimerization activity
LOC126334848	uncharacterized protein LOC126334848	C GO:0016020 membrane
LOC126334848	uncharacterized protein LOC126334848	F GO:0004984 olfactory receptor activity
LOC126334848	uncharacterized protein LOC126334848	F GO:0005549 odorant binding
LOC126334848	uncharacterized protein LOC126334848	P GO:0007608 sensory perception of smell
LOC126334883	odorant receptor Or2-like	C GO:0016020 membrane
LOC126334883	odorant receptor Or2-like	F GO:0004984 olfactory receptor activity
LOC126334883	odorant receptor Or2-like	F GO:0005549 odorant binding
LOC126334883	odorant receptor Or2-like	P GO:0007608 sensory perception of smell
LOC126334908	CCHC-type zinc finger nucleic acid binding protein-like	F GO:0003676 nucleic acid binding
LOC126334908	CCHC-type zinc finger nucleic acid binding protein-like	F GO:0008270 zinc ion binding
LOC126334901	transcription elongation regulator 1	F GO:0005515 protein binding
LOC126334915	uncharacterized protein LOC126334915	F GO:0016747 acyltransferase activity, transferring groups other than amino-acyl groups
LOC126334979	cilia- and flagella-associated protein 57-like	F GO:0005515 protein binding
LOC126334937	tRNA (uracil-5-)-methyltransferase homolog A-like	F GO:0003676 nucleic acid binding
LOC126334937	tRNA (uracil-5-)-methyltransferase homolog A-like	F GO:0008173 RNA methyltransferase activity
LOC126334937	tRNA (uracil-5-)-methyltransferase homolog A-like	P GO:0006396 RNA processing
LOC126335101	uncharacterized protein LOC126335101	F GO:0005515 protein binding
LOC126334946	RNA-binding protein Musashi like Rbp6	F GO:0003723 RNA binding
LOC126334986	proteasome subunit alpha type-2	C GO:0019773 proteasome core complex, alpha-subunit complex
LOC126334986	proteasome subunit alpha type-2	P GO:0006511 ubiquitin-dependent protein catabolic process
LOC126334981	XP_047112027.1 beta-sarcoglycan	C GO:0016012 sarcoglycan complex
LOC126335020	serine protease snake-like	F GO:0004252 serine-type endopeptidase activity
LOC126335020	serine protease snake-like	P GO:0006508 proteolysis
LOC126335013	serine protease snake-like	F GO:0004252 serine-type endopeptidase activity
LOC126335013	serine protease snake-like	P GO:0006508 proteolysis
LOC126335027	rhotekin-like isoform X1	P GO:0007165 signal transduction
LOC126335201	ADP-ribosylation factor-like protein 3	F GO:0003924 GTPase activity
LOC126335201	ADP-ribosylation factor-like protein 3	F GO:0005525 GTP binding
LOC126335360	uncharacterized protein LOC126335360	C GO:0016020 membrane
LOC126335360	uncharacterized protein LOC126335360	F GO:0004930 G protein-coupled receptor activity
LOC126335360	uncharacterized protein LOC126335360	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126335271	1,5-anhydro-D-fructose reductase-like	F GO:0016491 oxidoreductase activity
LOC126335363	dual specificity protein phosphatase 23-like	P GO:0006470 protein dephosphorylation
LOC126335375	kinesin-like protein Klp98A	F GO:0005488 binding
LOC126335385	uncharacterized protein LOC126335385	C GO:0005634 nucleus
LOC126335385	uncharacterized protein LOC126335385	F GO:0008270 zinc ion binding
LOC126335385	uncharacterized protein LOC126335385	F GO:0070530 K63-linked polyubiquitin modification-dependent protein binding
LOC126335394	1,5-anhydro-D-fructose reductase-like	F GO:0016491 oxidoreductase activity
LOC126335399	mediator of RNA polymerase II transcription subunit 6	C GO:0016592 mediator complex
LOC126335399	mediator of RNA polymerase II transcription subunit 6	F GO:0003712 transcription coregulator activity
LOC126335399	mediator of RNA polymerase II transcription subunit 6	P GO:0006357 regulation of transcription by RNA polymerase II
LOC126335414	pre-mRNA-processing factor 39	C GO:0005634 nucleus
LOC126335414	pre-mRNA-processing factor 39	F GO:0005515 protein binding
LOC126335414	pre-mRNA-processing factor 39	P GO:0006396 RNA processing
LOC126335645	translocating chain-associated membrane protein 1	C GO:0016020 membrane
LOC126335645	translocating chain-associated membrane protein 1	P GO:0006616 SRP-dependent cotranslational protein targeting to membrane, translocation
LOC126335656	gamma-butyrobetaine dioxygenase-like	F GO:0016491 oxidoreductase activity
LOC126335709	gamma-butyrobetaine dioxygenase-like	F GO:0016491 oxidoreductase activity
LOC126335878	glutaminase kidney isoform, mitochondrial-like	F GO:0004359 glutaminase activity
LOC126335878	glutaminase kidney isoform, mitochondrial-like	F GO:0005515 protein binding
LOC126335878	glutaminase kidney isoform, mitochondrial-like	P GO:0006541 glutamine metabolic process
LOC126335542	sodium/potassium-transporting ATPase subunit alpha-2-like	F GO:0016887 ATP hydrolysis activity
LOC126335542	sodium/potassium-transporting ATPase subunit alpha-2-like	F GO:0005524 ATP binding
LOC126335542	sodium/potassium-transporting ATPase subunit alpha-2-like	C GO:0016020 membrane
LOC126335542	sodium/potassium-transporting ATPase subunit alpha-2-like	F GO:0005215 transporter activity
LOC126284998	chordin-like protein 1	F GO:0005515 protein binding
LOC126335931	pre-mRNA-processing factor 19-like	F GO:0004842 ubiquitin-protein transferase activity
LOC126335931	pre-mRNA-processing factor 19-like	P GO:0016567 protein ubiquitination
LOC126336039	transmembrane protein 120 homolog	C GO:0016020 membrane
LOC126336048	GTPase Era, mitochondrial	F GO:0003723 RNA binding
LOC126336048	GTPase Era, mitochondrial	F GO:0005525 GTP binding
LOC126336059	sulfotransferase 1C4	F GO:0008146 sulfotransferase activity
LOC126336072	ADP-ribosylation factor-binding protein GGA2 isoform X2	F GO:0035091 phosphatidylinositol binding
LOC126336072	ADP-ribosylation factor-binding protein GGA2 isoform X2	F GO:0043130 ubiquitin binding
LOC126335607	putative gustatory receptor 2a	C GO:0016020 membrane
LOC126335607	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC126336103	probable G-protein coupled receptor Mth-like 1	F GO:0004930 G protein-coupled receptor activity
LOC126336103	probable G-protein coupled receptor Mth-like 1	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126336103	probable G-protein coupled receptor Mth-like 1	C GO:0016020 membrane
LOC126336103	probable G-protein coupled receptor Mth-like 1	P GO:0007166 cell surface receptor signaling pathway
LOC126336125	protein-tyrosine sulfotransferase-like	C GO:0016020 membrane
LOC126336125	protein-tyrosine sulfotransferase-like	F GO:0008476 protein-tyrosine sulfotransferase activity
LOC126335704	gustatory receptor 23a-like	C GO:0016020 membrane
LOC126335704	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC126285019	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C-like	F GO:0005515 protein binding
LOC126335897	gustatory receptor 23a-like	C GO:0016020 membrane
LOC126335897	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC126335988	gustatory receptor 23a-like	C GO:0016020 membrane
LOC126335988	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC126336086	putative gustatory receptor 2a	C GO:0016020 membrane
LOC126336086	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC126336338	probable glutamate receptor	C GO:0016020 membrane
LOC126336338	probable glutamate receptor	F GO:0015276 ligand-gated monoatomic ion channel activity
LOC126336248	homeobox protein six1-like	F GO:0003677 DNA binding
LOC126336248	homeobox protein six1-like	P GO:0006355 regulation of DNA-templated transcription
LOC126336388	glycoprotein 3-alpha-L-fucosyltransferase A-like	C GO:0016020 membrane
LOC126336388	glycoprotein 3-alpha-L-fucosyltransferase A-like	F GO:0008417 fucosyltransferase activity
LOC126336388	glycoprotein 3-alpha-L-fucosyltransferase A-like	P GO:0006486 protein glycosylation
LOC126336369	Calcium-activated potassium channel slowpoke-like Protein	C GO:0016020 membrane
LOC126336369	Calcium-activated potassium channel slowpoke-like Protein	P GO:0006813 potassium ion transport
LOC126336454	neuropeptide SIFamide receptor-like	C GO:0016020 membrane
LOC126336454	neuropeptide SIFamide receptor-like	F GO:0004930 G protein-coupled receptor activity
LOC126336454	neuropeptide SIFamide receptor-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC126336571	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like	F GO:0005515 protein binding
LOC126336462	unnamed protein product	C GO:0031410 cytoplasmic vesicle
LOC126336481	putative pyruvate dehydrogenase E1 component subunit alpha, mitochondrial	F GO:0016624 oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
LOC126336828	ionotropic receptor 75a-like	C GO:0016020 membrane
LOC126336828	ionotropic receptor 75a-like	F GO:0015276 ligand-gated monoatomic ion channel activity
LOC126336470	protein singed wings 2	F GO:0005515 protein binding
LOC126336497	cytoplasmic phosphatidylinositol transfer protein 1	F GO:0005548 phospholipid transporter activity
LOC126336497	cytoplasmic phosphatidylinositol transfer protein 1	P GO:0015914 phospholipid transport
LOC126285058	coagulation factor IX-like	F GO:0004252 serine-type endopeptidase activity
LOC126285058	coagulation factor IX-like	P GO:0006508 proteolysis
LOC126285061	coagulation factor IX-like	F GO:0004252 serine-type endopeptidase activity
LOC126285061	coagulation factor IX-like	P GO:0006508 proteolysis
LOC126285078	trypsin-like isoform X1	F GO:0004252 serine-type endopeptidase activity
LOC126285078	trypsin-like isoform X1	P GO:0006508 proteolysis
LOC126336505	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC126336505	trypsin-1-like	P GO:0006508 proteolysis
LOC126336510	trypsin alpha-like	F GO:0004252 serine-type endopeptidase activity
LOC126336510	trypsin alpha-like	P GO:0006508 proteolysis
LOC126336523	trypsin alpha-like	F GO:0004252 serine-type endopeptidase activity
LOC126336523	trypsin alpha-like	P GO:0006508 proteolysis
LOC126336518	trypsin alpha-like	F GO:0004252 serine-type endopeptidase activity
LOC126336518	trypsin alpha-like	P GO:0006508 proteolysis
LOC126285092	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC126285092	trypsin-1-like	P GO:0006508 proteolysis
LOC126285101	uncharacterized protein LOC126285101	F GO:0005515 protein binding
LOC126337014	trithorax group protein osa-like	C GO:0005634 nucleus
LOC126337014	trithorax group protein osa-like	F GO:0008270 zinc ion binding
LOC126337014	trithorax group protein osa-like	P GO:0006355 regulation of DNA-templated transcription
LOC126337202	ankyrin repeat domain-containing protein 49-like	F GO:0005515 protein binding
LOC126337358	uncharacterized protein LOC126337358	C GO:0016020 membrane
LOC126337358	uncharacterized protein LOC126337358	F GO:0015276 ligand-gated monoatomic ion channel activity
LOC126336572	kinase suppressor of Ras 2	F GO:0004672 protein kinase activity
LOC126336572	kinase suppressor of Ras 2	F GO:0005524 ATP binding
LOC126336572	kinase suppressor of Ras 2	P GO:0006468 protein phosphorylation
LOC126336658	beta-1,4-galactosyltransferase 7-like	F GO:0016757 glycosyltransferase activity
LOC126336658	beta-1,4-galactosyltransferase 7-like	P GO:0005975 carbohydrate metabolic process
LOC126336610	organic cation transporter protein-like	C GO:0016020 membrane
LOC126336610	organic cation transporter protein-like	F GO:0022857 transmembrane transporter activity
LOC126336610	organic cation transporter protein-like	P GO:0055085 transmembrane transport
LOC126336586	organic cation transporter protein-like isoform X2	C GO:0016020 membrane
LOC126336586	organic cation transporter protein-like isoform X2	F GO:0022857 transmembrane transporter activity
LOC126336586	organic cation transporter protein-like isoform X2	P GO:0055085 transmembrane transport
LOC126336676	intersectin-1 isoform X1	F GO:0005085 guanyl-nucleotide exchange factor activity
LOC126336676	intersectin-1 isoform X1	F GO:0005509 calcium ion binding
LOC126336676	intersectin-1 isoform X1	F GO:0005515 protein binding
LOC126336686	protein RFT1 homolog	C GO:0016020 membrane
LOC126336686	protein RFT1 homolog	P GO:0006488 dolichol-linked oligosaccharide biosynthetic process
LOC126336694	huntingtin-interacting protein 1	F GO:0005543 phospholipid binding
LOC126336694	huntingtin-interacting protein 1	F GO:0030276 clathrin binding
LOC126336694	huntingtin-interacting protein 1	P GO:0006897 endocytosis
LOC126337927	Y+L amino acid transporter 2	C GO:0016020 membrane
LOC126337927	Y+L amino acid transporter 2	F GO:0022857 transmembrane transporter activity
LOC126337927	Y+L amino acid transporter 2	P GO:0055085 transmembrane transport
LOC126336773	uncharacterized protein LOC124796185	F GO:0004623 phospholipase A2 activity
LOC126336773	uncharacterized protein LOC124796185	P GO:0006644 phospholipid metabolic process
LOC126336773	uncharacterized protein LOC124796185	P GO:0050482 arachidonate secretion
LOC126336788	putative phospholipase B-like lamina ancestor isoform X1	F GO:0004620 phospholipase activity
LOC126336798	putative phospholipase B-like 2	F GO:0004620 phospholipase activity
LOC126336822	39S ribosomal protein L50, mitochondrial	C GO:0005739 mitochondrion
LOC126336831	uncharacterized protein LOC126336831 isoform X1	F GO:0005515 protein binding
LOC126336904	DNA polymerase	F GO:0097159 organic cyclic compound binding
LOC126336904	DNA polymerase	P GO:0006259 DNA metabolic process
LOC126336920	PRKR-interacting protein 1 homolog	F GO:0003725 double-stranded RNA binding
LOC126336941	G protein-coupled receptor kinase 1	F GO:0005524 ATP binding
LOC126336941	G protein-coupled receptor kinase 1	F GO:0004703 G protein-coupled receptor kinase activity
LOC126336941	G protein-coupled receptor kinase 1	P GO:0007165 signal transduction
LOC126336941	G protein-coupled receptor kinase 1	P GO:0006468 protein phosphorylation
LOC126336947	lysosomal alpha-mannosidase-like	F GO:0004559 alpha-mannosidase activity
LOC126336947	lysosomal alpha-mannosidase-like	P GO:0006013 mannose metabolic process
LOC126336947	lysosomal alpha-mannosidase-like	F GO:0030246 carbohydrate binding
LOC126336957	lysosomal alpha-mannosidase-like	F GO:0004559 alpha-mannosidase activity
LOC126336957	lysosomal alpha-mannosidase-like	P GO:0006013 mannose metabolic process
LOC126336957	lysosomal alpha-mannosidase-like	F GO:0030246 carbohydrate binding
LOC126338393	uncharacterized protein LOC126338393	F GO:0003676 nucleic acid binding
LOC126336948	lysosomal alpha-mannosidase-like	F GO:0004559 alpha-mannosidase activity
LOC126336948	lysosomal alpha-mannosidase-like	P GO:0006013 mannose metabolic process
LOC126336948	lysosomal alpha-mannosidase-like	F GO:0030246 carbohydrate binding
LOC126336962	unnamed protein product	F GO:0003824 catalytic activity
LOC126336962	unnamed protein product	F GO:0030246 carbohydrate binding
LOC126336962	unnamed protein product	P GO:0005975 carbohydrate metabolic process
LOC126338548	gustatory receptor 68a-like	C GO:0016020 membrane
LOC126338548	gustatory receptor 68a-like	P GO:0050909 sensory perception of taste
LOC126338706	putative gustatory receptor 2a	C GO:0016020 membrane
LOC126338706	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC126336997	inversin-like	F GO:0005515 protein binding
LOC126337005	calcineurin-binding protein cabin-1-like	F GO:0005515 protein binding
LOC126337011	active breakpoint cluster region-related protein	F GO:0005085 guanyl-nucleotide exchange factor activity
LOC126337011	active breakpoint cluster region-related protein	P GO:0007165 signal transduction
LOC126337074	protein obstructor-E-like	C GO:0005576 extracellular region
LOC126337074	protein obstructor-E-like	F GO:0008061 chitin binding
LOC126337131	synaptosomal-associated protein 25 isoform X1	C GO:0043005 neuron projection
LOC126337131	synaptosomal-associated protein 25 isoform X1	C GO:0045202 synapse
LOC126339334	uncharacterized protein LOC126339334	C GO:0005634 nucleus
LOC126339334	uncharacterized protein LOC126339334	F GO:0008270 zinc ion binding
LOC126337254	60S ribosomal protein L32	C GO:0005840 ribosome
LOC126337254	60S ribosomal protein L32	F GO:0003735 structural constituent of ribosome
LOC126337254	60S ribosomal protein L32	P GO:0006412 translation
LOC126337296	transcription factor IIIB 90 kDa subunit	F GO:0017025 TBP-class protein binding
LOC126337296	transcription factor IIIB 90 kDa subunit	P GO:0070897 transcription preinitiation complex assembly
LOC126337342	BTB/POZ domain-containing protein 6-B isoform X2	F GO:0005515 protein binding
LOC126337548	peptidyl-prolyl cis-trans isomerase FKBP35-like	F GO:0005515 protein binding
LOC126337675	sterile alpha motif domain-containing protein 15-like	F GO:0005515 protein binding
LOC126337512	uncharacterized protein LOC126337512 isoform X3	C GO:0005634 nucleus
LOC126337512	uncharacterized protein LOC126337512 isoform X3	F GO:0003677 DNA binding
LOC126337512	uncharacterized protein LOC126337512 isoform X3	P GO:0006302 double-strand break repair
LOC126337512	uncharacterized protein LOC126337512 isoform X3	P GO:0006310 DNA recombination
LOC126337435	tubulin polyglutamylase TTLL5	P GO:0036211 protein modification process
LOC126337753	NPC intracellular cholesterol transporter 2 homolog a	P GO:0032367 intracellular cholesterol transport
LOC126337770	kinesin-like protein KIF23	F GO:0003777 microtubule motor activity
LOC126337770	kinesin-like protein KIF23	F GO:0005524 ATP binding
LOC126337770	kinesin-like protein KIF23	F GO:0008017 microtubule binding
LOC126337770	kinesin-like protein KIF23	P GO:0007018 microtubule-based movement
LOC126339797	CCAAT/enhancer-binding protein alpha	F GO:0003700 DNA-binding transcription factor activity
LOC126339797	CCAAT/enhancer-binding protein alpha	P GO:0006355 regulation of DNA-templated transcription
LOC126337850	spermine oxidase-like	F GO:0016491 oxidoreductase activity
