Sequence Name	Sequence Description	GO in Extended Format (GO Category GO ID GO Term)
LOC124780652	cytochrome c oxidase assembly protein COX15 homolog	C GO:0016020 membrane
LOC124780652	cytochrome c oxidase assembly protein COX15 homolog	F GO:0016653 oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor
LOC124780652	cytochrome c oxidase assembly protein COX15 homolog	P GO:0006784 heme A biosynthetic process
LOC124775853	uncharacterized protein LOC124775853	F GO:0004601 peroxidase activity
LOC124775853	uncharacterized protein LOC124775853	F GO:0020037 heme binding
LOC124775853	uncharacterized protein LOC124775853	P GO:0006979 response to oxidative stress
LOC124793552	sulfite oxidase, mitochondrial-like isoform X1	F GO:0005488 binding
LOC124793552	sulfite oxidase, mitochondrial-like isoform X1	F GO:0016491 oxidoreductase activity
LOC124786181	sulfite oxidase-like	F GO:0016491 oxidoreductase activity
LOC124786181	sulfite oxidase-like	F GO:0030151 molybdenum ion binding
LOC124803496	calsenilin	F GO:0005509 calcium ion binding
LOC124776216	malate dehydrogenase-like	F GO:0016616 oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
LOC124783237	DDB1- and CUL4-associated factor 7-like	F GO:0005515 protein binding
LOC124776289	gustatory receptor 23a-like	C GO:0016020 membrane
LOC124776289	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC124786328	hypothetical protein L9F63_005896, partial	F GO:0004497 monooxygenase activity
LOC124786328	hypothetical protein L9F63_005896, partial	F GO:0005506 iron ion binding
LOC124786328	hypothetical protein L9F63_005896, partial	F GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
LOC124786328	hypothetical protein L9F63_005896, partial	F GO:0020037 heme binding
LOC124789589	hydroxyacid-oxoacid transhydrogenase, mitochondrial	F GO:0046872 metal ion binding
LOC124789589	hydroxyacid-oxoacid transhydrogenase, mitochondrial	F GO:0004022 alcohol dehydrogenase (NAD+) activity
LOC124782999	leucine-rich repeat-containing protein 15	F GO:0005515 protein binding
LOC124794713	nucleoside diphosphate kinase 7 isoform X2	F GO:0004550 nucleoside diphosphate kinase activity
LOC124794713	nucleoside diphosphate kinase 7 isoform X2	P GO:0006183 GTP biosynthetic process
LOC124794713	nucleoside diphosphate kinase 7 isoform X2	P GO:0006228 UTP biosynthetic process
LOC124794713	nucleoside diphosphate kinase 7 isoform X2	P GO:0006241 CTP biosynthetic process
LOC124799281	heparan sulfate glucosamine 3-O-sulfotransferase 5-like	F GO:0008146 sulfotransferase activity
LOC124798521	probable protein phosphatase CG10417 isoform X2	F GO:0004722 protein serine/threonine phosphatase activity
LOC124798561	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3	F GO:0005515 protein binding
LOC124798561	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3	P GO:0051260 protein homooligomerization
LOC124776929	uncharacterized protein LOC124776929	F GO:0004930 G protein-coupled receptor activity
LOC124776929	uncharacterized protein LOC124776929	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124776929	uncharacterized protein LOC124776929	C GO:0016020 membrane
LOC124776929	uncharacterized protein LOC124776929	P GO:0007166 cell surface receptor signaling pathway
LOC124784739	cold shock domain-containing protein CG9705	F GO:0003676 nucleic acid binding
LOC124790801	uncharacterized protein LOC124790801	C GO:0005634 nucleus
LOC124790801	uncharacterized protein LOC124790801	F GO:0003684 damaged DNA binding
LOC124790801	uncharacterized protein LOC124790801	P GO:0000012 single strand break repair
LOC124798328	dynein axonemal light chain 4-like	C GO:0030286 dynein complex
LOC124798328	dynein axonemal light chain 4-like	P GO:0007017 microtubule-based process
LOC124787015	cytoplasmic tRNA 2-thiolation protein 1 isoform X1	P GO:0002098 tRNA wobble uridine modification
LOC124787015	cytoplasmic tRNA 2-thiolation protein 1 isoform X1	F GO:0000049 tRNA binding
LOC124787015	cytoplasmic tRNA 2-thiolation protein 1 isoform X1	P GO:0034227 tRNA thio-modification
LOC124804816	mitochondrial E3 ubiquitin protein ligase 1-like	F GO:0004842 ubiquitin-protein transferase activity
LOC124804816	mitochondrial E3 ubiquitin protein ligase 1-like	P GO:0006996 organelle organization
LOC124804816	mitochondrial E3 ubiquitin protein ligase 1-like	P GO:0016567 protein ubiquitination
LOC124786528	dynein axonemal light chain 4-like	C GO:0030286 dynein complex
LOC124786528	dynein axonemal light chain 4-like	P GO:0007017 microtubule-based process
LOC124789670	putative ammonium transporter 1	C GO:0016020 membrane
LOC124789670	putative ammonium transporter 1	F GO:0008519 ammonium channel activity
LOC124789670	putative ammonium transporter 1	P GO:0072488 ammonium transmembrane transport
LOC124784755	lysosomal-associated transmembrane protein 4A	C GO:0016020 membrane
LOC124777277	prostate-specific antigen-like	F GO:0004252 serine-type endopeptidase activity
LOC124777277	prostate-specific antigen-like	P GO:0006508 proteolysis
LOC124777487	uncharacterized protein LOC124777487	C GO:0005576 extracellular region
LOC124777487	uncharacterized protein LOC124777487	F GO:0008061 chitin binding
LOC124786696	titin-like	F GO:0005515 protein binding
LOC124710126	transcription elongation factor SPT4-A	C GO:0005634 nucleus
LOC124710126	transcription elongation factor SPT4-A	F GO:0008270 zinc ion binding
LOC124710126	transcription elongation factor SPT4-A	P GO:0006355 regulation of DNA-templated transcription
LOC124710126	transcription elongation factor SPT4-A	P GO:0140673 transcription elongation-coupled chromatin remodeling
LOC124795859	charged multivesicular body protein 2b	P GO:0007034 vacuolar transport
LOC124778688	52 kDa repressor of the inhibitor of the protein kinase-like	F GO:0046983 protein dimerization activity
LOC124787928	mediator of RNA polymerase II transcription subunit 9 isoform X1	C GO:0016592 mediator complex
LOC124787928	mediator of RNA polymerase II transcription subunit 9 isoform X1	F GO:0003712 transcription coregulator activity
LOC124787928	mediator of RNA polymerase II transcription subunit 9 isoform X1	P GO:0006357 regulation of transcription by RNA polymerase II
LOC124790019	arfGAP with SH3 domain, ANK repeat and PH domain-containing protein isoform X3	F GO:0005515 protein binding
LOC124780870	uncharacterized protein LOC124603037	F GO:0003676 nucleic acid binding
LOC124780870	uncharacterized protein LOC124603037	P GO:0015074 DNA integration
LOC124790149	extracellular matrix organizing protein FRAS1-like	C GO:0016020 membrane
LOC124790149	extracellular matrix organizing protein FRAS1-like	P GO:0007154 cell communication
LOC124782192	DNA polymerase beta-like	P GO:0006281 DNA repair
LOC124782192	DNA polymerase beta-like	F GO:0003677 DNA binding
LOC124782192	DNA polymerase beta-like	F GO:0003887 DNA-directed DNA polymerase activity
LOC124782884	NCK-interacting protein with SH3 domain-like isoform X1	F GO:0005515 protein binding
LOC124791825	prostaglandin reductase 1-like	C GO:0005737 cytoplasm
LOC124791825	prostaglandin reductase 1-like	F GO:0032440 2-alkenal reductase [NAD(P)+] activity
LOC124791825	prostaglandin reductase 1-like	F GO:0047522 15-oxoprostaglandin 13-oxidase [NAD(P)+] activity
LOC124794947	troponin C, isoallergen Bla g 6.0301	F GO:0005509 calcium ion binding
LOC124781547	dipeptidyl peptidase 1-like	F GO:0008234 cysteine-type peptidase activity
LOC124781547	dipeptidyl peptidase 1-like	P GO:0006508 proteolysis
LOC124785584	eukaryotic translation initiation factor 5A-like	F GO:0003723 RNA binding
LOC124785584	eukaryotic translation initiation factor 5A-like	F GO:0003746 translation elongation factor activity
LOC124785584	eukaryotic translation initiation factor 5A-like	F GO:0043022 ribosome binding
LOC124785584	eukaryotic translation initiation factor 5A-like	P GO:0045901 positive regulation of translational elongation
LOC124785584	eukaryotic translation initiation factor 5A-like	P GO:0045905 positive regulation of translational termination
LOC124782175	drebrin-like protein	F GO:0005515 protein binding
LOC124782801	uncharacterized protein LOC124782801	F GO:0046983 protein dimerization activity
LOC124798003	class A basic helix-loop-helix protein 9-like	F GO:0046983 protein dimerization activity
LOC124715741	odorant receptor Or2-like	C GO:0016020 membrane
LOC124715741	odorant receptor Or2-like	F GO:0004984 olfactory receptor activity
LOC124715741	odorant receptor Or2-like	F GO:0005549 odorant binding
LOC124715741	odorant receptor Or2-like	P GO:0007608 sensory perception of smell
LOC124783116	uncharacterized protein LOC124783116	C GO:0016020 membrane
LOC124783116	uncharacterized protein LOC124783116	F GO:0004984 olfactory receptor activity
LOC124783116	uncharacterized protein LOC124783116	F GO:0005549 odorant binding
LOC124783116	uncharacterized protein LOC124783116	P GO:0007608 sensory perception of smell
LOC124777349	odorant receptor SameORX	C GO:0016020 membrane
LOC124777349	odorant receptor SameORX	F GO:0004984 olfactory receptor activity
LOC124777349	odorant receptor SameORX	F GO:0005549 odorant binding
LOC124777349	odorant receptor SameORX	P GO:0007608 sensory perception of smell
LOC124714919	CCHC-type zinc finger nucleic acid binding protein-like	F GO:0003676 nucleic acid binding
LOC124714919	CCHC-type zinc finger nucleic acid binding protein-like	F GO:0008270 zinc ion binding
LOC124714903	transcription elongation regulator 1	F GO:0005515 protein binding
LOC124783433	uncharacterized protein LOC124783433	F GO:0016747 acyltransferase activity, transferring groups other than amino-acyl groups
LOC124796444	tRNA (uracil-5-)-methyltransferase homolog A-like isoform X1	F GO:0003676 nucleic acid binding
LOC124792021	RNA-binding protein Musashi like Rbp6	F GO:0003723 RNA binding
LOC124789784	proteasome subunit alpha type-2	C GO:0019773 proteasome core complex, alpha-subunit complex
LOC124789784	proteasome subunit alpha type-2	P GO:0006511 ubiquitin-dependent protein catabolic process
LOC124788785	beta-sarcoglycan	C GO:0016012 sarcoglycan complex
LOC124788084	serine protease snake-like	F GO:0004252 serine-type endopeptidase activity
LOC124788084	serine protease snake-like	P GO:0006508 proteolysis
LOC124795806	serine protease snake-like	F GO:0004252 serine-type endopeptidase activity
LOC124795806	serine protease snake-like	P GO:0006508 proteolysis
LOC124787949	ADP-ribosylation factor-like protein 3	F GO:0003924 GTPase activity
LOC124787949	ADP-ribosylation factor-like protein 3	F GO:0005525 GTP binding
LOC124790491	cuticle protein 21.3	F GO:0042302 structural constituent of cuticle
LOC124787057	gastrin/cholecystokinin type B receptor-like	C GO:0016020 membrane
LOC124787057	gastrin/cholecystokinin type B receptor-like	F GO:0004930 G protein-coupled receptor activity
LOC124787057	gastrin/cholecystokinin type B receptor-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124794194	aldo-keto reductase family 1 member A1-like	F GO:0016491 oxidoreductase activity
LOC124796809	dual specificity protein phosphatase 23-like	P GO:0006470 protein dephosphorylation
LOC124796825	E3 SUMO-protein ligase ZBED1-like isoform X1	F GO:0046983 protein dimerization activity
LOC124782574	kinesin-like protein Klp98A	F GO:0005524 ATP binding
LOC124782574	kinesin-like protein Klp98A	F GO:0003777 microtubule motor activity
LOC124782574	kinesin-like protein Klp98A	F GO:0035091 phosphatidylinositol binding
LOC124782574	kinesin-like protein Klp98A	P GO:0007018 microtubule-based movement
LOC124782574	kinesin-like protein Klp98A	F GO:0008017 microtubule binding
LOC124783711	uncharacterized protein LOC124783711	C GO:0005634 nucleus
LOC124783711	uncharacterized protein LOC124783711	F GO:0008270 zinc ion binding
LOC124783711	uncharacterized protein LOC124783711	F GO:0070530 K63-linked polyubiquitin modification-dependent protein binding
LOC124789185	1,5-anhydro-D-fructose reductase-like	F GO:0016491 oxidoreductase activity
LOC124710688	mediator of RNA polymerase II transcription subunit 6 isoform X2	C GO:0016592 mediator complex
LOC124710688	mediator of RNA polymerase II transcription subunit 6 isoform X2	F GO:0003712 transcription coregulator activity
LOC124710688	mediator of RNA polymerase II transcription subunit 6 isoform X2	P GO:0006357 regulation of transcription by RNA polymerase II
LOC124710878	pre-mRNA-processing factor 39	C GO:0005634 nucleus
LOC124710878	pre-mRNA-processing factor 39	F GO:0005515 protein binding
LOC124710878	pre-mRNA-processing factor 39	P GO:0006396 RNA processing
LOC124787684	baculoviral IAP repeat-containing protein 6	F GO:0004842 ubiquitin-protein transferase activity
LOC124787684	baculoviral IAP repeat-containing protein 6	P GO:0006915 apoptotic process
LOC124787684	baculoviral IAP repeat-containing protein 6	P GO:0032465 regulation of cytokinesis
LOC124787922	regucalcin-like	F GO:0005509 calcium ion binding
LOC124787922	regucalcin-like	F GO:0030234 enzyme regulator activity
LOC124801496	regucalcin-like	F GO:0005509 calcium ion binding
LOC124801496	regucalcin-like	F GO:0030234 enzyme regulator activity
LOC124794322	translocating chain-associated membrane protein 1	C GO:0016020 membrane
LOC124794322	translocating chain-associated membrane protein 1	P GO:0006616 SRP-dependent cotranslational protein targeting to membrane, translocation
LOC124794727	gamma-butyrobetaine dioxygenase-like	F GO:0016491 oxidoreductase activity
LOC124788677	gamma-butyrobetaine dioxygenase-like	F GO:0016491 oxidoreductase activity
LOC124795445	gamma-butyrobetaine dioxygenase-like	F GO:0016491 oxidoreductase activity
LOC124793347	gamma-butyrobetaine dioxygenase-like	F GO:0016491 oxidoreductase activity
LOC124788065	glutaminase kidney isoform, mitochondrial-like	F GO:0004359 glutaminase activity
LOC124788065	glutaminase kidney isoform, mitochondrial-like	F GO:0005515 protein binding
LOC124788065	glutaminase kidney isoform, mitochondrial-like	P GO:0006541 glutamine metabolic process
LOC124788141	sodium/potassium-transporting ATPase subunit alpha-2-like	F GO:0016887 ATP hydrolysis activity
LOC124788141	sodium/potassium-transporting ATPase subunit alpha-2-like	F GO:0005524 ATP binding
LOC124788141	sodium/potassium-transporting ATPase subunit alpha-2-like	C GO:0016020 membrane
LOC124788141	sodium/potassium-transporting ATPase subunit alpha-2-like	F GO:0005215 transporter activity
LOC124788223	chordin-like protein 1	F GO:0005515 protein binding
LOC124795257	pre-mRNA-processing factor 19-like	F GO:0004842 ubiquitin-protein transferase activity
LOC124795257	pre-mRNA-processing factor 19-like	P GO:0016567 protein ubiquitination
LOC124721398	SPRY domain-containing SOCS box protein 3 isoform X1	F GO:0005515 protein binding
LOC124786574	transmembrane protein 120 homolog	C GO:0016020 membrane
LOC124789499	GTPase Era, mitochondrial	F GO:0003723 RNA binding
LOC124789499	GTPase Era, mitochondrial	F GO:0005525 GTP binding
LOC124788297	sulfotransferase 1C4	F GO:0008146 sulfotransferase activity
LOC124803227	ADP-ribosylation factor-binding protein GGA2 isoform X2	F GO:0035091 phosphatidylinositol binding
LOC124803227	ADP-ribosylation factor-binding protein GGA2 isoform X2	F GO:0043130 ubiquitin binding
LOC124788382	putative gustatory receptor 2a	C GO:0016020 membrane
LOC124788382	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC124788484	probable G-protein coupled receptor Mth-like 1	F GO:0004930 G protein-coupled receptor activity
LOC124788484	probable G-protein coupled receptor Mth-like 1	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124788484	probable G-protein coupled receptor Mth-like 1	C GO:0016020 membrane
LOC124788484	probable G-protein coupled receptor Mth-like 1	P GO:0007166 cell surface receptor signaling pathway
LOC124782465	protein-tyrosine sulfotransferase-like	C GO:0016020 membrane
LOC124782465	protein-tyrosine sulfotransferase-like	F GO:0008476 protein-tyrosine sulfotransferase activity
LOC124788688	speckle-type POZ protein-like A	F GO:0005515 protein binding
LOC124788793	gustatory receptor 23a-like	C GO:0016020 membrane
LOC124788793	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC124788897	gustatory receptor 23a-like	C GO:0016020 membrane
LOC124788897	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC124788995	speckle-type POZ protein-like	F GO:0005515 protein binding
LOC124789098	gustatory receptor 23a-like	C GO:0016020 membrane
LOC124789098	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC124789196	gustatory receptor 23a-like	C GO:0016020 membrane
LOC124789196	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC124789290	putative gustatory receptor 2a	C GO:0016020 membrane
LOC124789290	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC124789383	gustatory receptor for sugar taste 43a-like	C GO:0016020 membrane
LOC124789383	gustatory receptor for sugar taste 43a-like	P GO:0050909 sensory perception of taste
LOC124789468	putative gustatory receptor 2a	C GO:0016020 membrane
LOC124789468	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC124804931	protein roadkill-like	F GO:0005515 protein binding
LOC124789553	gustatory receptor 23a-like	C GO:0016020 membrane
LOC124789553	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC124789637	gustatory receptor 23a-like	C GO:0016020 membrane
LOC124789637	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC124789727	gustatory receptor for sugar taste 43a-like	C GO:0016020 membrane
LOC124789727	gustatory receptor for sugar taste 43a-like	P GO:0050909 sensory perception of taste
LOC124804610	protein roadkill-like	F GO:0005515 protein binding
LOC124789811	gustatory receptor 23a-like	C GO:0016020 membrane
LOC124789811	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC124789891	gustatory receptor 23a-like	C GO:0016020 membrane
LOC124789891	gustatory receptor 23a-like	P GO:0050909 sensory perception of taste
LOC124790070	putative gustatory receptor 2a	C GO:0016020 membrane
LOC124790070	putative gustatory receptor 2a	P GO:0050909 sensory perception of taste
LOC124790933	glutamate receptor ionotropic, kainate 5-like	C GO:0016020 membrane
LOC124790933	glutamate receptor ionotropic, kainate 5-like	F GO:0015276 ligand-gated monoatomic ion channel activity
LOC124791091	homeobox protein six1-like, partial	F GO:0003677 DNA binding
LOC124791091	homeobox protein six1-like, partial	P GO:0006355 regulation of DNA-templated transcription
LOC124791250	glycoprotein 3-alpha-L-fucosyltransferase A-like	C GO:0016020 membrane
LOC124791250	glycoprotein 3-alpha-L-fucosyltransferase A-like	F GO:0008417 fucosyltransferase activity
LOC124791250	glycoprotein 3-alpha-L-fucosyltransferase A-like	P GO:0006486 protein glycosylation
LOC124783678	calcium-activated potassium channel slowpoke	P GO:0006813 potassium ion transport
LOC124783678	calcium-activated potassium channel slowpoke	F GO:0005216 monoatomic ion channel activity
LOC124783678	calcium-activated potassium channel slowpoke	P GO:0055085 transmembrane transport
LOC124783678	calcium-activated potassium channel slowpoke	C GO:0016020 membrane
LOC124791884	neuropeptide SIFamide receptor-like	C GO:0016020 membrane
LOC124791884	neuropeptide SIFamide receptor-like	F GO:0004930 G protein-coupled receptor activity
LOC124791884	neuropeptide SIFamide receptor-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124792042	neuropeptide SIFamide receptor-like	C GO:0016020 membrane
LOC124792042	neuropeptide SIFamide receptor-like	F GO:0004930 G protein-coupled receptor activity
LOC124792042	neuropeptide SIFamide receptor-like	P GO:0007186 G protein-coupled receptor signaling pathway
LOC124792195	serine protease 53-like	F GO:0004252 serine-type endopeptidase activity
LOC124792195	serine protease 53-like	P GO:0006508 proteolysis
LOC124792354	CARD- and ANK-domain containing inflammasome adapter protein-like	F GO:0005515 protein binding
LOC124784073	Protein PDHA-1 a	F GO:0016624 oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor
LOC124792512	protein singed wings 2	F GO:0005515 protein binding
LOC124795240	cytoplasmic phosphatidylinositol transfer protein 1	F GO:0005548 phospholipid transporter activity
LOC124795240	cytoplasmic phosphatidylinositol transfer protein 1	P GO:0015914 phospholipid transport
LOC124710563	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124710563	trypsin-1-like	P GO:0006508 proteolysis
LOC124792670	trypsin alpha-like	F GO:0004252 serine-type endopeptidase activity
LOC124792670	trypsin alpha-like	P GO:0006508 proteolysis
LOC124792826	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124792826	trypsin-1-like	P GO:0006508 proteolysis
LOC124792984	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124792984	trypsin-1-like	P GO:0006508 proteolysis
LOC124793141	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124793141	trypsin-1-like	P GO:0006508 proteolysis
LOC124793298	trypsin alpha-like	F GO:0004252 serine-type endopeptidase activity
LOC124793298	trypsin alpha-like	P GO:0006508 proteolysis
LOC124730605	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124730605	trypsin-1-like	P GO:0006508 proteolysis
LOC124793457	trypsin-1-like	F GO:0004252 serine-type endopeptidase activity
LOC124793457	trypsin-1-like	P GO:0006508 proteolysis
LOC124793773	trithorax group protein osa-like, partial	C GO:0005634 nucleus
LOC124793773	trithorax group protein osa-like, partial	F GO:0008270 zinc ion binding
LOC124793773	trithorax group protein osa-like, partial	P GO:0006355 regulation of DNA-templated transcription
LOC124795724	ankyrin repeat domain-containing protein 49-like	F GO:0005515 protein binding
LOC124714013	uncharacterized protein LOC124714013	F GO:0005515 protein binding
LOC124787715	kinase suppressor of Ras 2	F GO:0004672 protein kinase activity
LOC124787715	kinase suppressor of Ras 2	F GO:0005524 ATP binding
LOC124787715	kinase suppressor of Ras 2	P GO:0006468 protein phosphorylation
LOC124785202	organic cation transporter protein-like	C GO:0016020 membrane
LOC124798641	organic cation transporter protein-like	C GO:0016020 membrane
LOC124798641	organic cation transporter protein-like	F GO:0022857 transmembrane transporter activity
LOC124798641	organic cation transporter protein-like	P GO:0055085 transmembrane transport
LOC124795878	LOW QUALITY PROTEIN: uncharacterized protein LOC124795878	F GO:0005085 guanyl-nucleotide exchange factor activity
LOC124795878	LOW QUALITY PROTEIN: uncharacterized protein LOC124795878	F GO:0005509 calcium ion binding
LOC124795878	LOW QUALITY PROTEIN: uncharacterized protein LOC124795878	F GO:0005515 protein binding
LOC124783110	protein RFT1 homolog	C GO:0016020 membrane
LOC124783110	protein RFT1 homolog	P GO:0006488 dolichol-linked oligosaccharide biosynthetic process
LOC124788969	4-hydroxyphenylpyruvate dioxygenase	P GO:0009072 aromatic amino acid metabolic process
