"gene_id","candidate_theme","Preferred_name","Description","PFAMs","DEG_sets","log2FC_by_diet","min_padj","max_abs_log2FC","KEGG_Pathway"
"LOC126334930","Endocrine / nutrient metabolism","-","May mediate the control of various cellular processes by insulin-like peptides. When phosphorylated by the insulin receptor binds specifically to various cellular proteins containing SH2 domains. Involved in control of cell proliferation, cell size, and body and organ growth throughout development. Also has a role in a signaling pathway controlling the physiological response required to endure periods of low nutrient conditions. Insulin insulin-like growth factor (IGF) signaling pathway has a role in regulating aging and is necessary in the ovary for vitellogenic maturation","IRS,PH","Diet 50","Diet 50=1.06",7.88e-05,1.06,"ko04022,ko04068,ko04140,ko04150,ko04151,ko04152,ko04211,ko04212,ko04213,ko04722,ko04910,ko04920,ko04923,ko04930,ko04931,ko04932,ko04960,ko05206,map04022,map04068,map04140,map04150,map04151,map04152,map04211,map04212,map04213,map04722,map04910,map04920,map04923,map04930,map04931,map04932,map04960,map05206"
"LOC126334613","Endocrine / nutrient metabolism","-","It is involved in the biological process described with cellular amino acid metabolic process","Beta_elim_lyase","Diet 33","Diet 33=1.15",0.000225,1.15,"ko00260,ko01100,ko01110,ko01120,ko01130,ko01230,map00260,map01100,map01110,map01120,map01130,map01230"
"LOC126337058","Endocrine / nutrient metabolism","-","Juvenile hormone binding protein domains in insects.","JHBP","Diet 33","Diet 33=-2.47",0.000283,2.47,"-"
"LOC126266748","Endocrine / nutrient metabolism","-","It is involved in the biological process described with cellular amino acid metabolic process","Ank_2,Ank_3,Asparaginase","Diet 50; Diet 33","Diet 50=1.76; Diet 33=1.81",0.000299,1.81,"-"
"LOC126299466","Endocrine / nutrient metabolism","-","Transmembrane amino acid transporter protein","Aa_trans","Diet 33; Diet 50; Diet 83","Diet 33=1.67; Diet 50=1.57; Diet 83=2.19",0.000958,2.19,"ko04150,map04150"
"LOC126363354","Endocrine / nutrient metabolism","path","Transmembrane amino acid transporter protein","Aa_trans","Diet 33","Diet 33=-1.14",0.00126,1.14,"ko04138,map04138"
"LOC126268194","Endocrine / nutrient metabolism","-","amino acid transporter","Aa_trans","Diet 50; Diet 33","Diet 50=2.07; Diet 33=1.32",0.00155,2.07,"ko04138,map04138"
"LOC126298221","Endocrine / nutrient metabolism","-","Amino acid binding. It is involved in the biological process described with metabolic process","ACT,PALP","Diet 50","Diet 50=-1.39",0.00536,1.39,"ko00260,ko00290,ko01100,ko01110,ko01130,ko01200,ko01230,map00260,map00290,map01100,map01110,map01130,map01200,map01230"
"LOC126298679","Endocrine / nutrient metabolism","-","amino acid transmembrane transporter activity. It is involved in the biological process described with amino acid transmembrane transport","AA_permease_2","Diet 50","Diet 50=1.4",0.00585,1.4,"ko04974,map04974"
"LOC126343748","Endocrine / nutrient metabolism","-","Catalyzes juvenile hormone hydrolysis","EHN","Diet 83","Diet 83=-1.62",0.00748,1.62,"ko00980,ko00981,ko04976,ko05204,map00980,map00981,map04976,map05204"
"LOC126343702","Endocrine / nutrient metabolism","-","Catalyzes juvenile hormone hydrolysis","EHN","Diet 50; Diet 33","Diet 50=-1.52; Diet 33=-1.71",0.00929,1.71,"ko00980,ko00981,ko04976,ko05204,map00980,map00981,map04976,map05204"
"LOC126293679","Endocrine / nutrient metabolism","-","Catalyzes juvenile hormone hydrolysis","EHN","Diet 33; Diet 50","Diet 33=-2.77; Diet 50=-2.71",0.00944,2.77,"ko00980,ko00981,ko04976,ko05204,map00980,map00981,map04976,map05204"
"LOC126354753","Endocrine / nutrient metabolism","-","amino acid transporter","Aa_trans","Diet 50","Diet 50=-1.23",0.0102,1.23,"ko04138,map04138"
"LOC126353931","Endocrine / nutrient metabolism","-","amino acid transmembrane transporter activity. It is involved in the biological process described with amino acid transmembrane transport","AA_permease_2,AA_permease_C","Diet 50","Diet 50=3.2",0.0169,3.2,"-"
"LOC126365925","Endocrine / nutrient metabolism","-","amino acid transporter","Aa_trans","Diet 50","Diet 50=5.15",0.0188,5.15,"ko04138,map04138"
"LOC126272933","Endocrine / nutrient metabolism","-","Solute carrier (proton/amino acid symporter), TRAMD3 or PAT1","PaaSYMP","Diet 50","Diet 50=1.65",0.0417,1.65,"-"
"LOC126273044","Endocrine / nutrient metabolism","-","Haemolymph juvenile hormone binding protein (JHBP)","-","Diet 33","Diet 33=1.97",0.0476,1.97,"-"
"LOC126285462","Immune / defense","-","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Amidase_2","Diet 50; Diet 83; Diet 33","Diet 50=3.8; Diet 83=2.65; Diet 33=2.35",1.49e-31,3.8,"-"
"LOC126335463","Immune / defense","-","Belongs to the serpin family","-","Diet 50; Diet 33; Diet 83","Diet 50=6.99; Diet 33=5.39; Diet 83=5.34",5.02e-24,6.99,"-"
"LOC126335468","Immune / defense","-","Belongs to the serpin family","-","Diet 50; Diet 33; Diet 83","Diet 50=4.99; Diet 33=4.39; Diet 83=3.04",1.09e-15,4.99,"-"
"LOC126267163","Immune / defense","-","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Amidase_2","Diet 50; Diet 33; Diet 83","Diet 50=4.41; Diet 33=3.24; Diet 83=3.04",3.88e-15,4.41,"-"
"LOC126271975","Immune / defense","-","Alpha-lactalbumin / lysozyme C","Lys","Diet 50; Diet 33","Diet 50=7.5; Diet 33=5.61",3.58e-14,7.5,"ko04970,map04970"
"LOC126335547","Immune / defense","-","Belongs to the serpin family","Serpin","Diet 50; Diet 33; Diet 83","Diet 50=2.67; Diet 33=2.54; Diet 83=2.98",2.51e-13,2.98,"ko05146,map05146"
"LOC126267162","Immune / defense","PGRPLC","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Amidase_2","Diet 50; Diet 33; Diet 83","Diet 50=2.16; Diet 33=1.8; Diet 83=2.12",2.66e-13,2.16,"-"
"LOC126343175","Immune / defense","Tsf1","Transferrins are iron binding transport proteins which bind Fe(3 ) ion in association with the binding of an anion, usually bicarbonate","Transferrin","Diet 50; Diet 33; Diet 83","Diet 50=3.4; Diet 33=2.42; Diet 83=2.06",1.58e-12,3.4,"-"
"LOC126267215","Immune / defense","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Amidase_2","Diet 50; Diet 33; Diet 83","Diet 50=5.54; Diet 33=4.17; Diet 83=5.24",2.1e-12,5.54,"-"
"LOC126266760","Immune / defense","-","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Amidase_2","Diet 50; Diet 33; Diet 83","Diet 50=2.82; Diet 33=1.96; Diet 83=1.95",2.19e-12,2.82,"-"
"LOC126268068","Immune / defense","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Amidase_2","Diet 50; Diet 33","Diet 50=2.35; Diet 33=1.32",1.46e-11,2.35,"-"
"LOC126266596","Immune / defense","-","Transferase activity, transferring hexosyl groups. It is involved in the biological process described with carbohydrate metabolic process","Glyco_transf_54","Diet 50; Diet 33; Diet 83","Diet 50=-1.97; Diet 33=-2.33; Diet 83=-2.36",9.16e-11,2.36,"ko00510,ko00513,ko01100,map00510,map00513,map01100"
"LOC126266759","Immune / defense","-","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Amidase_2","Diet 50; Diet 83; Diet 33","Diet 50=3.18; Diet 83=2.59; Diet 33=2.48",5.66e-10,3.18,"-"
"LOC126267343","Immune / defense","-","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Amidase_2","Diet 50; Diet 83; Diet 33","Diet 50=2.35; Diet 83=1.85; Diet 33=1.47",6.55e-10,2.35,"-"
"LOC126365918","Immune / defense","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Amidase_2","Diet 50","Diet 50=1.7",1.75e-09,1.7,"-"
"LOC126335467","Immune / defense","-","Belongs to the serpin family","-","Diet 50","Diet 50=2.46",2.85e-09,2.46,"-"
"LOC126291639","Immune / defense","-","C-type lectin (CTL) or carbohydrate-recognition domain (CRD)","-","Diet 50","Diet 50=2.76",2.64e-08,2.76,"-"
"LOC126267216","Immune / defense","PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","Amidase_2","Diet 50; Diet 33; Diet 83","Diet 50=4.87; Diet 33=3.13; Diet 83=3.66",4.55e-08,4.87,"-"
"LOC126336325","Immune / defense","-","Knottins","Defensin_2","Diet 33; Diet 83; Diet 50","Diet 33=6.71; Diet 83=6.49; Diet 50=3.78",6.07e-08,6.71,"ko04624,map04624"
"LOC126335470","Immune / defense","-","Belongs to the serpin family","-","Diet 50; Diet 33","Diet 50=1.74; Diet 33=1.09",9.77e-08,1.74,"-"
"LOC126341434","Immune / defense","-","Transferase activity, transferring phosphorus-containing groups","-","Diet 50; Diet 33; Diet 83","Diet 50=1.99; Diet 33=2.14; Diet 83=1.66",1.25e-07,2.14,"-"
"LOC126354265","Immune / defense","-","Transferase activity, transferring glycosyl groups","Fringe","Diet 50; Diet 33","Diet 50=1.06; Diet 33=1.04",1.65e-07,1.06,"ko00512,ko01100,map00512,map01100"
"LOC126267652","Immune / defense","PGRPLA","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Amidase_2","Diet 50","Diet 50=2.91",2.68e-07,2.91,"-"
"LOC126284463","Immune / defense","-","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","-","Diet 50; Diet 83","Diet 50=4.55; Diet 83=3.15",7.32e-07,4.55,"-"
"LOC126335545","Immune / defense","-","Belongs to the serpin family","Serpin","Diet 50; Diet 83; Diet 33","Diet 50=2.94; Diet 83=3.76; Diet 33=2.41",7.44e-07,3.76,"ko05146,map05146"
"LOC126336738","Immune / defense","-","C-type lectin (CTL) or carbohydrate-recognition domain (CRD)","-","Diet 50; Diet 33; Diet 83","Diet 50=5.19; Diet 33=3.26; Diet 83=4.14",1.62e-06,5.19,"-"
"LOC126272961","Immune / defense","-","Tumour necrosis factor family.","TNF","Diet 33; Diet 83","Diet 33=2.38; Diet 83=1.75",5.99e-06,2.38,"ko04013,ko04214,ko04391,map04013,map04214,map04391"
"LOC126335472","Immune / defense","-","Belongs to the serpin family","-","Diet 50; Diet 33","Diet 50=2.22; Diet 33=2.26",1.15e-05,2.26,"-"
"LOC126322960","Immune / defense","-","Lysozyme activity","Destabilase","Diet 33; Diet 50","Diet 33=-1.31; Diet 50=-1.66",8.75e-05,1.66,"-"
"LOC126324086","Immune / defense","-","Transferase activity, transferring phosphorus-containing groups","-","Diet 33; Diet 50","Diet 33=-2.5; Diet 50=-2.06",0.000108,2.5,"-"
"LOC126272362","Immune / defense","-","C-Type Lysozyme","Lys","Diet 50","Diet 50=1.58",0.000167,1.58,"-"
"LOC126335288","Immune / defense","-","polypeptide N-acetylgalactosaminyltransferase","Glyco_transf_7C,Glycos_transf_2,Ricin_B_lectin","Diet 50; Diet 33; Diet 83","Diet 50=1.64; Diet 33=1.77; Diet 83=1.92",0.000432,1.92,"ko00512,ko01100,map00512,map01100"
"LOC126336076","Immune / defense","-","Belongs to the serpin family","-","Diet 50","Diet 50=3.85",0.000638,3.85,"-"
"LOC126284862","Immune / defense","-","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process","-","Diet 50","Diet 50=-1.79",0.000848,1.79,"-"
"LOC126335291","Immune / defense","-","Ricin-type beta-trefoil","Glycos_transf_2,Ricin_B_lectin","Diet 33","Diet 33=1.09",0.00089,1.09,"ko00512,ko01100,map00512,map01100"
"LOC126335544","Immune / defense","-","Belongs to the serpin family","Serpin","Diet 50","Diet 50=1.9",0.000961,1.9,"ko05146,map05146"
"LOC126267876","Immune / defense","LYSC6","C-Type Lysozyme (multi-lysozyme domain protein)","Lys","Diet 50","Diet 50=2.11",0.00114,2.11,"ko04970,map04970"
"LOC126284872","Immune / defense","-","Enoylreductase","ADH_zinc_N,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,Thioesterase,ketoacyl-synt","Diet 50","Diet 50=3.59",0.00228,3.59,"ko00061,ko01100,ko01212,ko04152,ko04910,map00061,map01100,map01212,map04152,map04910"
"LOC126298069","Immune / defense","-","carbohydrate binding","Gal_Lectin","Diet 33; Diet 50","Diet 33=-1.29; Diet 50=-1.31",0.00298,1.31,"-"
"LOC126271991","Immune / defense","-","It is involved in the biological process described with","IMD","Diet 83","Diet 83=1.12",0.00318,1.12,"-"
"LOC126335471","Immune / defense","-","Belongs to the serpin family","-","Diet 50","Diet 50=4.34",0.00343,4.34,"-"
"LOC126323134","Immune / defense","-","Attacin, C-terminal region","Attacin_C","Diet 33","Diet 33=4.46",0.00346,4.46,"-"
"LOC126334780","Immune / defense","-","Knottins","Defensin_2","Diet 50","Diet 50=-2.56",0.00369,2.56,"ko04624,map04624"
"LOC126284858","Immune / defense","-","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process","-","Diet 50","Diet 50=-2.86",0.00375,2.86,"-"
"LOC126284452","Immune / defense","-","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process","-","Diet 33; Diet 50","Diet 33=-1.54; Diet 50=-1.58",0.00558,1.58,"-"
"LOC126284462","Immune / defense","-","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","-","Diet 50","Diet 50=1.79",0.00624,1.79,"-"
"LOC126295101","Immune / defense","-","Transferase activity, transferring acyl groups","Carn_acyltransf","Diet 50","Diet 50=1.05",0.00852,1.05,"ko04146,map04146"
"LOC126272566","Immune / defense","-","Di-glucose binding within endoplasmic reticulum","Malectin","Diet 50","Diet 50=-1.07",0.00966,1.07,"-"
"LOC126273193","Immune / defense","-","carbohydrate binding","Lectin_C","Diet 50","Diet 50=-3.3",0.0141,3.3,"-"
"LOC126284941","Immune / defense","-","C-type lectin (CTL) or carbohydrate-recognition domain (CRD)","Lectin_C","Diet 50; Diet 83","Diet 50=1.22; Diet 83=1.26",0.016,1.26,"-"
"LOC126329244","Immune / defense","-","Calcium ion binding","CUB,EGF,EGF_CA,Ephrin_rec_like,F5_F8_type_C,HYR,Laminin_G_3,Ldl_recept_a,Lectin_C,Sushi,hEGF","Diet 50","Diet 50=-1.04",0.0214,1.04,"-"
"LOC126324229","Immune / defense","-","Transferase activity, transferring phosphorus-containing groups","-","Diet 33","Diet 33=-1.8",0.0216,1.8,"-"
"LOC126334779","Immune / defense","-","Defensin anti-microbial peptide","Defensin_2","Diet 50","Diet 50=-2.46",0.022,2.46,"ko04624,map04624"
"LOC126284322","Immune / defense","-","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process","-","Diet 50","Diet 50=-3.4",0.0248,3.4,"-"
"LOC126335546","Immune / defense","-","Belongs to the serpin family","Serpin","Diet 50","Diet 50=1.46",0.0248,1.46,"ko05146,map05146"
"LOC126284857","Immune / defense","-","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process","-","Diet 83; Diet 50","Diet 83=1.78; Diet 50=1.35",0.0285,1.78,"-"
"LOC126335167","Immune / defense","-","Belongs to the serpin family","Serpin","Diet 50","Diet 50=1.1",0.0293,1.1,"ko05146,map05146"
"LOC126284670","Immune / defense","-","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process","-","Diet 83","Diet 83=-1.41",0.0333,1.41,"-"
"LOC126336322","Immune / defense","-","Knottins","Defensin_2","Diet 50","Diet 50=3.82",0.0334,3.82,"ko04624,map04624"
"LOC126272262","Immune / defense","-","Transferase activity, transferring phosphorus-containing groups","APH","Diet 50","Diet 50=-1.41",0.0347,1.41,"ko00310,ko01100,map00310,map01100"
"LOC126269044","Immune / defense","-","SERine  Proteinase INhibitors","Serpin","Diet 50","Diet 50=-1.76",0.0354,1.76,"-"
"LOC126356371","Immune / defense","-","activity. It is involved in the biological process described with","ADH_zinc_N,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,Thioesterase,ketoacyl-synt","Diet 83","Diet 83=-1.22",0.0366,1.22,"ko00061,ko01100,ko01212,ko04152,ko04910,map00061,map01100,map01212,map04152,map04910"
"LOC126277284","Immune / defense","-","Transferrins are iron binding transport proteins which bind Fe(3 ) ion in association with the binding of an anion, usually bicarbonate","Transferrin","Diet 50","Diet 50=-1.06",0.0396,1.06,"-"
"LOC126355865","Immune / defense","CTLMA6","C-type lectin (CTL) or carbohydrate-recognition domain (CRD)","Lectin_C","Diet 50","Diet 50=-2.21",0.0438,2.21,"-"
"LOC126335465","Immune / defense","-","Belongs to the serpin family","-","Diet 33","Diet 33=-1.46",0.0489,1.46,"-"
"LOC126336416","Storage / lipid transport","-","Hemocyanin, all-alpha domain","-","Diet 50; Diet 33; Diet 83","Diet 50=2.1; Diet 33=1.78; Diet 83=1.36",2.62e-13,2.1,"-"
"LOC126299332","Storage / lipid transport","-","Lipid transporter activity. It is involved in the biological process described with lipid transport","DUF1081,DUF1943,VWD,Vitellogenin_N","Diet 50; Diet 83; Diet 33","Diet 50=2.11; Diet 83=2.02; Diet 33=1.76",5.68e-13,2.11,"-"
"LOC126336415","Storage / lipid transport","-","Hemocyanin, all-alpha domain","-","Diet 83; Diet 50","Diet 83=2.29; Diet 50=2.02",5.73e-05,2.29,"-"
"LOC126336409","Storage / lipid transport","-","Hemocyanin, all-alpha domain","-","Diet 33","Diet 33=-2.21",0.00378,2.21,"-"
"LOC126299533","Storage / lipid transport","-","nutrient reservoir activity","DUF1943,VWD,Vitellogenin_N","Diet 50","Diet 50=-2.82",0.00677,2.82,"-"
