"gene_id","Preferred_name","Description","PFAMs","theme","term_group","matched_pattern"
"LOC126341697","-","metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis","CarboxypepD_reg,Peptidase_M14","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126342514","dre4","FACT complex subunit SPT16 N-terminal lobe domain","FACT-Spt16_Nlob,Peptidase_M24,Rtt106,SPT16","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126343123","-","Belongs to the peptidase S1 family","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126343240","-","Kazal-type serine protease inhibitor domain","I-set,IGFBP,Kazal_2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126343832","-","It is involved in the biological process described with proteolysis","AAA,FtsH_ext,Peptidase_M41","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126344231","-","metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis","Peptidase_M14","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126346021","-","Belongs to the peptidase C1 family","Peptidase_C1,Propeptide_C1","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126349011","-","Trypsin-like serine protease","Telomere_Sde2,Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126336639","-","Trypsin-like serine protease","Telomere_Sde2,Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126336760","-","Kazal type serine protease inhibitors","Kazal_2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126347167","-","Dipeptidyl-peptidase activity. It is involved in the biological process described with proteolysis","Peptidase_M49","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126349289","rho-6","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Rhomboid","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126351857","-","activity. It is involved in the biological process described with proteolysis","Peptidase_S9,Peptidase_S9_N","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126352307","-","Belongs to the peptidase C19 family","UCH","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126352534","-","Removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)","Peptidase_M24,zf-C6H2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126352666","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126352738","-","Belongs to the peptidase S1 family","CLIP,Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126354211","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","CLIP,Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126352754","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","CLIP,Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126354270","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","CLIP,Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126352812","-","Belongs to the peptidase S1 family","CLIP,Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126354349","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","CLIP,Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126352770","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","CLIP,Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126352796","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","CLIP,Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126353804","Psa","zinc ion binding. It is involved in the biological process described with proteolysis","ERAP1_C,Peptidase_M1","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126353828","-","Omega peptidase activity","Josephin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126353952","CLIPC1","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126355590","-","Vault protein inter-alpha-trypsin domain","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126355691","-","Vault protein inter-alpha-trypsin domain","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126354548","-","Belongs to the peptidase M16 family","Peptidase_M16,Peptidase_M16_C,Peptidase_M16_M","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126354677","-","Vault protein inter-alpha-trypsin domain","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126354656","-","Vault protein inter-alpha-trypsin domain","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126354641","-","Vault protein inter-alpha-trypsin domain","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126354626","-","Vault protein inter-alpha-trypsin domain","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126355911","-","Vault protein inter-alpha-trypsin domain","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126277674","-","metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis","Peptidase_M14,Propep_M14","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126355834","Dredd","Cysteine-type endopeptidase activity. It is involved in the biological process described with","Peptidase_C14","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126356164","-","Cathepsin C exclusion domain","CathepsinC_exc,Peptidase_C1","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126356183","-","Cathepsin C exclusion domain","CathepsinC_exc,Peptidase_C1","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126283468","-","Cathepsin C exclusion domain","CathepsinC_exc,Peptidase_C1","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126356558","-","Serine-type peptidase activity. It is involved in the biological process described with proteolysis","DPPIV_N,Peptidase_S9","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126356844","-","metalloendopeptidase activity. It is involved in the biological process described with proteolysis","Peptidase_M3","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126358622","-","Zinc-dependent metalloprotease","Astacin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126359535","CLIPD1","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126359629","-","calpain_III","Calpain_III,EF-hand_5,EF-hand_6,EF-hand_8,Peptidase_C2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126365763","-","Belongs to the peptidase C2 family","Calpain_III,Peptidase_C2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126359655","-","calpain_III","Calpain_III,EF-hand_5,EF-hand_6,EF-hand_8,Peptidase_C2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126359950","Psn","subunit of the gamma-secretase complex, an endoprotease complex that catalyzes the intramembrane cleavage of integral membrane proteins such as Notch receptors","Presenilin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126360221","-","Peptidase M16 inactive domain","M16C_assoc,Peptidase_M16,Peptidase_M16_C","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126360492","-","Serine-type carboxypeptidase activity. It is involved in the biological process described with proteolysis","Peptidase_S10","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126360538","-","Serine-type carboxypeptidase activity. It is involved in the biological process described with proteolysis","Peptidase_S10","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126360693","-","Peptidase C13 family","Peptidase_C13","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267385","SCRASP2","Belongs to the peptidase S1 family","Fz,Ldl_recept_a,SRCR,SRCR_2,Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126362567","-","Prolyl oligopeptidase family","Peptidase_S9","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126363586","-","Venom protease-like","CLIP,Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126302233","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126268087","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126365939","-","LON peptidase N-terminal domain and RING finger protein","LON_substr_bdg,TPR_16,zf-C3HC4,zf-C3HC4_2,zf-C3HC4_3,zf-RING_UBOX","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126366013","-","Kazal type serine protease inhibitors","EF-hand_5,EF-hand_8,I-set,Ig_3,Kazal_2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126266799","-","Kazal type serine protease inhibitors","EF-hand_5,EF-hand_8,I-set,Ig_3,Kazal_2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267261","-","Serine-type peptidase activity. It is involved in the biological process described with proteolysis","Peptidase_S28","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272408","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272482","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272559","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126303635","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126303912","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126304078","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126267750","CLIPA15","Belongs to the peptidase S1 family","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126268178","-","Zinc carboxypeptidase","Peptidase_M14","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126268227","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273206","CLIPC1","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126268728","-","Belongs to the peptidase S1 family","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126269060","-","Belongs to the peptidase C19 family","Rhodanese,UCH,USP8_dimer","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126269449","-","Trypsin-like serine protease","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126269465","CLIPD3","Trypsin-like serine protease","CLIP,Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126269609","-","zinc ion binding. It is involved in the biological process described with proteolysis","ERAP1_C,Peptidase_M1","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126269625","-","zinc ion binding. It is involved in the biological process described with proteolysis","ERAP1_C,Peptidase_M1","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126305568","-","metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273768","-","metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126269996","-","zinc ion binding. It is involved in the biological process described with proteolysis","ERAP1_C,Peptidase_M1","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126270553","-","Putative peptidase family","Metallopep","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126270673","-","Zinc-dependent metalloprotease","Astacin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126270716","Taf2","Zinc ion binding","Peptidase_M1","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126270956","-","Kazal type serine protease inhibitors","EF-hand_5,EF-hand_8,I-set,Ig_3,Kazal_2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126271945","-","Matrixin","Hemopexin,PG_binding_1,Peptidase_M10","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272445","-","Matrixin","Hemopexin,PG_binding_1,Peptidase_M10","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126277971","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126272913","-","Low-density lipoprotein receptor domain class A","Ldl_recept_a,SEA,Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126273387","SCRASP1","It is involved in the biological process described with","CBM_14,Kringle,Ldl_recept_a,Lectin_C,PAN_1,SRCR,Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126274026","-","serine-type endopeptidase activity. It is involved in the biological process described with proteolysis","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126310110","-","Kazal-type serine protease inhibitor domain","Kazal_2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126276935","-","Kazal-type serine protease inhibitor domain","Kazal_1,Kazal_2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126276951","-","Kazal-type serine protease inhibitor domain","Kazal_1,Kazal_2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126282679","-","Kazal-type serine protease inhibitor domain","Kazal_1,Kazal_2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126282836","-","Kazal-type serine protease inhibitor domain","Kazal_1,Kazal_2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126310937","-","Kazal-type serine protease inhibitor domain","Kazal_1,Kazal_2","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126277939","bli-4","Proprotein convertase P-domain","P_proprotein,Peptidase_S8,S8_pro-domain","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126279067","-","Zinc-dependent metalloprotease","Astacin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126281332","-","Belongs to the peptidase C14A family","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126281377","-","Vault protein inter-alpha-trypsin domain","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126281384","-","Plasma glutamate carboxypeptidase","Peptidase_M28","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126281423","-","It is involved in the biological process described with proteolysis","AAA,Peptidase_M41","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126281688","-","Cysteine-type endopeptidase activity. It is involved in the biological process described with","-","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126281715","-","Cysteine-type endopeptidase activity. It is involved in the biological process described with","Peptidase_C14","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126281729","-","Belongs to the peptidase C14A family","Peptidase_C14","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126281770","-","Cysteine-type endopeptidase activity. It is involved in the biological process described with","Peptidase_C14","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126281786","-","Caspase, interleukin-1 beta converting enzyme (ICE) homologues","Peptidase_C14","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126281933","-","Belongs to the peptidase M24B family","Creatinase_N,Creatinase_N_2,Peptidase_M24,Peptidase_M24_C","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126282347","-","Belongs to the peptidase M76 family","Peptidase_M76","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126282825","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126282858","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126282842","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126282874","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
"LOC126291718","-","Trypsin-like serine protease","Trypsin","Protein and amino-acid availability","Proteolysis","protease|peptidase|trypsin|cathepsin|carboxypeptidase|metalloprotease|serine protease"
