method	qseqid	gene_id	seqid	qlen	sseqid	taxid	scientific_name	broad_group	lineage	pident	length	qcovhsp	evalue	bitscore	stitle
BLASTn core_nt	LOC126304742|NW_026061732.1:101125-105657|+	LOC126304742	NW_026061732.1	4533	gi|2284197455|ref|XM_049991915.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	3862	85	0.0	6965	PREDICTED: Schistocerca gregaria filamin-C-like (LOC126304742), transcript variant X1, mRNA
BLASTn core_nt	LOC126304742|NW_026061732.1:101125-105657|+	LOC126304742	NW_026061732.1	4533	gi|2284197457|ref|XM_049991916.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	3862	85	0.0	6965	PREDICTED: Schistocerca gregaria filamin-C-like (LOC126304742), transcript variant X2, mRNA
BLASTn core_nt	LOC126304744|NW_026061732.1:76648-81120|-	LOC126304744	NW_026061732.1	4473	gi|2284197473|ref|XM_049991924.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	2828	63	0.0	5101	PREDICTED: Schistocerca gregaria ras-related protein rapA-like (LOC126304744), transcript variant X7, mRNA
BLASTn core_nt	LOC126304744|NW_026061732.1:76648-81120|-	LOC126304744	NW_026061732.1	4473	gi|2284197469|ref|XM_049991922.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	2732	61	0.0	4928	PREDICTED: Schistocerca gregaria ras-related protein rapA-like (LOC126304744), transcript variant X5, mRNA
BLASTn core_nt	LOC126304744|NW_026061732.1:76648-81120|-	LOC126304744	NW_026061732.1	4473	gi|2284197465|ref|XM_049991920.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	2732	61	0.0	4928	PREDICTED: Schistocerca gregaria ras-related protein rapA-like (LOC126304744), transcript variant X3, mRNA
BLASTn core_nt	LOC126304744|NW_026061732.1:76648-81120|-	LOC126304744	NW_026061732.1	4473	gi|2284197471|ref|XM_049991923.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	2732	61	0.0	4928	PREDICTED: Schistocerca gregaria ras-related protein rapA-like (LOC126304744), transcript variant X6, mRNA
BLASTn core_nt	LOC126304744|NW_026061732.1:76648-81120|-	LOC126304744	NW_026061732.1	4473	gi|2284197463|ref|XM_049991919.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	2732	61	0.0	4928	PREDICTED: Schistocerca gregaria ras-related protein rapA-like (LOC126304744), transcript variant X2, mRNA
BLASTn core_nt	LOC126304744|NW_026061732.1:76648-81120|-	LOC126304744	NW_026061732.1	4473	gi|2284197467|ref|XM_049991921.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	2732	61	0.0	4928	PREDICTED: Schistocerca gregaria ras-related protein rapA-like (LOC126304744), transcript variant X4, mRNA
BLASTn core_nt	LOC126304744|NW_026061732.1:76648-81120|-	LOC126304744	NW_026061732.1	4473	gi|2284197461|ref|XM_049991918.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	2732	61	0.0	4928	PREDICTED: Schistocerca gregaria ras-related protein rapA-like (LOC126304744), transcript variant X1, mRNA
BLASTn core_nt	LOC126304746|NW_026061732.1:64683-68885|+	LOC126304746	NW_026061732.1	4203	gi|2284197477|ref|XM_049991926.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	2125	51	0.0	3833	PREDICTED: Schistocerca gregaria protein aubergine-like (LOC126304746), mRNA
BLASTn core_nt	LOC126304749|NW_026061732.1:70892-72937|-	LOC126304749	NW_026061732.1	2046	gi|2284197481|ref|XM_049991928.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	1579	77	0.0	2848	PREDICTED: Schistocerca gregaria uncharacterized LOC126304749 (LOC126304749), mRNA
BLASTn core_nt	LOC126304750|NW_026061732.1:91102-93488|-	LOC126304750	NW_026061732.1	2387	gi|2284197483|ref|XM_049991929.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	2037	85	0.0	3674	PREDICTED: Schistocerca gregaria ATP-dependent zinc metalloprotease FtsH-like (LOC126304750), mRNA
BLASTn core_nt	LOC126304751|NW_026061732.1:56417-58611|-	LOC126304751	NW_026061732.1	2195	gi|2284197485|ref|XM_049991930.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	630	29	0.0	1137	PREDICTED: Schistocerca gregaria crustapain-like (LOC126304751), mRNA
BLASTn core_nt	LOC126304753|NW_026061732.1:47585-49963|+	LOC126304753	NW_026061732.1	2379	gi|2284197491|ref|XM_049991933.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	1696	71	0.0	3059	PREDICTED: Schistocerca gregaria uncharacterized LOC126304753 (LOC126304753), mRNA
BLASTn core_nt	LOC126304757|NW_026061732.1:28879-33239|+	LOC126304757	NW_026061732.1	4361	gi|2284197499|ref|XM_049991937.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	3120	72	0.0	5627	PREDICTED: Schistocerca gregaria uncharacterized LOC126304757 (LOC126304757), transcript variant X3, mRNA
BLASTn core_nt	LOC126304757|NW_026061732.1:28879-33239|+	LOC126304757	NW_026061732.1	4361	gi|2284197501|ref|XM_049991938.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	3118	71	0.0	5624	PREDICTED: Schistocerca gregaria uncharacterized LOC126304757 (LOC126304757), transcript variant X4, mRNA
BLASTn core_nt	LOC126304758|NW_026061732.1:38606-40170|+	LOC126304758	NW_026061732.1	1565	gi|2284197507|ref|XM_049991941.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	918	59	0.0	1656	PREDICTED: Schistocerca gregaria adenosylhomocysteinase-like (LOC126304758), mRNA
BLASTn core_nt	LOC126304759|NW_026061732.1:62707-64494|+	LOC126304759	NW_026061732.1	1788	gi|2284197509|ref|XM_049991942.1|	7010	Schistocerca gregaria	Schistocerca	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Schistocerca;Schistocerca gregaria	100.000	903	51	0.0	1629	PREDICTED: Schistocerca gregaria eukaryotic peptide chain release factor subunit 1-like (LOC126304759), mRNA
