gene_id	seqid	description_official	gene_biotype	DEG_context	comparisons	directions	focused_origin_audit	mapping_support	competitive_host_retained_fraction	integrated_evidence	nucleotide_support_corrected	nucleotide_groups	nucleotide_taxa	nucleotide_max_identity	nucleotide_max_query_coverage	protein_support	fresh_significant_contrasts	fresh_higher_in	fresh_max_abs_log2FC	fresh_min_padj
LOC126322384	NW_026062176.1	splicing factor 3B subunit 2-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	0.9985007496251874	Conflicting nucleotide and protein evidence	Non-metazoan only	Other Eukaryota	Acanthamoeba castellanii str. Neff	67.736	20	Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.76918219568111	4.6454746177207876e-27
LOC126323920	NW_026062236.1	poly(A)-specific ribonuclease PARN-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.520974358579572	6.557966297520117e-27
LOC126328217	NW_026062445.1	uncharacterized LOC126328217	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.701415440363736	7.527107109329618e-27
LOC126326506	NW_026062344.1	uncharacterized LOC126326506	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.99461871685146	1.005432058611268e-26
LOC126311220	NW_026061838.1	uncharacterized LOC126311220	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.148149564010676	4.2938899095651265e-26
LOC126332792	NW_026062803.1	uncharacterized LOC126332792	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.25235330943802	5.096810914493283e-26
LOC126311232	NW_026061838.1	uncharacterized LOC126311232	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.05767555569149	6.799402768685333e-26
LOC126332756	NW_026062795.1	PAN2-PAN3 deadenylation complex subunit pan3-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Host-only significant only; Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.577503676470737	6.984001879471829e-26
LOC126323725	NW_026062229.1	protein YIPF5 homolog	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.903677987781673	8.326510326143379e-26
LOC126315292	NW_026061960.1	uncharacterized LOC126315292	protein_coding	Infection + diet	Diet 33: infected vs control; Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed external nucleotide evidence	Mixed metazoan/non-metazoan	Fungi;Other Metazoa	Caenorhabditis elegans;Synchytrium microbalum	68.927	22	Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.653663075527874	1.9662729322067365e-25
LOC126318646	NW_026062056.1	uncharacterized LOC126318646	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Other-metazoan protein support only	No informative external hit					Other metazoan support	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	21.682841138712856	1.9662729322067365e-25
LOC126323889	NW_026062236.1	uncharacterized LOC126323889	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	No informative external evidence	No informative external hit					No informative hit	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.06814395223689	1.9662729322067365e-25
LOC126323263	NW_026062217.1	uncharacterized LOC126323263	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Conflicting nucleotide and protein evidence	Non-metazoan only	Fungi	Cokeromyces recurvatus	70.685	25	Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.27390839486104	2.582492895639518e-25
LOC126313408	NW_026061886.1	uncharacterized LOC126313408	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.912319761982737	2.835251179874379e-25
LOC126329081	NW_026062491.1	uncharacterized LOC126329081	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.1979910857169	5.5096486208214555e-25
LOC126323894	NW_026062236.1	uncharacterized LOC126323894	protein_coding	Infection + diet	Diet 33: infected vs control; Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Concordant non-metazoan nucleotide and protein hits	Non-metazoan only	Plants	Cryptomeria japonica;Zingiber officinale	70.086	53	Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.476855579256103	7.037502295345618e-25
LOC126317444	NW_026062018.1	RAB11-binding protein RELCH-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.303244086883627	7.522615962629282e-25
LOC126325847	NW_026062299.1	uncharacterized LOC126325847	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.31054013098255	9.86077262381204e-25
LOC126319857	NW_026062071.1	uncharacterized LOC126319857	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	No informative external evidence	No informative external hit					No informative hit	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.256291352253683	1.1915294326071689e-24
LOC126316686	NW_026061985.1	uncharacterized LOC126316686	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	21.955520618699776	1.195693173954371e-24
LOC126329979	NW_026062553.1	clustered mitochondria protein homolog	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.333844126676386	1.2917182920757344e-24
LOC126319934	NW_026062071.1	aldo-keto reductase family 1 member B1-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.05681797997459	1.3039185307819621e-24
LOC126323268	NW_026062217.1	citrate/2-methylcitrate dehydratase-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Concordant non-metazoan nucleotide and protein hits	Non-metazoan only	Bacteria	Paenibacillus thiaminolyticus	65.172	54	Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	21.656328483798788	1.4987487725562582e-24
LOC126323915	NW_026062236.1	uncharacterized LOC126323915	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.425972768833905	1.4987487725562582e-24
LOC126324753	NW_026062253.1	uncharacterized LOC126324753	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.29520585429241	1.8157660868163737e-24
LOC126316958	NW_026062003.1	uncharacterized LOC126316958	lncRNA	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	No informative external evidence	No informative external hit						infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.09096558361624	3.676218865935456e-24
LOC126326535	NW_026062344.1	histone deacetylase B-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	External nucleotide support from Orthoptera/Arthropoda	Other arthropod	Other Arthropoda;Other Metazoa	Alosa alosa;Alosa pseudoharengus;Anguilla anguilla;Anguilla marmorata;Camelus bactrianus;Camelus dromedarius;Camelus ferus;Gobius niger;Latimeria chalumnae;Lissotriton helveticus;Mixophyes fleayi;Nebalia hessleri;Oncorhynchus masou masou;Ovis canadensis;Sapajus apella;Urocitellus parryii;Vicugna pacos	70.95	52	Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.186307168468236	3.858577441684697e-24
LOC126325855	NW_026062299.1	uncharacterized LOC126325855	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	21.982756461402676	4.202955782331112e-24
LOC126319911	NW_026062071.1	la-related protein 4-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.005317384256102	4.462423950932719e-24
LOC126320367	NW_026062094.1	uncharacterized LOC126320367	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	No informative external evidence	No informative external hit					No informative hit	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.02782388837256	4.7334310040565335e-24
LOC126320458	NW_026062097.1	uncharacterized LOC126320458	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	No informative external evidence	No informative external hit					No informative hit	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	21.925705945359088	4.914932909181676e-24
LOC126318615	NW_026062056.1	uncharacterized LOC126318615	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.077085434435983	8.013543454623819e-24
LOC126325835	NW_026062299.1	quinone oxidoreductase PIG3-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	21.887774534108786	8.880517255900622e-24
LOC126323271	NW_026062217.1	uncharacterized LOC126323271	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.027329223395743	8.883172523662699e-24
LOC126325546	NW_026062282.1	actin-histidine N-methyltransferase-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	21.744041305547878	1.2789906833906698e-23
LOC126304763	NW_026061732.1	thioredoxin reductase-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Concordant non-metazoan nucleotide and protein hits	Non-metazoan only	Bacteria	Prevotella intermedia;Spirosoma sp. KUDC1026	66.704	28	Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.51794435832272	1.3382658614169178e-23
LOC126319940	NW_026062071.1	aspartate aminotransferase, mitochondrial-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Conflicting nucleotide and protein evidence	Non-metazoan only	Other Eukaryota	Dictyostelium purpureum	66.607	33	Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.196584594110877	1.5760312706272152e-23
LOC126326080	NW_026062315.1	uncharacterized LOC126326080	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.19370365731837	2.6010682974571705e-23
LOC126319936	NW_026062071.1	uncharacterized LOC126319936	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.52802633259834	3.354831571581304e-23
LOC126325873	NW_026062299.1	transcription initiation factor TFIID subunit 1-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.012283912098265	6.6573889032853e-23
LOC126304739	NW_026061732.1	uncharacterized LOC126304739	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	No informative external evidence	No informative external hit					No informative hit	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.16704637384958	1.285190298116264e-22
