"gene_id","n_deg_contrasts","has_infection_deg","comparison_types","comparisons","directions","max_abs_log2FC","min_padj","deg_priority_score","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway","PFAMs","n_phase_tissues","phase_tissues","phase_directions","phase_mean_log2FC","phase_max_abs_log2FC","head_phase_log2FC","thorax_phase_log2FC","head_phase_padj","thorax_phase_padj","phase_consensus","phase_class"
"LOC126272290",4,TRUE,"Diet contrasts among infected; Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",3.60809742541773,2.64349211164277e-06,54.1859194066384,"unannotated","Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides. It is involved in the biological process described with nitrogen compound metabolic process",NA,"ko:K01435","ko00780,ko01100,ko04977,map00780,map01100,map04977","CN_hydrolase",2,"Head + Thorax","Gregarious-up",1.45828513072184,1.61923976116,1.29733050028369,1.61923976116,0.0320035907219217,2.57378217599457e-06,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126336538",4,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 33; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Downregulated",4.57491697305587,8.37103586047827e-06,54.6521377706595,"unannotated","no description",NA,NA,NA,NA,1,"Thorax","Solitarious-up",-2.25562183259242,2.25562183259242,NA,-2.25562183259242,NA,0.000577131653063711,"Solitarious-up","Thorax phase DEG only"
"LOC126268174",4,TRUE,"Diet contrasts among control; Diet contrasts among infected; Infection within diet","Control 83 vs 33; Control 83 vs 50; Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",6.38287223973987,1.00399770335322e-05,56.3811395203792,"unannotated","Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126304689",4,TRUE,"Diet contrasts among control; Diet contrasts among infected; Infection within diet","Control 83 vs 33; Control 83 vs 50; Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",7.67908528306635,1.38335224419323e-05,57.5381525040913,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126295405",4,TRUE,"Diet contrasts among control; Diet contrasts among infected; Infection within diet","Control 83 vs 33; Control 83 vs 50; Diet 33: infected vs control; Infected 83 vs 33","Downregulated; Upregulated",2.29039584503832,1.60691206087443e-05,52.0844037346234,"unannotated","Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family",NA,"ko:K00058","ko00260,ko00680,ko01100,ko01120,ko01130,ko01200,ko01230,map00260,map00680,map01100,map01120,map01130,map01200,map01230","2-Hacid_dh,2-Hacid_dh_C",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126325516",4,TRUE,"Diet contrasts among control; Diet contrasts among infected; Infection within diet","Control 83 vs 33; Diet 33: infected vs control; Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",9.31907560211726,6.99527662058641e-05,58.4742707092481,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126311192",4,TRUE,"Diet contrasts among control; Diet contrasts among infected; Infection within diet","Control 83 vs 33; Diet 33: infected vs control; Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",8.5199905824508,0.000287654385099118,57.0611195835093,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126323732",4,TRUE,"Diet contrasts among control; Diet contrasts among infected; Infection within diet","Control 83 vs 33; Control 83 vs 50; Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",8.64903330236237,0.000337431907015461,57.1208471559837,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126335309",4,TRUE,"Diet contrasts among infected; Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control; Infected 83 vs 33","Downregulated",2.99567310045619,0.000445336769449781,51.3469845461067,"unannotated","Oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water. It is involved in the biological process described with oxidation-reduction process",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126282167",4,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 33; Control 83 vs 50; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",2.27000628289429,0.000587111087599326,50.5012860007831,"unannotated","It is involved in the biological process described with lipid metabolic process",NA,"ko:K16765,ko:K16816","ko00561,ko01100,ko04714,ko04923,map00561,map01100,map04714,map04923","Patatin",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126313313",4,TRUE,"Diet contrasts among control; Diet contrasts among infected; Infection within diet","Control 83 vs 33; Diet 33: infected vs control; Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",8.54798771151544,0.000842821833474152,56.6222519339452,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126277896",4,TRUE,"Diet contrasts among infected; Infection within diet","Diet 50: infected vs control; Diet 83: infected vs control; Infected 33 vs 50; Infected 83 vs 33","Downregulated; Upregulated",8.2520541600275,0.00355563030028895,55.7011375615233,"unannotated","Myo-inositol oxygenase",NA,"ko:K00469","ko00053,ko00562,map00053,map00562","MIOX",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281974",4,TRUE,"Diet contrasts among control; Diet contrasts among infected; Infection within diet","Control 83 vs 33; Diet 50: infected vs control; Infected 33 vs 50; Infected 83 vs 33","Downregulated; Upregulated",6.89757003688814,0.00386029612776609,54.3109494157081,"unannotated","Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process",NA,"ko:K00008","ko00040,ko00051,ko01100,map00040,map00051,map01100","ADH_N,ADH_zinc_N",1,"Head","Gregarious-up",1.00848390267907,1.00848390267907,1.00848390267907,NA,0.00150966590437702,NA,"Gregarious-up","Head phase DEG only"
"LOC126336541",4,TRUE,"Diet contrasts among control; Infection within diet","Control 83 vs 33; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Downregulated",3.37804642858038,0.00653469041232956,50.5628214113236,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126356135",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",7.34129819378851,1.05603793419247e-35,77.317618674914,"unannotated","no description",NA,NA,NA,NA,1,"Thorax","Solitarious-up",-1.19870759029053,1.19870759029053,NA,-1.19870759029053,NA,3.41154089241728e-07,"Solitarious-up","Thorax phase DEG only"
"LOC126332318",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",9.36835047801762,7.46519645497772e-30,73.4953092368621,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126335828",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",3.72277542003498,2.93381261510264e-25,63.2553430483688,"unannotated","MTH538 TIR-like domain (DUF1863)",NA,"ko:K18808",NA,"TIR",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336565",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.29836521871823,8.3787267911365e-24,60.3751871892996,"unannotated","no description",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126267163",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",5.33337632532354,2.58162958172491e-21,60.9214823965153,"unannotated","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","GO:0002218,GO:0002221,GO:0002225,GO:0002252,GO:0002253,GO:0002376,GO:0002682,GO:0002684,GO:0002697,GO:0002699,GO:0002700,GO:0002702,GO:0002757,GO:0002758,GO:0002759,GO:0002760,GO:0002764,GO:0002784,GO:0002786,GO:0002803,GO:0002805,GO:0002807,GO:0002808,GO:0002813,GO:0002831,GO:0002833,GO:0002920,GO:0002922,GO:0003674,GO:0005488,GO:0005515,GO:0005539,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005887,GO:0006810,GO:0006897,GO:0006909,GO:0006950,GO:0006952,GO:0006955,GO:0006959,GO:0006963,GO:0006964,GO:0007154,GO:0007165,GO:0007166,GO:0008150,GO:0008329,GO:0009605,GO:0009607,GO:0009615,GO:0009617,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010646,GO:0010647,GO:0016019,GO:0016020,GO:0016021,GO:0016192,GO:0016327,GO:0019222,GO:0019730,GO:0019731,GO:0023051,GO:0023052,GO:0023056,GO:0031224,GO:0031226,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031347,GO:0031349,GO:0032101,GO:0032103,GO:0034248,GO:0034250,GO:0035007,GO:0038023,GO:0038187,GO:0042742,GO:0042834,GO:0043207,GO:0043455,GO:0043900,GO:0043902,GO:0044214,GO:0044424,GO:0044425,GO:0044456,GO:0044459,GO:0044464,GO:0045087,GO:0045088,GO:0045089,GO:0045202,GO:0046983,GO:0048167,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050794,GO:0050804,GO:0050829,GO:0050896,GO:0051171,GO:0051173,GO:0051179,GO:0051234,GO:0051607,GO:0051704,GO:0051707,GO:0051716,GO:0060089,GO:0061057,GO:0061058,GO:0061059,GO:0065007,GO:0065008,GO:0071944,GO:0080134,GO:0089717,GO:0097367,GO:0097458,GO:0098542,GO:0098590,GO:0098657,GO:0098793,GO:0099177,GO:1900424,GO:1900426","ko:K01446",NA,"Amidase_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126285462",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",3.80579754512816,1.00199818278159e-20,58.8049306112303,"unannotated","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","GO:0000270,GO:0002218,GO:0002221,GO:0002253,GO:0002376,GO:0002682,GO:0002684,GO:0002757,GO:0002758,GO:0002764,GO:0003674,GO:0005488,GO:0005515,GO:0005539,GO:0005575,GO:0005576,GO:0006022,GO:0006026,GO:0006027,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0007154,GO:0007165,GO:0007166,GO:0007275,GO:0007568,GO:0008150,GO:0008152,GO:0008329,GO:0008340,GO:0009056,GO:0009057,GO:0009253,GO:0009605,GO:0009607,GO:0009617,GO:0009987,GO:0010259,GO:0016019,GO:0023052,GO:0030203,GO:0031347,GO:0031349,GO:0032501,GO:0032502,GO:0038023,GO:0038187,GO:0042742,GO:0042834,GO:0043170,GO:0043207,GO:0045087,GO:0045088,GO:0045089,GO:0048518,GO:0048583,GO:0048584,GO:0048856,GO:0050776,GO:0050778,GO:0050789,GO:0050794,GO:0050830,GO:0050896,GO:0051704,GO:0051707,GO:0051716,GO:0060089,GO:0061057,GO:0065007,GO:0071704,GO:0080134,GO:0097367,GO:0098542,GO:1901135,GO:1901136,GO:1901564,GO:1901565,GO:1901575","ko:K01446",NA,"Amidase_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126282034",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",3.32919894468957,1.02448536274166e-20,58.3186931868581,"unannotated","ATP binding. It is involved in the biological process described with protein phosphorylation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126339755",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",4.39949544586871,2.01372234557543e-20,59.0954958565613,"unannotated","Vault protein inter-alpha-trypsin domain",NA,NA,NA,NA,2,"Head + Thorax","Solitarious-up",-1.63624361323011,2.07210395117411,-1.20038327528611,-2.07210395117411,0.00241370197071809,3.78915860628577e-10,"Solitarious-up","Shared head/thorax phase DEG"
"LOC126278962",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",3.27748678425542,2.01372234557543e-20,57.973487194948,"unannotated","no description",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126282995",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",5.17553832963344,2.19883263084185e-19,58.8333461563291,"unannotated","no description",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126332302",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",9.59479145194516,2.91212791440912e-19,63.1305810046208,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126295040",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",7.54058212183851,1.05168110615405e-18,60.5186980501127,"unannotated","meprin and TRAF homology","GO:0000151,GO:0000209,GO:0001654,GO:0001736,GO:0001738,GO:0001745,GO:0001932,GO:0001934,GO:0002009,GO:0003002,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006464,GO:0006508,GO:0006511,GO:0006515,GO:0006807,GO:0006950,GO:0007163,GO:0007164,GO:0007275,GO:0007350,GO:0007365,GO:0007367,GO:0007389,GO:0007423,GO:0008150,GO:0008152,GO:0008589,GO:0009056,GO:0009057,GO:0009653,GO:0009790,GO:0009880,GO:0009887,GO:0009888,GO:0009893,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0010033,GO:0010498,GO:0010562,GO:0010604,GO:0010646,GO:0010647,GO:0010648,GO:0010941,GO:0010942,GO:0016567,GO:0019005,GO:0019220,GO:0019222,GO:0019538,GO:0019899,GO:0019941,GO:0023051,GO:0023056,GO:0023057,GO:0030162,GO:0030163,GO:0031323,GO:0031325,GO:0031399,GO:0031401,GO:0031461,GO:0031625,GO:0031647,GO:0031648,GO:0032268,GO:0032270,GO:0032386,GO:0032387,GO:0032446,GO:0032501,GO:0032502,GO:0032872,GO:0032874,GO:0032879,GO:0032880,GO:0032991,GO:0033157,GO:0033554,GO:0035282,GO:0035966,GO:0035967,GO:0036211,GO:0042067,GO:0042221,GO:0042306,GO:0042308,GO:0042325,GO:0042327,GO:0042802,GO:0042803,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0043161,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043408,GO:0043410,GO:0043412,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044389,GO:0044424,GO:0044464,GO:0045879,GO:0045937,GO:0046328,GO:0046330,GO:0046822,GO:0046823,GO:0046983,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0048592,GO:0048729,GO:0048731,GO:0048749,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051049,GO:0051051,GO:0051171,GO:0051173,GO:0051174,GO:0051223,GO:0051224,GO:0051246,GO:0051247,GO:0051603,GO:0051716,GO:0051788,GO:0051865,GO:0060255,GO:0060341,GO:0060429,GO:0065007,GO:0065008,GO:0070201,GO:0070302,GO:0070304,GO:0070647,GO:0070887,GO:0071218,GO:0071310,GO:0071630,GO:0071704,GO:0080090,GO:0080134,GO:0080135,GO:0090087,GO:0090317,GO:0090596,GO:1900180,GO:1900181,GO:1901044,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1902531,GO:1902533,GO:1903827,GO:1903828,GO:1904589,GO:1904590,GO:1904950,GO:1990234","ko:K10523","ko04340,ko04341,map04340,map04341","BTB,MATH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126266759",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",4.11317603230888,1.53144913052683e-17,55.9280734566958,"unannotated","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process",NA,"ko:K01446",NA,"Amidase_2",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126279309",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.7760814181428,2.50847554916859e-17,54.3766715459514,"unannotated","Mediator of CRAC channel activity","GO:0002115,GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005262,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0007275,GO:0007399,GO:0008150,GO:0008324,GO:0009966,GO:0009967,GO:0010646,GO:0010647,GO:0010959,GO:0015075,GO:0015085,GO:0015267,GO:0015279,GO:0015318,GO:0016020,GO:0016021,GO:0022803,GO:0022838,GO:0022857,GO:0022890,GO:0023051,GO:0023056,GO:0030001,GO:0031224,GO:0031226,GO:0032501,GO:0032502,GO:0032879,GO:0034220,GO:0043269,GO:0043270,GO:0044425,GO:0044459,GO:0044464,GO:0046873,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0048731,GO:0048856,GO:0050789,GO:0050794,GO:0050848,GO:0050850,GO:0051049,GO:0051050,GO:0051179,GO:0051234,GO:0051924,GO:0051928,GO:0055085,GO:0065007,GO:0070588,GO:0070838,GO:0070884,GO:0070886,GO:0071944,GO:0072511,GO:0098655,GO:0098660,GO:0098662,GO:0106056,GO:0106058,GO:1902531,GO:1902533","ko:K16056","ko04020,ko04024,ko04611,ko04924,ko04925,ko04927,ko04934,ko05340,map04020,map04024,map04611,map04924,map04925,map04927,map04934,map05340","Orai-1",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126266593",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.87691700572833,3.23153372899545e-17,53.3675083125159,"unannotated","ankyrin repeat","GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006996,GO:0007010,GO:0007015,GO:0008092,GO:0008150,GO:0009987,GO:0016043,GO:0022607,GO:0030029,GO:0030036,GO:0044085,GO:0044424,GO:0044464,GO:0044877,GO:0051015,GO:0051017,GO:0061572,GO:0071840,GO:0097435","ko:K21436",NA,"Ank,Ank_2",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126345497",3,TRUE,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.85667091943235,1.42130587578841e-16,53.7039833679849,"Sdc","Cell surface proteoglycan","GO:0000902,GO:0000904,GO:0001667,GO:0003008,GO:0005575,GO:0005623,GO:0005886,GO:0006928,GO:0006935,GO:0007275,GO:0007399,GO:0007409,GO:0007411,GO:0007424,GO:0007427,GO:0007600,GO:0007601,GO:0008045,GO:0008150,GO:0008582,GO:0009314,GO:0009416,GO:0009581,GO:0009582,GO:0009583,GO:0009584,GO:0009605,GO:0009628,GO:0009653,GO:0009986,GO:0009987,GO:0010001,GO:0010468,GO:0010631,GO:0016020,GO:0016043,GO:0016477,GO:0019222,GO:0021782,GO:0022008,GO:0030030,GO:0030154,GO:0030182,GO:0031175,GO:0031594,GO:0032501,GO:0032502,GO:0032989,GO:0032990,GO:0040008,GO:0040011,GO:0042063,GO:0042221,GO:0042330,GO:0044087,GO:0044089,GO:0044464,GO:0045202,GO:0045887,GO:0045927,GO:0048468,GO:0048518,GO:0048522,GO:0048638,GO:0048639,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0048870,GO:0050789,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0050877,GO:0050896,GO:0050906,GO:0050908,GO:0050953,GO:0050962,GO:0051094,GO:0051128,GO:0051130,GO:0051179,GO:0051239,GO:0051240,GO:0051606,GO:0051674,GO:0051960,GO:0051962,GO:0051963,GO:0051965,GO:0060147,GO:0060148,GO:0060255,GO:0060541,GO:0060964,GO:0060966,GO:0060968,GO:0061564,GO:0065007,GO:0065008,GO:0071840,GO:0071944,GO:0090130,GO:0090132,GO:0097485,GO:0120036,GO:0120039,GO:1904396,GO:1904398,GO:2000026,GO:2000637","ko:K16336","ko04514,ko05144,ko05205,ko05418,map04514,map05144,map05205,map05418","Syndecan",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
