gene_id	seqid	description_official	gene_biotype	DEG_context	comparisons	directions	focused_origin_audit	mapping_support	competitive_host_retained_fraction	integrated_evidence	nucleotide_support_corrected	nucleotide_groups	nucleotide_taxa	nucleotide_max_identity	nucleotide_max_query_coverage	protein_support	fresh_significant_contrasts	fresh_higher_in	fresh_max_abs_log2FC	fresh_min_padj
LOC126325806	NW_026062299.1	60S ribosomal protein L6-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.39609930484526	3.1870559794635726e-26
LOC126311220	NW_026061838.1	uncharacterized LOC126311220	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.41576518438795	3.4535569385587284e-26
LOC126316834	NW_026061988.1	HBS1-like protein	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.435087123895947	3.59849041159342e-26
LOC126315282	NW_026061960.1	T-complex protein 1 subunit delta-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Conflicting nucleotide and protein evidence	Non-metazoan only	Fungi	Pneumocystis jirovecii RU7;Pneumocystis murina B123	70.913	24	Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	21.941772709054344	4.1334909825183936e-26
LOC126323886	NW_026062236.1	Fanconi anemia group D2 protein-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.242316903425017	4.993686495752793e-26
LOC126311232	NW_026061838.1	uncharacterized LOC126311232	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.283673070927087	5.340457025053282e-26
LOC126316668	NW_026061985.1	uncharacterized LOC126316668	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.892384260565837	1.4278658254915677e-25
LOC126318615	NW_026062056.1	uncharacterized LOC126318615	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.874486937292453	1.4278658254915677e-25
LOC126315292	NW_026061960.1	uncharacterized LOC126315292	protein_coding	Infection + diet	Diet 33: infected vs control; Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed external nucleotide evidence	Mixed metazoan/non-metazoan	Fungi;Other Metazoa	Caenorhabditis elegans;Synchytrium microbalum	68.927	22	Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.738039636399623	1.6884389655223889e-25
LOC126319934	NW_026062071.1	aldo-keto reductase family 1 member B1-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.284907674964405	3.1170479644447667e-25
LOC126322604	NW_026062185.1	T-complex protein 1 subunit theta-like	protein_coding	Infection + diet	Diet 33: infected vs control; Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.71472622417295	3.1170479644447667e-25
LOC126313408	NW_026061886.1	uncharacterized LOC126313408	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.826843958273127	3.1616128652246298e-25
LOC126323894	NW_026062236.1	uncharacterized LOC126323894	protein_coding	Infection + diet	Diet 33: infected vs control; Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Concordant non-metazoan nucleotide and protein hits	Non-metazoan only	Plants	Cryptomeria japonica;Zingiber officinale	70.086	53	Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.407012951929055	4.866702869862476e-25
LOC126329979	NW_026062553.1	clustered mitochondria protein homolog	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.624164381486732	1.1618307685445941e-24
LOC126318646	NW_026062056.1	uncharacterized LOC126318646	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Other-metazoan protein support only	No informative external hit					Other metazoan support	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	21.154241086916905	1.5697723758021588e-24
LOC126323915	NW_026062236.1	uncharacterized LOC126323915	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.722840746310673	1.5697723758021588e-24
LOC126325847	NW_026062299.1	uncharacterized LOC126325847	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	21.983812910716274	2.0165437623845542e-24
LOC126325855	NW_026062299.1	uncharacterized LOC126325855	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	21.960952906573976	4.76301422450626e-24
LOC126316912	NW_026062003.1	calcium/calmodulin-dependent protein kinase type 1-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.64927463972326	5.2216674038543784e-24
LOC126320458	NW_026062097.1	uncharacterized LOC126320458	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	No informative external evidence	No informative external hit					No informative hit	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	21.66912397176505	1.1478843210758743e-23
LOC126318685	NW_026062059.1	uncharacterized LOC126318685	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.281619288320336	1.3562106799739932e-23
LOC126326073	NW_026062315.1	protein lin-28-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.155407904152632	1.6124719511513178e-23
LOC126325541	NW_026062282.1	phosphatidylethanolamine-binding protein homolog F40A3.3-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Arthropod/orthopteran protein support only	No informative external hit					Broader arthropod support	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.072578214159265	2.4487300783064068e-23
LOC126326080	NW_026062315.1	uncharacterized LOC126326080	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.501653110945973	2.832384043693892e-23
LOC126313323	NW_026061886.1	uncharacterized LOC126313323	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	External nucleotide support from other Metazoa	Other metazoan	Other Metazoa	Patiria miniata	65.653	21	Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.777700632910502	6.403131964926167e-23
LOC126325873	NW_026062299.1	transcription initiation factor TFIID subunit 1-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	21.89093283474839	7.256834330902187e-23
LOC126319936	NW_026062071.1	uncharacterized LOC126319936	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.27389177082542	8.070699848716538e-23
LOC126304739	NW_026061732.1	uncharacterized LOC126304739	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	No informative external evidence	No informative external hit					No informative hit	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.23935800309785	1.0756537156048073e-22
LOC126326552	NW_026062344.1	proteasome subunit alpha type-3-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Concordant non-metazoan nucleotide and protein hits	Non-metazoan only	Fungi	Lipomyces japonicus	69.424	21	Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	21.647797325110684	7.808516477593948e-22
LOC126324050	NW_026062244.1	uncharacterized LOC126324050	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	24.118583754175507	5.85802688187235e-20
LOC126318317	NW_026062048.1	apoptosis-inducing factor 3-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.35182148137227	3.9018840617596926e-19
LOC126323901	NW_026062236.1	zinc finger MIZ domain-containing protein 1-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.379515985702803	5.047817160065264e-19
LOC126326534	NW_026062344.1	uncharacterized LOC126326534	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	23.022729478275604	5.197096384361455e-19
LOC126311252	NW_026061838.1	uncharacterized LOC126311252	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	No informative external evidence	No informative external hit					No informative hit	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	22.341623888151883	1.735240307427984e-18
LOC126323253	NW_026062217.1	superoxide dismutase [Fe]-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	21.793735579353207	1.3434696646385197e-17
LOC126323787	NW_026062229.1	proteasome subunit alpha type-4-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Concordant non-metazoan nucleotide and protein hits	Non-metazoan only	Plants	Lactuca saligna;Lactuca sativa;Lactuca serriola;Lactuca virosa	69.76	24	Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33	Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83	21.575550408903304	8.372141474739118e-17
LOC126311246	NW_026061838.1	ribosome biogenesis protein BOP1 homolog	protein_coding	Infection + diet	Diet 33: infected vs control; Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infected_diet83_vs33; infection_diet33	Control diet 33; Infected diet 50; Infected diet 83	8.57315878243863	4.656013033884835e-4
LOC126323770	NW_026062229.1	uncharacterized LOC126323770	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_diet33	Control diet 33; Infected diet 50; Infected diet 83	7.934543436716796	5.521648531735884e-4
LOC126315417	NW_026061960.1	uncharacterized LOC126315417	protein_coding	Infection + diet	Diet 33: infected vs control; Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Concordant non-metazoan nucleotide and protein hits	Non-metazoan only	Fungi	Kalmanozyma brasiliensis GHG001;Moesziomyces antarcticus;Neoaidaea tothii	67.135	26	Non-metazoan candidate	infected_diet33_vs50; infection_diet33	Control diet 33; Infected diet 50	8.652283804186641	6.091017019908023e-4
LOC126325505	NW_026062282.1	uncharacterized LOC126325505	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infection_diet33	Control diet 33; Infected diet 50	8.681219786143833	7.037623912213504e-4
LOC126315246	NW_026061960.1	ankyrin repeat, PH and SEC7 domain containing protein secG-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_diet33	Control diet 33; Infected diet 50; Infected diet 83	8.375690015665068	9.002976875423645e-4
LOC126326518	NW_026062344.1	alkyldihydroxyacetonephosphate synthase-like	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Mixed protein evidence	No informative external hit					Mixed/ambiguous	infected_diet33_vs50; infection_diet33	Control diet 33; Infected diet 50	7.93649417317355	0.0014798576121899324
LOC126325548	NW_026062282.1	uncharacterized LOC126325548	protein_coding	Diet in infected	Infected 33 vs 50	Downregulated	Included in infected diet 33 vs 50 origin audit	Significant in both mappings	1	Non-metazoan-only protein hits without nucleotide corroboration	No informative external hit					Non-metazoan candidate	infected_diet33_vs50; infected_diet83_vs33; infection_diet33	Control diet 33; Infected diet 50; Infected diet 83	8.590956924618684	0.0017283837085508612
